N	4gram	Berdyaev_M	formyVre
1	мы имеем в виду	1	5
2	в то время как	2	4
3	в нем нет ничего	1	3
4	ни в чем не	2	3
5	бы он ни был	1	3
6	так же как и	1	3
7	мы еще вернемся в	1	3
8	все более и более	1	2
9	одна и та же	2	2
10	не может быть и	1	2
11	может быть и речи	1	2
12	мы еще вернемся к	1	2
13	ни с чем не	1	2
14	никогда не может быть	2	1
15	что до сих пор	1	1
16	не было бы и	1	1
17	нет в самом человеке	1	1
18	не значит конечно что	1	1
19	одну и ту же	1	1
20	одной и той же	2	1
21	он плоть от плоти	1	1
22	кто бы он ни	1	1
23	и вместе с тем	4	1
24	оно не может быть	1	1
25	жизнь есть прежде всего	1	1
26	лежит и в основе	1	1
27	в иной мир но	1	1
28	это не значит конечно	1	1
29	плоть от плоти и	3	1
30	в том что он	1	1
31	до сих пор не	1	1
