N	2gram	Medvedev_V	EvropaiC
1	таким образом	32	34
2	в том	15	31
3	и в	26	24
4	том что	8	20
5	все эти	8	19
6	то что	7	18
7	не может	17	18
8	может быть	23	17
9	до сих	2	15
10	все же	6	15
11	сих пор	2	15
12	точки зрения	3	14
13	в этом	29	13
14	все это	13	13
15	самом деле	1	12
16	с этим	3	12
17	между тем	6	12
18	в своем	8	12
19	по отношению	7	11
20	но и	10	11
21	отношению к	7	11
22	мы знаем	3	10
23	не только	26	10
24	так и	6	10
25	как и	7	10
26	во всех	7	10
27	из себя	2	10
28	как бы	5	10
29	что в	11	9
30	в результате	5	9
31	не в	6	9
32	и все	1	9
33	и не	20	9
34	потому что	1	9
35	и что	1	9
36	на то	2	9
37	в самом	4	8
38	более или	6	8
39	или менее	6	8
40	к тому	5	8
41	для того	3	8
42	если бы	3	8
43	того чтобы	3	8
44	а между	1	8
45	так же	3	8
46	знаем что	2	8
47	а и	1	8
48	из этих	7	8
49	что при	2	7
50	того что	3	7
51	что и	3	7
52	что он	4	7
53	не менее	2	7
54	о котором	1	7
55	о том	10	7
56	вместе с	8	7
57	из элементов	3	7
58	в этой	4	7
59	в сознании	4	7
60	в силу	14	7
61	по существу	4	7
62	для этого	1	7
63	несмотря на	1	6
64	с ним	1	6
65	только в	8	6
66	тому же	1	6
67	отличается от	2	6
68	еще не	2	6
69	все они	2	6
70	и если	1	6
71	должна быть	2	6
72	и при	5	6
73	как на	3	6
74	в общем	2	6
75	с другой	11	6
76	в то	6	6
77	у них	2	6
78	и для	2	6
79	и к	3	5
80	а потому	1	5
81	между собою	2	5
82	должно быть	2	5
83	в состоянии	1	5
84	в его	15	5
85	многие из	2	5
86	пор не	1	5
87	другой стороны	8	5
88	у него	6	5
89	его в	3	5
90	так или	1	5
91	в которой	2	5
92	но все	1	5
93	или иначе	1	5
94	именно в	3	5
95	и без	1	5
96	большею частью	1	5
97	по своему	1	5
98	случае если	1	5
99	по сравнению	1	5
100	сравнению с	1	5
101	быть и	1	5
102	и их	3	5
103	далеко не	3	5
104	лишь в	2	5
105	в себе	6	5
106	и от	3	5
107	что все	4	5
108	как будто	1	5
109	к этому	9	5
110	в пользу	2	5
111	в целом	5	5
112	из них	11	5
113	но в	2	5
114	и то	1	4
115	поэтому что	1	4
116	ее и	1	4
117	этой области	3	4
118	на вопрос	2	4
119	самого себя	2	4
120	из того	1	4
121	этом случае	1	4
122	хотя и	2	4
123	совершенно не	1	4
124	из которых	2	4
125	в их	5	4
126	в виде	1	4
127	связи с	5	4
128	что его	2	4
129	одним из	5	4
130	в конце	3	4
131	в таком	1	4
132	с тем	4	4
133	состоит из	1	4
134	в в	1	4
135	не могут	10	4
136	между собой	1	4
137	и у	2	4
138	том случае	1	4
139	а с	1	4
140	что мы	2	4
141	в течение	2	4
142	ни один	8	4
143	хотя бы	20	4
144	в дальнейшем	1	4
145	что эта	1	4
146	целый ряд	1	4
147	признать что	1	4
148	отношение к	1	4
149	что для	4	4
150	без того	1	4
151	том же	6	4
152	в области	2	4
153	он не	2	4
154	конце концов	2	4
155	всех этих	3	4
156	то же	10	4
157	никогда не	5	4
158	на почве	1	3
159	от него	1	3
160	что оно	3	3
161	а наоборот	1	3
162	данном случае	1	3
163	только что	4	3
164	и по	3	3
165	которые не	1	3
166	в начале	1	3
