N	4gram	Propp_Isto	StatiiOP
1	в то же время	1	9
2	в то время как	3	5
3	в том смысле что	1	3
4	и тем не менее	2	3
5	состоит в том что	1	2
6	в том что она	1	2
7	совершенно так же как	3	2
8	в том числе и	2	2
9	внимание на то что	1	2
10	и вместе с тем	1	2
11	уже после того как	2	2
12	и т д и	1	2
13	но вместе с тем	4	2
14	тем не менее вопрос	1	1
15	и т д по	1	1
16	одни и те же	1	1
17	так же как в	1	1
18	не потому что он	1	1
19	в том смысле в	1	1
20	и т д в	1	1
21	и т д конечно	1	1
22	что у него есть	1	1
23	но это еще не	1	1
24	с этой точки зрения	2	1
25	что он не может	1	1
26	как мы видели выше	1	1
27	тем не менее в	1	1
28	к тому времени когда	1	1
29	только в том что	1	1
30	иметь в виду что	1	1
31	мы до сих пор	2	1
32	вовсе не в том	1	1
33	т д и т	1	1
34	вопрос о том что	1	1
35	одно и то же	2	1
36	это не в стиле	1	1
37	не в том чтобы	1	1
38	свидетельствует о том что	1	1
39	не менее вопрос о	1	1
40	его и т д	1	1
41	он не может быть	1	1
42	до сих пор не	1	1
43	том смысле в каком	1	1
44	и т д все	2	1
45	так же как и	4	1
46	в это время в	1	1
47	по мере того как	3	1
48	точно так же как	2	1
49	д и т д	1	1
