N	2gram	Voloshinov	OGranits
1	в.в виноградов	2	20
2	в.в виноградова	3	14
3	и в	3	13
4	абстрактного объективизма	1	10
5	может быть	1	8
6	и не	1	8
7	не может	4	8
8	в его	1	7
9	точки зрения	1	7
10	не только	1	6
11	социального общения	2	6
12	с точки	1	5
13	художественного произведения	1	5
14	в каждом	1	4
15	вполне понятно	1	4
16	то же	1	4
17	в школе	1	4
18	в выборе	1	4
19	ни один	1	3
20	при анализе	1	3
21	в.в виноградовым	1	3
22	и все	1	3
23	языка как	1	3
24	но и	1	3
25	литературного языка	1	2
26	мы видим	1	2
27	этой проблемы	1	2
28	и лингвистики	1	2
29	в языке	1	2
30	и должно	1	2
31	несмотря на	1	2
32	для него	1	2
33	и истории	1	2
34	общения и	2	2
35	произведения но	1	2
36	литературного произведения	1	2
37	если бы	1	2
38	школе соссюра	1	2
39	в ней	1	2
40	поэтики и	1	2
41	не менее	1	2
42	а не	1	2
43	к тому	1	2
44	бы в	1	2
45	в лингвистике	1	2
46	в особенности	1	1
47	обратное явление	1	1
48	один из	2	1
49	неполно и	1	1
50	формального метода	1	1
51	виноградова при	1	1
52	и социальной	1	1
53	социальной борьбы	1	1
54	тому что	1	1
55	направления абстрактного	1	1
56	самых первых	1	1
57	школы фосслера	1	1
58	разных категорий	1	1
59	же время	1	1
60	художественных категорий	1	1
61	о литературе	1	1
62	нуждаются в	1	1
63	событий и	1	1
64	связи с	1	1
65	этого общения	1	1
66	школе фосслера	1	1
67	анализе именно	1	1
68	виноградовым методы	1	1
69	нет и	1	1
70	и предварительно	1	1
71	в выводах	1	1
72	сил которые	1	1
73	организующих сил	1	1
74	границ поэтики	1	1
75	именно с	1	1
76	быть подхода	1	1
77	в то	1	1
78	социально-иерархического взаимоотношения	1	1
79	это направление	1	1
80	может и	1	1
81	в системе	1	1
82	не из	1	1
83	подхода к	1	1
84	ставить в	1	1
85	виноградова в	1	1
86	не смог	1	1
87	фосслера и	1	1
