N	4gram	Bakhtin_Fr	Narrotol
1	в то же время	12	8
2	дело в том что	2	3
3	одного и того же	1	2
4	в той или иной	1	2
5	не что иное как	1	1
6	до сих пор еще	3	1
7	в связи с этой	1	1
8	с одной стороны и	1	1
9	большей или в меньшей	1	1
10	между жизнью и смертью	1	1
11	или в меньшей степени	1	1
12	с большей или меньшей	1	1
13	имеет дело не с	1	1
14	о том что в	1	1
15	в том числе и	2	1
16	и целый ряд других	1	1
17	в следующей главе в	1	1
18	в большей или в	1	1
19	сих пор еще можно	1	1
20	хотя оно и не	1	1
21	одним и тем же	1	1
22	то же время они	1	1
23	в том или ином	2	1
24	есть не что иное	1	1
