N	2gram	Nazirov_Tv	Vladivir
1	и в	40	116
2	то что	9	71
3	и не	12	67
4	в году	22	65
5	у него	11	65
6	не только	16	65
7	в этом	11	53
8	в том	13	52
9	том что	14	51
10	что в	17	48
11	но и	10	47
12	в конце	5	41
13	в его	19	40
14	и с	9	39
15	то есть	16	37
16	и даже	8	36
17	сказать что	3	36
18	также и	1	36
19	там же	11	35
20	учение о	1	35
21	так что	4	35
22	же с	10	34
23	соловьев в	1	33
24	потому что	10	33
25	что он	11	32
26	не может	9	31
27	о том	9	30
28	только в	7	30
29	как мы	1	29
30	никогда не	13	29
31	для него	9	29
32	вовсе не	5	27
33	а в	10	27
34	не было	3	26
35	а к	1	25
36	в себе	3	25
37	но в	11	25
38	в то	23	25
39	и его	14	25
40	даже и	1	24
41	между прочим	1	23
42	он не	10	23
43	может быть	11	23
44	что же	1	23
45	кроме того	1	22
46	он был	2	22
47	письма т	2	22
48	ни в	2	22
49	так как	6	22
50	в виде	4	22
51	об этом	4	22
52	в своей	8	21
53	вместе с	4	21
54	и что	2	20
55	в своем	4	20
56	прежде всего	10	20
57	не менее	8	19
58	в дальнейшем	7	19
59	м м	19	19
60	по поводу	1	19
61	как раз	2	19
62	тем не	2	19
63	таким образом	14	19
64	в течение	1	19
65	так и	5	19
66	и потому	4	19
67	как и	16	18
68	не мог	3	18
69	не в	3	18
70	не был	4	18
71	хотя и	5	18
72	как это	2	18
73	м с	12	18
74	с его	12	18
75	с н	1	18
76	в письме	1	17
77	то это	2	17
78	что и	3	17
79	в этой	7	17
80	едва ли	2	17
81	и если	3	17
82	а не	9	17
83	необходимо сказать	1	17
84	у нас	2	17
85	все же	9	16
86	уже не	6	16
87	к тому	2	16
88	не есть	2	16
89	совсем не	1	16
90	для себя	1	16
91	года он	3	16
92	и все	6	16
93	было бы	2	16
94	того что	3	16
95	в котором	8	16
96	а н	1	16
97	и к	1	15
98	то же	19	15
99	в своих	8	15
100	под названием	1	15
101	к этому	4	15
102	в эти	1	15
103	в связи	2	15
104	письме к	1	15
105	до конца	2	15
106	но это	10	15
107	это было	1	15
108	в л	1	15
109	того же	2	14
110	в с	2	14
111	все эти	3	14
112	тут же	1	14
113	же касается	1	14
114	мы уже	2	14
115	и на	12	14
116	с а	1	14
117	уже в	5	14
118	и как	5	14
119	н в	1	14
120	в результате	1	13
121	с тем	1	13
122	можно сказать	2	13
123	так же	6	13
124	не просто	1	13
125	на этот	3	13
126	и от	8	13
127	что это	1	13
128	да и	1	13
129	дело в	4	13
130	жизни и	3	13
131	по себе	2	12
132	только на	2	12
133	и это	2	12
134	и у	3	12
135	и по	5	12
136	в нем	4	12
137	то в	2	12
138	если не	4	12
139	всяком случае	2	12
140	ничего не	3	12
141	во всяком	2	12
142	есть только	1	12
143	связи с	2	12
144	учения о	1	12
145	при этом	14	11
146	него в	2	11
147	но что	1	11
148	т i	1	11
149	всякого рода	2	11
150	в данном	2	11
151	хотя бы	5	11
152	тому же	2	11
153	в которой	5	11
154	я не	5	11
155	на то	1	11
156	и здесь	2	11
157	в основном	9	11
158	никак не	1	11
159	в отношении	1	11
160	это есть	1	11
161	еще в	3	11
162	№ с	2	11
163	все это	14	11
164	то он	1	11
165	мы должны	1	11
166	и о	2	11
167	конце концов	1	11
168	в самом	6	10
169	даже в	4	10
170	вот что	1	10
171	года в	7	10
172	что все	4	10
173	в петербурге	5	10
174	такого рода	1	10
175	в качестве	2	10
176	что его	4	10
177	можно было	1	10
178	что для	3	10
179	отнюдь не	9	10
180	к нему	1	10
181	с ним	4	10
182	в россии	5	10
183	января года	4	10
184	еще не	5	10
185	в истории	2	10
186	он и	1	10
187	о нем	2	10
188	в ней	2	10
189	но не	7	10
190	о чем	1	9
191	и сам	5	9
192	именно в	6	9
193	с этим	2	9
194	и психологии	1	9
195	с другой	4	9
196	мы знаем	2	9
197	и притом	2	9
198	но он	3	9
199	а только	1	9
200	а с	4	9
201	не будет	2	9
202	из этого	1	9
203	в начале	2	9
204	это время	2	9
205	что если	1	9
206	для меня	1	9
207	это не	9	9
208	же время	18	9
209	а ф	3	9
210	в целом	7	9
211	т ii	4	9
212	с этой	4	8
213	это значит	1	8
214	не столько	4	8
215	в этих	2	8
216	тем что	2	8
217	можно считать	1	8
218	которой он	2	8
219	конце жизни	1	8
220	в этот	3	8
221	себя в	3	8
222	и он	4	8
223	марта года	4	8
224	это мы	1	8
225	в смысле	1	8
226	в чем	4	8
227	в париже	1	8
228	i с	1	8
229	значит что	3	8
230	и особенно	1	8
231	как в	10	8
232	со стороны	1	8
233	должно быть	1	8
234	и и	1	8
235	как бы	26	8
236	тот же	3	8
237	тоже не	2	8
238	в петербург	2	8
239	xix века	13	8
240	и я	2	8
241	когда он	4	8
242	из этих	1	8
243	отношение к	1	8
244	мы и	1	7
245	к этой	1	7
246	в одном	3	7
247	в них	1	7
248	но все	1	7
249	к ней	3	7
250	а а	4	7
251	на первый	1	7
252	нам представляется	2	7
253	что этот	2	7
254	но даже	1	7
255	на первом	2	7
256	точно так	3	7
257	с в	1	7
258	и мы	1	7
259	выше мы	1	7
260	ii с	2	7
261	о его	1	7
262	в доме	1	7
263	и есть	2	7
264	мы видели	1	7
265	здесь мы	2	7
266	если бы	4	7
267	эти годы	1	7
268	к его	1	7
269	не имеет	2	7
270	философии но	2	7
271	ничего общего	1	7
272	бы и	1	7
273	и вот	2	7
274	при помощи	4	7
275	но если	4	7
276	не без	1	7
277	на его	4	7
278	в таком	4	7
279	то и	1	7
280	и ни	1	7
281	как он	1	7
282	по этому	1	7
283	же в	1	7
284	был и	1	6
285	можно говорить	1	6
286	же и	2	6
287	тому что	2	6
288	декабря года	2	6
289	мысли и	5	6
290	в виду	3	6
291	другой стороны	2	6
292	уже на	1	6
293	но у	5	6
294	в отличие	3	6
295	настоящее время	2	6
296	на него	2	6
297	он сам	8	6
298	если мы	1	6
299	той же	4	6
300	поскольку в	1	6
301	по мнению	4	6
302	его в	2	6
303	письма к	3	6
304	чем в	1	6
305	том же	3	6
306	не говорит	1	6
307	что она	5	6
308	на себя	2	6
309	летом года	1	6
310	время как	1	6
311	в москву	1	6
312	но только	3	6
313	она была	1	6
314	почему же	1	6
315	году в	3	6
316	главным образом	1	6
317	сказать о	1	6
318	вопросы философии	2	6
319	и из	1	6
320	и вполне	1	6
321	должен был	2	6
322	но на	1	6
323	в в	2	6
324	по разным	1	6
325	в настоящее	1	6
326	м а	1	6
327	данном случае	2	6
328	свидетельствует о	2	6
329	мы не	3	6
330	а это	1	6
331	и тут	2	6
332	по своему	1	6
333	жизнь и	2	6
334	ко всему	1	6
335	тем более	1	6
336	отличие от	3	6
337	само собой	1	6
338	в жизни	3	6
339	такой же	4	6
340	и наконец	3	6
341	что на	3	6
342	есть не	2	6
343	октября года	1	5
344	всей жизни	1	5
345	еще более	3	5
346	а вот	1	5
347	говорит о	3	5
348	и до	2	5
349	на эту	4	5
350	но мы	1	5
351	н ф	1	5
352	говорит что	2	5
353	не вполне	1	5
354	он писал	2	5
355	как на	1	5
356	и еще	2	5
357	него не	1	5
358	быть в	1	5
359	н г	2	5
360	из них	4	5
361	вся эта	1	5
362	бы то	1	5
363	что они	3	5
364	во всех	2	5
365	что у	5	5
366	по возвращении	1	5
367	а наоборот	1	5
368	его биографии	1	5
369	а и	1	5
370	и за	1	5
371	в философии	2	5
372	то ни	1	5
373	и тем	2	5
374	что бы	1	5
375	он в	1	5
376	с которым	2	5
377	с с	1	5
378	во время	2	5
379	можно только	1	5
380	в частности	4	5
381	один из	5	5
382	утверждает что	1	5
383	сводится к	2	5
384	жизни в	9	5
385	за границу	1	5
386	нет ничего	1	5
387	владимир соловьев	1	5
388	в свою	8	5
389	году он	2	5
390	мы имеем	1	5
391	им в	1	5
392	заметить что	1	5
393	начиная с	2	5
394	по преимуществу	4	5
395	что я	4	5
396	из воспоминаний	1	5
397	друг друга	2	5
398	это был	4	5
399	он как	1	5
400	он называет	1	5
401	что с	2	5
402	ее в	3	5
403	где он	2	5
404	со своим	2	5
405	как нечто	1	5
406	первом плане	2	5
407	место в	6	5
408	в их	5	5
409	мы находим	2	5
410	и без	2	5
411	на все	1	5
412	со своей	1	5
413	но уже	2	5
414	но его	2	5
415	с самого	3	5
416	она не	2	5
417	но она	2	5
418	далеко не	3	5
419	только то	1	5
420	в россию	2	5
421	и часто	1	5
422	еще на	1	5
423	во многом	8	5
424	не успел	1	5
425	и прежде	1	5
426	в области	1	5
427	и только	2	5
428	не к	2	5
429	и другие	4	4
430	только что	2	4
431	вообще говоря	2	4
432	он всегда	2	4
433	в ф	5	4
434	нас в	1	4
435	нужно сказать	1	4
436	представление о	9	4
437	их в	1	4
438	от декабря	1	4
439	поскольку он	1	4
440	и стал	1	4
441	относиться к	1	4
442	не могли	2	4
443	философии против	1	4
444	о которых	1	4
445	но этот	2	4
446	уже о	1	4
447	об отношении	1	4
448	не что	1	4
449	является как	1	4
450	в глаза	2	4
451	пока еще	1	4
452	бога и	3	4
453	наряду с	6	4
454	том чтобы	1	4
455	с большим	3	4
456	спб с	3	4
457	крайней мере	4	4
458	не то	2	4
459	только не	1	4
460	что иное	1	4
461	года к	1	4
462	с одной	2	4
463	время в	3	4
