N	2gram	Savitsky_P	Myshleni
1	в том	9	195
2	в этом	10	167
3	то что	4	166
4	и в	14	162
5	том что	4	161
6	в развитии	1	151
7	точки зрения	3	143
8	что в	4	119
9	не только	17	116
10	того что	2	109
11	так же	1	100
12	потому что	3	95
13	того чтобы	1	91
14	может быть	5	89
15	с точки	3	89
16	не может	4	81
17	как и	1	79
18	для того	3	78
19	и не	12	78
20	только в	7	75
21	но и	6	70
22	заключается в	3	67
23	в его	2	67
24	как бы	4	64
25	вместе с	1	62
26	представляет собой	1	60
27	и что	1	60
28	было бы	6	60
29	в качестве	9	60
30	то же	9	58
31	в отношении	10	55
32	могли бы	1	54
33	в силу	2	53
34	что мы	3	53
35	в самом	1	52
36	по сравнению	2	51
37	мы должны	4	50
38	мы можем	1	48
39	тогда когда	1	47
40	на основе	1	47
41	мы не	3	47
42	сравнению с	1	46
43	если бы	4	46
44	но не	3	45
45	с другой	5	45
46	с тем	3	43
47	же как	1	43
48	тем самым	3	43
49	в ходе	1	41
50	одной стороны	3	40
51	никогда не	1	39
52	с одной	3	39
53	в области	11	38
54	и к	4	37
55	вопрос о	1	37
56	если мы	1	37
57	мы видим	1	37
58	не в	5	37
59	в этой	1	37
60	в своем	4	36
61	а не	2	36
62	с другом	1	35
63	в себе	3	35
64	в которой	1	35
65	друг с	1	35
66	и как	3	34
67	прежде всего	3	33
68	по себе	4	33
69	именно в	2	32
70	и на	1	32
71	что оно	1	32
72	что и	1	32
73	и тем	2	32
74	но в	9	32
75	развития в	1	31
76	все же	1	31
77	и то	1	31
78	мысли и	1	30
79	на то	1	30
80	между тем	3	29
81	как известно	1	29
82	могут быть	3	29
83	с этим	2	28
84	что с	1	28
85	переход от	2	28
86	только что	1	27
87	в результате	1	27
88	другой стороны	1	27
89	в то	7	27
90	и с	2	27
91	связь между	1	27
92	что все	1	27
93	в собственном	1	26
94	собственном смысле	1	26
95	что это	1	26
96	в частности	2	26
97	еще не	1	25
98	уже в	1	25
99	все это	2	25
100	это не	3	25
101	в смысле	6	24
102	мы знаем	1	24
103	тот же	3	24
104	в сфере	2	24
105	в какой	1	24
106	что эта	1	24
107	в нем	3	24
108	друг друга	1	23
109	во всяком	1	22
110	столь же	3	22
111	в известном	1	22
112	и ее	1	21
113	на основании	1	21
114	его в	1	21
115	в свете	1	21
116	там где	1	21
117	не имеет	1	21
118	в истории	1	21
119	и более	1	21
120	не менее	2	20
121	в котором	4	20
122	из них	2	20
123	из этих	1	20
124	и других	2	20
125	а в	4	20
126	как раз	2	20
127	в наших	1	20
128	должно быть	2	20
129	во всех	2	19
130	а с	1	19
131	и по	1	19
132	в данном	1	19
133	мы и	1	19
134	об отношении	1	19
135	как на	2	19
136	в себя	1	19
137	во всей	2	18
138	в психологии	1	18
139	в отличие	1	18
140	отличие от	1	18
141	этом смысле	1	18
142	всяком случае	1	18
143	в этих	1	17
144	к другим	1	17
145	казалось бы	1	17
146	не есть	1	17
147	тем же	1	17
148	для этого	1	17
149	иначе как	1	17
150	и есть	2	17
151	обе эти	1	17
