N	2gram	Bakhtin_Pr	Retstnzi
1	не может	26	4
2	и в	64	3
3	достоевского и	9	2
4	социального общения	1	2
5	если в	1	2
6	в центре	1	2
7	один из	3	2
8	может и	1	1
9	этой проблемы	1	1
10	нуждаются в	2	1
11	в особенности	1	1
12	несмотря на	7	1
13	может быть	43	1
14	не только	26	1
15	точки зрения	31	1
16	контекста не	1	1
17	с точки	21	1
18	может не	1	1
19	для него	23	1
20	с теми	1	1
21	подхода к	2	1
22	в ней	2	1
23	как художественная	2	1
24	себе все	1	1
25	в каждом	15	1
26	связи с	3	1
27	не из	3	1
28	конкретного осуществления	1	1
29	из социологического	1	1
30	с другими	8	1
31	или иными	1	1
32	художественной структуры	1	1
33	лежащие в	2	1
34	если бы	12	1
35	конечно и	3	1
36	смысл и	1	1
37	художественного произведения	2	1
38	вещей и	1	1
39	в его	30	1
40	ничего кроме	1	1
41	влияния на	1	1
42	не менее	3	1
43	и социальной	1	1
44	и заставляет	1	1
45	в языке	1	1
46	речь и	2	1
47	но и	26	1
48	в выборе	1	1
49	мы видим	3	1
50	второй части	2	1
51	к тому	4	1
52	во второй	2	1
53	можно назвать	1	1
54	тому что	3	1
55	в конкретном	3	1
56	в то	15	1
57	из этих	3	1
58	и больше	1	1
59	он в	3	1
60	ни один	3	1
61	осуществления в	1	1
62	же время	13	1
63	то же	18	1
64	по своим	4	1
65	при анализе	1	1
66	а не	29	1
67	без учета	1	1
68	бы в	7	1
69	нет и	1	1
70	и не	55	1
71	на нее	1	1
72	и все	6	1
73	и на	16	1
74	вполне понятно	2	1
75	это направление	1	1
