N	4gram	Propp_Isto	Problemy
1	бы то ни было	1	6
2	в том что он	1	5
3	в то время как	4	3
4	с другой стороны и	2	3
5	одна и та же	1	2
6	во всяком случае не	1	2
7	но тем не менее	2	2
8	но с другой стороны	1	2
9	что мы видим и	1	1
10	ничем не отличается от	1	1
11	и т д наконец	1	1
12	с одной стороны и	1	1
13	в зависимости от того	1	1
14	и не может быть	1	1
15	а в том что	1	1
16	дело конечно не в	1	1
17	никогда не говорит о	1	1
18	и вместе с тем	2	1
19	с другой стороны мы	1	1
20	один и тот же	1	1
21	все больше и больше	2	1
22	мы увидим дальше что	1	1
23	все новые и новые	2	1
24	но для наших целей	1	1
25	вовсе не входит в	1	1
26	и т д и	1	1
27	во всяком случае в	1	1
28	он почти никогда не	1	1
29	так же как и	1	1
30	по мере того как	1	1
31	друг на друга что	1	1
32	и т д но	2	1
