N	2gram	Tiupa_Narr	ViktorSh
1	в книге	1	3
2	а.н веселовского	1	2
3	в конце	1	2
4	и в	19	2
5	в том	18	2
6	том что	14	2
7	в другом	1	1
8	все время	1	1
9	но это	1	1
10	юноши в	1	1
11	столь же	3	1
12	том же	1	1
13	по существу	2	1
14	в самом	1	1
15	как же	1	1
16	и т.д	7	1
17	от других	1	1
18	именно в	6	1
19	все то	2	1
20	самом деле	2	1
21	речи и	1	1
22	в частности	14	1
23	и то	1	1
24	крайней мере	1	1
25	этом и	1	1
26	время в	2	1
27	и его	5	1
28	сводится к	3	1
29	даже не	3	1
30	бы уже	1	1
31	значительной степени	2	1
32	на одном	1	1
33	хотя бы	4	1
34	по поводу	1	1
35	далеко не	5	1
36	тем более	2	1
37	по крайней	1	1
38	впрочем не	1	1
39	в которых	1	1
40	только в	4	1
41	потому что	1	1
42	в значительной	2	1
43	в их	1	1
44	и только	2	1
45	то же	4	1
46	чего не	1	1
47	не будем	1	1
48	и не	20	1
49	собственно и	1	1
50	дело в	1	1
51	да и	4	1
52	в этом	17	1
53	сколь и	1	1
