N	2gram	Tiupa_Lite	FransuaR
1	и в	26	367
2	то есть	11	209
3	в этом	19	112
4	и т.п	14	108
5	и не	19	101
6	таким образом	4	100
7	и его	7	99
8	в его	9	98
9	прежде всего	14	92
10	не только	29	87
11	но и	25	84
12	как бы	8	82
13	все эти	2	79
14	вовсе не	3	77
15	в романе	1	77
16	как и	13	76
17	в нем	4	75
18	но в	5	75
19	в эпоху	1	75
20	и на	5	72
21	и др	4	72
22	в том	22	71
23	как мы	2	71
24	то же	13	66
25	и все	1	66
26	в них	1	65
27	в этой	7	65
28	так и	7	65
29	и с	4	64
30	в сущности	5	64
31	в то	12	63
32	во время	1	63
33	во всех	4	62
34	же время	12	55
35	что в	7	52
36	в своем	12	51
37	только в	8	48
38	так как	2	46
39	и до	1	46
40	том что	19	45
41	в году	18	44
42	то что	14	41
43	у него	5	40
44	жизни и	6	40
45	в самом	4	38
46	точки зрения	8	37
47	в ней	4	37
48	с его	5	36
49	о том	3	35
50	он был	1	35
51	может быть	24	35
52	сказать что	1	34
53	и даже	9	34
54	в себе	8	34
55	рядом с	1	32
56	мы видели	1	32
57	в конце	6	32
58	он не	4	32
59	для него	6	32
60	до конца	3	31
61	в литературе	2	31
62	в своей	5	31
63	нового времени	2	31
64	так же	1	30
65	но он	1	30
66	один из	7	30
67	потому что	5	30
68	той же	5	30
69	и потому	1	30
70	никогда не	5	30
71	в одном	2	29
72	еще не	4	29
73	связи с	7	29
74	в этих	2	29
75	что он	8	29
76	не может	10	29
77	в особенности	2	29
78	при этом	23	29
79	его в	4	29
80	не в	11	29
81	и к	1	28
82	из них	5	28
83	всех этих	1	28
84	также и	3	28
85	в той	1	28
86	в основе	5	28
87	здесь и	1	28
88	сих пор	1	27
89	до сих	1	27
90	том числе	2	27
91	в образах	2	27
92	все же	6	27
93	роль в	2	27
94	образов в	1	26
95	в условиях	1	26
96	все они	2	26
97	на самом	1	25
98	в области	5	25
99	но это	2	25
100	мира и	1	25
101	этот образ	1	24
102	он и	5	24
103	но не	8	24
104	например в	3	24
105	в ее	1	24
106	и у	1	24
107	и от	1	24
108	как в	5	24
109	того чтобы	1	24
110	в частности	18	24
111	в большинстве	1	24
112	отношение к	1	24
113	большинстве случаев	1	23
114	так сказать	1	23
115	своего рода	22	23
116	и здесь	1	23
117	с ним	2	23
118	и для	1	23
119	в их	3	23
120	есть и	1	23
121	к нему	1	23
122	это не	4	23
123	еще и	3	23
124	даже в	6	22
125	не было	5	22
126	а в	5	22
127	тем что	6	22
128	что и	3	22
129	и других	4	22
130	вместе с	5	22
131	и во	1	22
132	и о	1	22
133	в своих	5	21
134	именно в	1	21
135	культуры и	2	21
136	в отношении	2	21
137	уже в	7	21
138	и как	2	21
139	есть в	1	21
140	в качестве	21	21
141	одним из	8	21
142	в себя	5	21
143	что это	1	21
144	и наконец	2	21
145	в виду	4	20
146	в связи	4	20
147	в значительной	1	20
148	одной из	2	20
149	этом отношении	5	20
150	с точки	4	20
151	как раз	6	20
152	в образе	1	20
153	а также	5	20
154	самом деле	2	20
155	во всем	1	19
156	к этому	2	19
157	в эту	1	19
158	того же	5	19
159	за пределы	3	19
160	было бы	4	19
161	с ее	3	19
162	в дальнейшем	1	19
163	с другой	11	19
164	в ту	1	19
165	далеко не	4	19
166	мы находим	1	18
167	со всеми	2	18
168	здесь не	1	18
169	одна из	8	18
170	но они	1	18
171	превращается в	2	18
172	на этом	3	18
173	перед нами	1	18
174	для того	2	17
175	в результате	2	17
176	можно было	3	17
177	своего времени	2	17
178	в плане	1	17
179	такой же	3	17
180	но все	1	17
181	меньшей степени	1	17
182	и вот	2	17
183	того что	7	17
184	а не	28	17
185	в другом	3	16
186	с одной	9	16
187	между ними	1	16
188	между тем	2	16
189	и одновременно	2	16
190	тот же	1	16
191	в начале	4	16
192	ничего не	3	16
193	они не	1	16
194	дело в	3	16
195	не подлежит	1	16
196	мысли и	1	15
197	а затем	3	15
198	в которой	1	15
199	никто не	1	15
200	из этих	2	15
201	с их	3	15
202	от всех	2	15
203	одно из	3	15
204	как на	3	15
205	в нашем	2	15
206	не мог	3	15
207	xix века	6	15
208	в первой	1	15
209	еще в	7	15
210	в истории	1	15
211	с начала	1	15
212	и прежде	4	15
213	в котором	1	14
214	в чем	2	14
215	и по	1	14
216	с миром	5	14
217	мы не	5	14
218	в xviii	1	14
219	все что	3	14
220	в данном	7	14
221	и он	3	14
222	несмотря на	3	14
223	земли и	1	14
224	по существу	4	14
225	и сам	6	13
226	о мире	1	13
227	и еще	1	13
228	в основном	1	13
229	на языке	1	13
230	в одной	1	13
231	мира в	4	13
232	в жизни	7	13
233	одной стороны	8	13
234	не знает	3	13
235	отличие от	6	13
236	в мире	9	13
237	средних веков	1	13
238	бы в	1	13
239	и есть	3	13
240	в последующих	1	13
241	только на	3	13
242	не на	2	13
243	мир и	2	13
244	или в	1	13
245	и эта	1	13
246	так в	6	13
247	это было	1	13
248	как он	2	13
249	более того	1	13
250	другой стороны	5	12
251	не был	1	12
252	xviii веке	1	12
253	во всей	1	12
254	та же	2	12
255	жизни в	5	12
256	в новой	1	12
257	о нем	1	12
258	у нас	5	12
259	другом месте	1	12
260	из всех	1	12
261	только для	1	12
262	можно сказать	1	12
263	в творчестве	2	12
264	по своей	3	12
265	не могут	1	12
266	века в	3	12
267	он в	1	12
268	эпохи в	1	12
269	все то	2	12
270	лишь в	4	12
271	но именно	1	12
272	право на	4	12
