N	2gram	Medvedev_S	VerxiiNi
1	и в	3	26
2	таким образом	2	22
3	в этом	5	15
4	как бы	2	12
5	в том	5	11
6	не только	3	10
7	может быть	2	10
8	что в	2	9
9	связи с	1	9
10	но и	2	9
11	в области	1	9
12	и не	1	8
13	главным образом	2	8
14	с другой	1	8
15	но не	1	8
16	с одной	1	7
17	том что	2	7
18	одной стороны	1	7
19	а с	1	7
20	то что	2	7
21	так и	1	6
22	в конце	2	6
23	все это	7	6
24	все эти	1	6
25	все же	1	6
26	о том	1	6
27	во всяком	1	6
28	и потому	1	6
29	всяком случае	1	6
30	мы должны	1	6
31	в его	3	5
32	в мире	1	5
33	по крайней	1	5
34	образом в	1	5
35	в силу	1	5
36	крайней мере	1	5
37	никогда не	1	5
38	и по	1	4
39	то же	2	4
40	только в	2	4
41	в этих	1	4
42	что он	1	4
43	в смысле	2	4
44	в котором	1	4
45	и что	2	4
46	далеко не	2	4
47	а в	1	4
48	в этой	1	4
49	не может	1	4
50	что все	1	4
51	на этот	1	4
52	в виде	1	4
53	в то	1	4
54	и только	3	4
55	что это	1	3
56	в результате	2	3
57	в связи	1	3
58	и как	1	3
59	что эти	1	3
60	хотя бы	1	3
61	и о	1	3
62	отношению к	2	3
63	конце концов	2	3
64	и человеком	1	2
65	один из	1	2
66	благодаря этому	1	2
67	те же	1	2
68	прежде всего	1	2
69	исторического развития	2	2
70	в них	1	2
71	не было	1	2
72	не в	3	2
73	по существу	2	2
74	именно в	1	2
75	в процессе	1	2
76	на все	1	2
77	только для	1	2
78	должно было	1	2
79	еще не	2	2
80	наконец в	1	2
81	между тем	1	2
82	из себя	1	2
83	конечно не	1	2
84	же время	1	2
85	же самое	1	2
86	к которому	2	2
87	для этого	1	2
88	и наконец	1	2
89	представить себе	1	1
90	этого и	1	1
91	против этого	1	1
92	новое и	1	1
93	они не	1	1
94	может не	1	1
95	этой области	1	1
96	зависит от	1	1
97	это не	1	1
98	с ним	1	1
99	в сущности	1	1
100	это и	2	1
101	но одно	1	1
102	выйдет из	1	1
103	у него	1	1
104	в данном	1	1
105	его в	1	1
106	этом не	1	1
107	тем что	1	1
108	как и	1	1
109	вряд ли	1	1
110	только то	1	1
111	в своей	1	1
112	ли не	1	1
113	том как	1	1
114	в чем	1	1
115	перейти к	1	1
116	как только	2	1
117	тем более	2	1
118	бы в	1	1
119	проникли в	1	1
120	базируются на	1	1
121	сказать и	1	1
122	представляет и	1	1
123	еще и	1	1
124	ни на	1	1
125	и более	1	1
126	между собой	1	1
127	жизни он	1	1
128	еще недостаточно	1	1
129	это как	1	1
130	в наше	1	1
131	эти два	1	1
132	мы не	1	1
133	ввести в	2	1
134	дело не	2	1
135	это по	1	1
136	с помощью	1	1
137	только тогда	1	1
138	только как	2	1
139	нужно было	2	1
140	в строгом	1	1
141	связь между	1	1
142	а между	1	1
143	по отношению	2	1
144	когда мы	1	1
145	было бы	2	1
146	настоящее время	1	1
147	тем же	1	1
148	по себе	1	1
149	знакомясь с	1	1
150	но именно	1	1
151	и есть	1	1
152	место в	1	1
153	что она	1	1
154	и должно	1	1
155	и его	1	1
156	даже в	1	1
157	ними в	1	1
158	в настоящее	1	1
159	пришлось бы	1	1
160	ничего не	1	1
161	чуть ли	1	1
