N	3gram	Bakhtin_Pr	Problema
1	тем не менее	3	56
2	в том что	3	37
3	и т д	1	33
4	то же самое	2	30
5	в настоящее время	1	30
6	в связи с	1	29
7	в данном случае	4	28
8	той или иной	2	26
9	с другой стороны	4	25
10	с точки зрения	6	25
11	на то что	1	19
12	в этом смысле	3	19
13	для того чтобы	2	17
14	то есть в	1	17
15	в то же	3	17
16	и тем не	1	15
17	до сих пор	1	14
18	не что иное	1	14
19	что иное как	1	14
20	сами по себе	1	13
21	того или иного	2	13
22	на самом деле	3	13
23	можно было бы	3	13
24	не есть ни	1	13
25	не может быть	11	12
26	и в частности	2	12
27	и в этом	1	12
28	можно сказать что	2	12
29	в то время	1	12
30	то время как	1	12
31	дело в том	1	11
32	есть не что	1	11
33	бы то ни	3	11
34	с одной стороны	3	11
35	и тем самым	2	10
36	не только в	2	10
37	не говоря уже	1	9
38	может быть и	1	9
39	самом же деле	1	8
40	на самом же	1	8
41	может быть только	3	8
42	о том как	1	7
43	говоря уже о	1	7
44	чем иным как	1	7
45	но и в	2	7
46	имеется в виду	1	7
47	то или иное	2	7
48	не чем иным	1	7
49	иметь в виду	1	7
50	хотя и не	1	7
51	это и есть	1	7
52	и как бы	1	6
53	в самом деле	3	6
54	так и в	2	6
55	но отнюдь не	7	6
56	ни в какой	1	6
57	то что в	1	6
58	и в его	1	6
59	едва ли кто-нибудь	1	6
60	то есть не	1	6
61	и в других	1	6
62	то ни было	2	6
63	на первый план	2	6
64	в том смысле	1	6
65	в этом отношении	2	6
66	хотя бы и	1	5
67	в чем не	2	5
68	а также и	1	5
69	смысле слова но	1	5
70	та или иная	1	5
71	том смысле что	1	5
72	сказать и о	2	5
73	и прежде всего	5	5
74	а вовсе не	1	5
75	в какой мере	2	5
76	также и на	1	5
77	смысле слова и	1	5
78	ни в чем	2	5
79	у нас в	1	4
80	в коем случае	2	4
81	мы еще не	1	4
82	как мы уже	1	4
83	мы имеем дело	2	4
84	то ни стало	1	4
85	в других областях	1	4
86	не было бы	1	4
87	также и в	1	4
88	то есть чисто	2	4
89	вопрос о том	1	4
90	в другом случае	1	4
91	в себе все	1	4
92	и независимо от	1	4
93	во что бы	1	4
94	то есть только	1	4
95	ни в коем	2	4
96	равно как и	1	4
97	то есть как	1	4
98	и не в	1	4
99	именно то что	1	4
100	что бы то	1	4
101	и с точки	1	4
102	подобно тому как	1	4
103	в таких случаях	1	4
104	одной стороны и	1	3
105	мы здесь не	2	3
106	то что не	1	3
107	бы не было	1	3
108	только в таком	1	3
109	в отличие от	5	3
110	к тому что	1	3
111	всего то что	1	3
112	не обходится без	1	3
113	если бы не	1	3
114	как и в	1	3
115	не может обойтись	1	3
116	с тем что	1	3
117	как мы увидим	3	3
118	отнюдь не является	1	3
119	по сравнению с	1	3
120	несмотря на то	1	3
121	не выходит за	1	3
122	хотя бы в	1	3
123	если бы мы	1	3
124	в истории философии	1	3
125	и в то	2	3
126	и может быть	1	3
127	не было этого	1	3
128	к выводу что	1	3
129	далеко не все	1	3
130	но в то	1	3
131	и ничего не	1	3
132	но можно ли	1	3
133	далеко не всегда	3	3
134	точка зрения на	1	2
135	по отношению к	19	2
136	и т п	13	2
137	мы вообще не	1	2
138	здесь прежде всего	1	2
139	только там где	2	2
140	о которых мы	1	2
141	а в том	1	2
142	не совпадает с	2	2
143	но несмотря на	1	2
144	между тем как	5	2
145	ни от чего	1	2
146	не больше как	1	2
147	может обойтись без	1	2
148	художественное произведение в	3	2
149	мы можем говорить	2	2
150	только в его	1	2
151	не во всех	2	2
152	ясно что в	1	2
153	с самим собою	1	2
154	таким образом в	1	2
155	в его чисто	2	2
156	то что является	1	2
157	в области смысла	1	2
158	выходит за пределы	1	2
159	есть то на	1	2
160	как бы они	1	2
161	еще не вполне	1	2
162	в том же	2	2
163	и для всякой	1	2
164	только в пределах	1	2
165	в известной мере	1	2
166	в дальнейшем и	1	2
167	что не имеет	1	2
168	чего бы то	1	2
169	что все эти	1	2
170	как мы это	1	2
171	как таковое в	1	2
172	в нем не	1	2
173	в свою очередь	1	2
174	и в том	1	2
175	или хотя бы	1	2
176	и не может	2	2
177	никогда не может	2	2
178	в том и	1	2
179	широком смысле слова	1	2
180	и потому в	1	2
181	как и для	2	2
182	а следовательно и	1	2
183	в нем и	1	2
184	есть перестает быть	1	2
185	себе и не	1	2
186	и за пределы	1	2
187	в других искусствах	2	2
188	в этом произведении	1	2
189	то есть перестает	1	2
190	что и здесь	1	2
