N	2gram	Medvedev_B	OGranits
1	и в	1	13
2	прежде всего	1	9
3	и не	2	8
4	таким образом	1	6
5	не только	1	6
6	художественного произведения	1	5
7	все же	1	5
8	было бы	1	4
9	все это	2	4
10	в своей	1	4
11	что в	1	3
12	так и	1	3
13	говорить о	1	3
14	за пределы	1	3
15	в пределах	1	3
16	в области	1	2
17	в данном	1	2
18	другой стороны	1	2
19	в книге	1	2
20	в ней	2	2
21	поэтики и	1	2
22	говорить об	1	2
23	с другой	1	2
24	а не	1	2
25	и ее	1	2
26	методологической позиции	1	2
27	всего в	1	1
28	выходит за	1	1
29	вопрос о	1	1
30	теории литературы	1	1
31	в значительной	1	1
32	и более	1	1
33	для которой	1	1
34	литературы как	1	1
35	говорить не	1	1
36	точно и	1	1
37	формалистической поэтики	1	1
38	стр и	2	1
39	об этом	1	1
40	остановиться на	1	1
41	на самом	1	1
42	можно было	2	1
43	не вполне	1	1
44	выпадают из	1	1
45	не было	1	1
46	же не	1	1
47	теоретической и	1	1
48	в эпоху	1	1
49	одной из	1	1
50	свести к	1	1
51	до конца	1	1
52	далеко не	1	1
53	и о	1	1
54	о художественном	1	1
55	отнюдь не	1	1
56	и цельная	1	1
57	стр не	1	1
58	тем более	1	1
59	еще не	1	1
