N	2gram	Bakhtin_Fr	Freidism
1	таким образом	5	34
2	и не	34	34
3	точки зрения	10	31
4	не может	9	30
5	и пр	5	29
6	в этом	22	28
7	может быть	11	28
8	и в	105	28
9	прежде всего	26	26
10	в его	24	25
11	и его	24	22
12	с помощью	1	20
13	мы можем	2	20
14	как бы	33	19
15	как мы	12	18
16	то что	7	17
17	вовсе не	25	16
18	с точки	6	15
19	точка зрения	3	15
20	все эти	15	15
21	так как	11	15
22	с ним	6	14
23	в своей	8	14
24	так и	16	14
25	самом деле	3	14
26	и все	7	13
27	как и	15	13
28	по отношению	2	13
29	но в	16	13
30	во всех	13	13
31	в самом	7	12
32	то же	6	12
33	ни в	1	12
34	что он	5	12
35	том что	9	12
36	во внешнем	1	12
37	точку зрения	2	12
38	для него	12	12
39	все это	16	12
40	и потому	14	12
41	и наконец	2	12
42	мы видели	3	12
43	только в	16	11
44	мы знаем	1	11
45	сказать что	12	11
46	отношению к	2	11
47	его в	7	11
48	все что	2	10
49	один из	5	10
50	не только	24	10
51	и с	8	10
52	но и	20	10
53	конечно не	2	10
54	тот же	4	10
55	никогда не	11	10
56	в том	17	10
57	мы уже	18	10
58	он не	3	10
59	за пределы	10	10
60	не в	4	10
61	и на	25	9
62	те же	1	9
63	уже не	3	9
64	во всяком	2	9
65	совершенно не	5	9
66	мы не	1	9
67	с его	9	9
68	к этому	2	9
69	к нему	5	9
70	в чем	2	9
71	а не	1	9
72	мы должны	2	9
73	и др	32	9
74	могут быть	4	9
75	при этом	10	8
76	все же	10	8
77	еще не	8	8
78	с этим	1	8
79	было бы	4	8
80	и вот	5	8
81	знаем что	1	8
82	а в	4	8
83	на этом	2	8
84	в ней	7	8
85	всяком случае	2	8
86	что в	4	7
87	и к	7	7
88	не могут	4	7
89	связь с	8	7
90	в жизни	7	7
91	роль в	6	7
92	так сказать	5	7
93	его жизни	1	7
94	хотя бы	2	7
95	до конца	4	7
96	что все	1	7
97	и для	3	7
98	из них	7	7
99	на протяжении	9	7
100	того что	3	7
101	не является	4	7
102	но не	7	7
103	об этом	2	7
104	и у	7	7
105	с самого	1	7
106	в нем	16	7
107	к смерти	1	7
108	в этой	11	7
109	отношение к	9	7
110	в себе	7	7
111	жизни и	14	7
112	и прежде	4	7
113	в то	5	7
114	и ее	1	7
115	более того	3	7
116	зрения на	3	6
117	в человеке	1	6
118	учение о	2	6
119	одно из	7	6
120	не менее	2	6
121	к тому	3	6
122	можно сказать	4	6
123	в основе	8	6
124	для того	2	6
125	же время	5	6
126	из этих	7	6
127	мы имеем	1	6
128	как раз	3	6
129	что такое	1	6
130	во время	14	6
131	на самом	6	6
132	здесь в	14	6
133	сознания и	1	6
134	чем же	1	6
135	в таком	2	6
136	большинстве случаев	2	6
137	она не	2	6
138	в пределах	3	6
139	человека и	4	6
140	и о	4	6
141	и только	1	6
142	для этого	1	6
143	всех этих	10	6
144	которой мы	1	6
145	в более	4	5
146	со всеми	2	5
147	в своих	8	5
148	ее в	2	5
149	конечно и	4	5
150	в процессе	2	5
151	с ними	2	5
152	вместе с	1	5
153	со стороны	1	5
154	на первый	1	5
155	его ученики	1	5
156	тех же	3	5
157	т.е в	1	5
158	того чтобы	3	5
159	сознание и	1	5
160	говорить о	1	5
161	и до	6	5
162	можем сказать	1	5
163	по поводу	2	5
164	той же	1	5
165	это не	4	5
166	в ее	5	5
167	что и	2	5
168	с их	7	5
169	в которой	1	5
170	между ними	4	5
171	в этих	6	5
172	в себя	9	5
173	и по	3	5
174	таким путем	1	5
175	не было	3	5
176	другими словами	2	5
177	во второй	2	5
178	не знает	6	5
179	как это	1	5
180	далеко не	6	5
181	только то	1	5
