N	3gram	Vygotskiy_	VrazhdaK
1	то же время	2	4
2	в то же	2	4
3	в связи с	3	3
4	в том что	30	2
5	не может быть	8	2
6	как раз в	3	2
7	с точки зрения	34	2
8	по нашему убеждению	1	2
9	что к этому	1	1
10	в ответ на	1	1
11	в свою очередь	3	1
12	с помощью которых	2	1
13	в то время	5	1
14	в конце концов	1	1
15	одно и то	2	1
16	друг друга при	1	1
17	речь идет о	4	1
18	еще один пример	1	1
19	и во всей	1	1
20	причинами того что	2	1
21	о том как	1	1
22	точно так же	2	1
23	так же как	6	1
24	на то что	9	1
25	по нашему мнению	1	1
26	и в то	1	1
27	в соответствии с	1	1
28	не только от	1	1
29	следует рассматривать в	1	1
30	по крайней мере	1	1
31	и никогда не	1	1
32	шаг за шагом	3	1
33	что в этой	1	1
34	в этом смысле	3	1
35	нам говорить о	1	1
36	заключается в том	10	1
37	а с другой	6	1
38	и то что	1	1
39	не только не	2	1
40	о том что	10	1
41	но и от	1	1
42	но и как	1	1
43	при этом он	1	1
44	до сих пор	4	1
45	в высшей степени	7	1
46	но об этом	1	1
47	есть все основания	2	1
48	на этот раз	1	1
49	в том же	3	1
50	или по крайней	1	1
51	во всяком случае	5	1
52	а следовательно и	1	1
53	между тем это	1	1
54	тем не менее	1	1
55	к вопросу о	1	1
56	и в самом	2	1
57	то что я	1	1
58	едва ли не	1	1
59	на первый план	3	1
60	с другой стороны	10	1
61	в известном смысле	3	1
62	у него в	1	1
63	но и это	1	1
64	всего то что	1	1
65	что у него	1	1
66	тем более что	1	1
67	что для нас	1	1
68	независимо от того	2	1
69	не только как	1	1
70	и то же	2	1
71	тем что как	1	1
72	в его поведении	1	1
73	в этом отношении	6	1
74	и не может	1	1
75	и в этом	1	1
