N	2gram	Bakhtin_Fr	VelikijI
1	и не	34	20
2	и в	105	16
3	свободы и	1	12
4	так как	11	9
5	то что	7	9
6	в истории	5	8
7	еще не	8	8
8	и потому	14	7
9	что они	2	7
10	а не	1	7
11	на земле	3	7
12	к людям	1	6
13	человека и	4	6
14	не есть	1	6
15	хотя и	4	5
16	того что	3	5
17	все это	16	5
18	ты не	1	5
19	как бы	33	5
20	в мире	1	5
21	но и	20	5
22	все что	2	4
23	в котором	1	4
24	в этом	22	4
25	что мы	2	4
26	потому что	6	4
27	в его	24	4
28	в ней	7	4
29	так и	16	4
30	говорить о	1	4
31	мы хотим	1	4
32	мира сего	1	4
33	и все	7	4
34	что не	3	4
35	в образе	1	4
36	что все	1	4
37	как и	15	4
38	что он	5	4
39	нет у	1	4
40	в нем	16	4
41	во всех	13	3
42	что в	4	3
43	нет ничего	3	3
44	за ним	2	3
45	в конце	3	3
46	этого мира	1	3
47	нас и	1	3
48	если не	1	3
49	хотя бы	2	3
50	в том	17	3
51	любовь к	1	3
52	не в	4	3
53	что и	2	3
54	же ты	1	3
55	ни в	1	3
56	они в	2	3
57	превращается в	6	3
58	людей он	1	3
59	в этих	6	3
60	в них	13	3
61	оно не	2	3
62	в вопросе	1	3
63	не было	3	3
64	христа в	1	3
65	лишь в	4	3
66	к чему	1	3
67	что во	1	3
68	в средство	1	3
69	в жизни	7	3
70	и они	1	3
71	как не	1	3
72	их от	2	3
73	их в	3	3
74	в своей	8	3
75	должна быть	1	3
76	и вечной	1	3
77	с его	9	3
78	от этого	1	3
79	но это	5	3
80	и для	3	3
81	жизни и	14	3
82	в чем	2	3
83	все эти	15	3
84	тот же	4	3
85	но в	16	3
86	к тому	3	3
87	никогда не	11	3
88	людей в	1	3
89	что было	1	2
90	всего в	1	2
91	страшный и	1	2
92	во всяком	2	2
93	от него	2	2
94	его и	1	2
95	уже на	1	2
96	в смысл	1	2
97	один из	5	2
98	превращаются в	1	2
99	мы и	4	2
100	не могли	1	2
101	они и	1	2
102	и вечно	1	2
103	которые не	1	2
104	и люди	2	2
105	не создает	1	2
106	того чтобы	3	2
107	это не	4	2
108	земли и	5	2
109	между тем	5	2
110	не только	24	2
111	и над	4	2
112	для него	12	2
113	вот почему	1	2
114	с ним	6	2
115	на этих	1	2
116	которой они	1	2
117	понимает и	1	2
118	ее в	2	2
119	для нас	5	2
120	и за	2	2
121	прежде всего	26	2
122	для них	2	2
123	можно было	4	2
124	в форме	6	2
125	людей и	2	2
126	а между	1	2
127	и это	3	2
128	соединение в	1	2
129	мы не	1	2
130	конечно не	2	2
131	тогда уже	1	2
132	и теперь	1	2
133	только в	16	2
134	полного и	1	2
135	а в	4	2
136	до того	1	2
137	в духе	9	2
138	веков мы	1	2
139	истории и	2	2
140	и сам	2	2
141	было еще	2	2
142	людей так	1	2
143	нет и	2	2
144	но не	7	2
145	тем что	5	2
146	вера в	1	2
147	по которым	1	2
148	духа и	3	2
149	и во	6	2
150	могут быть	4	2
151	значения и	1	2
152	не имел	1	2
153	с тем	1	2
154	мир от	2	2
155	к нам	1	2
156	одна из	5	2
157	стало возможным	1	2
158	для людей	1	2
159	его к	2	2
160	не могут	4	2
161	да и	5	2
162	и новые	1	2
163	том что	9	2
164	мир и	3	2
165	в себя	9	2
166	нем нет	1	2
167	уже не	3	2
168	вопросе о	1	2
169	мира в	3	2
170	не к	2	2
171	от своей	1	2
172	людей не	1	2
173	с радостью	1	1
174	свобода и	1	1
175	своим предметом	1	1
176	быть открыта	1	1
177	жизни но	2	1
178	и мир	1	1
179	звучит в	1	1
180	с которыми	1	1
181	в самом	7	1
182	во всем	5	1
183	мире и	3	1
184	перестает быть	3	1
185	были в	4	1
186	в образах	1	1
187	природы в	1	1
188	конечно это	1	1
189	дадим им	1	1
190	связь с	8	1
191	и другие	10	1
192	то есть	71	1
193	его связь	4	1
194	было не	1	1
195	гораздо шире	1	1
196	всем в	1	1
197	а потому	1	1
198	человека в	1	1
199	но как	3	1
200	это одна	1	1
201	человеческой души	1	1
202	мы видим	2	1
203	природы человека	1	1
204	конца мира	1	1
205	если оно	1	1
206	самой жизни	4	1
207	на котором	3	1
208	человек был	1	1
209	человеческой жизни	1	1
210	речь идет	1	1
211	вообще в	1	1
212	он говорит	1	1
213	будто бы	1	1
214	и на	25	1
215	она и	1	1
216	тому кто	1	1
217	на части	1	1
218	далее и	1	1
219	на этом	2	1
220	же и	1	1
221	может быть	11	1
222	они не	1	1
223	видим что	1	1
224	к человеку	1	1
225	раз и	2	1
226	и свою	1	1
227	ее на	1	1
228	воплощение в	1	1
229	того как	1	1
230	эта не	1	1
231	это как	5	1
232	и вообще	5	1
233	всего можно	1	1
234	общественной жизни	1	1
235	понять отношение	1	1
236	до христа	1	1
237	и вот	5	1
238	она не	2	1
239	но она	1	1
240	уже в	5	1
241	на новый	2	1
242	в состоянии	3	1
243	для себя	1	1
244	с этой	1	1
245	то же	6	1
246	и если	1	1
247	для всякого	1	1
248	теперь в	1	1
249	главах мы	1	1
250	по сравнению	2	1
251	для того	2	1
252	сложное и	1	1
253	и могли	2	1
254	и менее	1	1
255	это только	1	1
256	образ и	1	1
257	жизни во	1	1
258	освободиться от	2	1
259	свободного и	2	1
260	не для	2	1
261	эта идея	1	1
262	и своим	1	1
263	кто знает	1	1
264	но от	1	1
265	и новой	1	1
266	это значит	1	1
267	образа в	1	1
268	не всегда	1	1
269	в разных	2	1
270	людей как	1	1
271	от всякой	1	1
272	имел еще	1	1
273	их было	1	1
274	о чем	3	1
275	своей сущности	1	1
276	и единый	1	1
277	образ в	1	1
278	в ее	5	1
279	и мощное	1	1
280	смертью и	2	1
281	и уже	1	1
282	жизни там	1	1
283	говорит о	2	1
284	нашего времени	1	1
285	как это	1	1
286	этот мир	2	1
287	не понимает	4	1
288	как церковь	2	1
289	есть еще	1	1
290	от этой	1	1
291	мы в	1	1
292	духе его	1	1
293	в которую	1	1
294	что люди	2	1
295	более глубокое	2	1
296	в человеке	1	1
297	победы над	1	1
298	в тот	1	1
299	не были	4	1
300	есть и	2	1
301	и распадения	1	1
302	свободные от	1	1
303	в поверхностную	1	1
304	среди людей	1	1
305	в одном	8	1
306	у нас	1	1
307	свою свободу	1	1
308	нового времени	17	1
309	в этой	11	1
310	мира с	1	1
311	в результате	1	1
312	говорит что	1	1
313	кто бы	1	1
314	в виду	5	1
315	другой стороны	1	1
316	в день	3	1
317	полноту своего	1	1
318	еще больше	1	1
319	на людей	1	1
320	я не	1	1
321	и чем	1	1
322	у него	2	1
323	по словам	1	1
324	них и	1	1
325	вот в	1	1
326	власти и	2	1
327	не существует	1	1
328	так же	2	1
329	в виде	1	1
330	христа на	1	1
331	быть на	1	1
332	над ним	1	1
333	не была	2	1
334	не был	1	1
335	мы им	1	1
336	с уважением	1	1
337	но с	2	1
338	и всех	1	1
339	в своих	8	1
340	является и	1	1
341	в противоположность	3	1
342	их и	1	1
343	всего что	2	1
344	старых форм	1	1
345	в разные	1	1
346	с другой	3	1
347	конечно в	2	1
348	в которой	1	1
349	но все	5	1
350	богами и	1	1
351	ее от	1	1
352	и с	8	1
353	с универсальным	1	1
354	наших дней	1	1
355	о мире	8	1
356	к ним	1	1
357	жизнь в	1	1
358	и говорит	1	1
359	в лице	1	1
360	отношение к	9	1
361	он всегда	2	1
362	стариков и	1	1
363	ко всем	1	1
364	на путь	1	1
365	было для	1	1
366	реакция на	1	1
367	жизнь как	1	1
368	которого они	2	1
369	известном смысле	1	1
370	места в	1	1
371	в мир	2	1
372	то и	1	1
373	и полное	1	1
374	или даже	2	1
375	мы дадим	2	1
376	ее но	1	1
377	и ложь	1	1
378	всех формах	1	1
379	он так	2	1
380	него не	1	1
381	и свободой	2	1
382	лишь как	1	1
383	и начало	3	1
384	как мы	12	1
385	еще недостаточно	2	1
386	имеет своим	1	1
387	это право	1	1
388	но нет	1	1
389	и до	6	1
390	лишь к	2	1
391	и своих	2	1
392	в процессе	2	1
393	но прежде	3	1
394	и своего	1	1
395	где можно	1	1
396	сущности и	1	1
397	на него	2	1
398	в своем	11	1
399	присутствует в	1	1
400	веке в	1	1
401	это очень	2	1
402	xx веке	1	1
403	его на	2	1
404	был в	1	1
405	еще и	6	1
406	будем говорить	1	1
407	к жизни	2	1
408	целое и	1	1
409	и от	3	1
410	в изображении	2	1
411	лишь на	1	1
412	мы будем	4	1
413	как она	1	1
414	за них	1	1
415	ничего не	3	1
416	весь мир	3	1
417	с ними	2	1
418	так часто	1	1
419	всегда в	3	1
420	им и	1	1
421	к миру	2	1
422	и именно	2	1
423	и очень	2	1
424	ней и	1	1
425	человек с	1	1
426	о которой	1	1
427	и так	2	1
428	вместе с	1	1
429	все же	10	1
430	и которые	1	1
431	как в	6	1
432	в которых	1	1
433	жизни в	8	1
434	находится в	1	1
435	правда должна	1	1
436	значение в	1	1
437	по законам	1	1
438	роль в	6	1
439	им в	1	1
440	можно ли	1	1
441	как возможна	1	1
442	бы ни	2	1
443	себя и	2	1
444	еще к	1	1
445	а его	2	1
446	и по	3	1
447	менее всего	5	1
448	в xx	1	1
449	и эта	5	1
450	к этому	2	1
451	в их	6	1
452	этой новой	2	1
453	со своей	1	1
454	земными царями	1	1
455	и внешней	1	1
456	который был	3	1
457	это в	5	1
458	ли он	1	1
459	и свободу	1	1
460	средство для	1	1
461	сравнению с	2	1
462	мира и	4	1
463	ей все	1	1
464	конце концов	1	1
465	бытия в	1	1
466	в другие	1	1
467	ни для	1	1
468	в известном	1	1
469	для раскрытия	1	1
470	таким же	1	1
471	себе и	2	1
472	не просто	3	1
473	он был	3	1
474	так говорит	1	1
475	наш мир	1	1
476	в целом	3	1
477	и ее	1	1
478	вовсе не	25	1
479	что на	1	1
480	людей с	1	1
481	жизни с	1	1
482	это самое	1	1
483	есть не	1	1
484	в искусстве	3	1
485	бог не	1	1
486	со свободой	2	1
487	бы это	1	1
488	бы в	2	1
489	человеческую жизнь	1	1
490	от новых	1	1
491	к нему	5	1
492	от них	1	1
493	и смерти	6	1
494	свое особое	1	1
495	абсолютизма и	1	1
