N	3gram	Trubetskoy	NovoeSre
1	не может быть	1	4
2	лицом к лицу	1	3
3	он не имеет	2	2
4	вместе с тем	8	2
5	так же как	3	2
6	с одной стороны	7	2
7	с другой стороны	1	2
8	воли к жизни	1	1
9	сами по себе	1	1
10	в том что	3	1
11	не в том	1	1
12	до сих пор	5	1
13	в эту эпоху	1	1
14	и потому что	2	1
15	в то что	1	1
16	человека и в	1	1
17	но для этого	1	1
18	том числе и	4	1
19	и вместе с	4	1
20	то что он	2	1
21	в отличие от	1	1
22	который можно назвать	1	1
23	к богу или	1	1
24	в одну из	1	1
25	востока и запада	1	1
26	о том что	4	1
27	что в этом	1	1
28	и того же	1	1
29	и не могут	1	1
30	заключает в себе	2	1
31	это связано с	1	1
32	но и потому	1	1
33	во всяком случае	6	1
34	в том числе	5	1
35	совершенно так же	1	1
36	материальные и духовные	1	1
37	и для того	2	1
38	в то время	1	1
39	все в мире	1	1
40	это и есть	1	1
41	всю духовную жизнь	1	1
42	одного и того	1	1
