N	2gram	Medvedev_V	TeoriaLi
1	в качестве	12	33
2	не только	26	24
3	и в	26	24
4	в частности	12	23
5	то есть	1	22
6	может быть	23	22
7	в том	15	20
8	художественной деятельности	2	17
9	и не	20	17
10	а в	3	15
11	но и	10	14
12	а не	7	14
13	так и	6	14
14	в себе	6	14
15	но не	2	13
16	в этом	29	12
17	сводится к	3	12
18	но в	2	12
19	в его	15	12
20	то же	10	12
21	том что	8	11
22	точки зрения	3	11
23	и его	6	11
24	что в	11	10
25	по отношению	7	10
26	как это	12	10
27	лишь в	2	10
28	отношению к	7	10
29	только в	8	9
30	в данном	1	9
31	с другой	11	9
32	в искусстве	6	9
33	не в	6	9
34	в то	6	9
35	в своей	4	8
36	же время	5	8
37	как бы	5	8
38	всего лишь	3	8
39	не может	17	8
40	в самом	4	7
41	не столько	2	7
42	или иной	2	7
43	в своем	8	7
44	мы имеем	3	7
45	а также	1	7
46	отношение к	1	7
47	в области	2	7
48	в нем	7	7
49	другой стороны	8	6
50	более или	6	6
51	конечном счете	5	6
52	как и	7	6
53	не менее	2	6
54	приводит к	6	6
55	еще не	2	6
56	в основе	1	6
57	то что	7	6
58	со стороны	1	6
59	уже не	1	6
60	с его	4	6
61	в ее	4	6
62	с другими	2	6
63	в конечном	7	6
64	или иначе	1	6
65	между ними	3	6
66	или менее	6	6
67	героя и	1	6
68	того или	2	6
69	или иного	1	6
70	художественного творчества	19	5
71	ни в	1	5
72	в виду	4	5
73	так или	1	5
74	как в	1	5
75	в художественном	10	5
76	а а	1	5
77	можно сказать	4	5
78	не является	5	5
79	того чтобы	3	5
80	для того	3	5
81	я с	1	5
82	на почве	1	5
83	данном случае	1	5
84	для него	9	5
85	а и	1	5
86	того что	3	5
87	между тем	6	5
88	он не	2	5
89	и тем	1	5
90	в пределах	5	5
91	в ходе	1	5
92	могут быть	8	5
93	художественного произведения	6	5
94	не случайно	1	5
95	искусства в	1	5
96	не следует	8	4
97	и сам	2	4
98	в этих	1	4
99	что он	4	4
100	в слове	3	4
101	творческого акта	1	4
102	художественного целого	1	4
103	входит в	1	4
104	в другом	2	4
105	говорить о	2	4
106	сказать что	5	4
107	к тому	5	4
108	во времени	1	4
109	никогда не	5	4
110	это не	7	4
111	хотя и	2	4
112	слова в	1	4
113	в их	5	4
114	его в	3	4
115	но он	1	4
116	или даже	1	4
117	мира и	3	4
118	по своему	1	4
119	в воображении	2	4
120	а только	1	4
