N	3gram	Ircho_Kome	Sotsiolo
1	по отношению к	4	2
2	в том что	15	2
3	в конце концов	3	2
4	и в то	2	1
5	в то же	11	1
6	друг от друга	1	1
7	в конечном счете	2	1
8	с одной стороны	4	1
9	в связи с	3	1
10	то же самое	3	1
11	на первый план	1	1
12	чуть ли не	2	1
13	трудно представить себе	1	1
14	главным образом в	1	1
15	по крайней мере	1	1
16	о том как	5	1
17	в этой области	1	1
18	то же время	11	1
19	в противном случае	1	1
20	как художественный организм	1	1
21	что он говорит	1	1
22	сама по себе	1	1
23	и стало быть	1	1
24	нашей работы в	1	1
25	во всяком случае	3	1
26	должно было бы	1	1
27	и в этом	1	1
28	а тем более	1	1
29	в настоящее время	1	1
30	в лучшем случае	1	1
31	не было бы	1	1
