N	3gram	Propp_Morf	Vvedenie
1	и т д	60	39
2	для того чтобы	3	22
3	в том что	4	15
4	о том что	3	13
5	не может быть	9	10
6	тем не менее	6	9
7	до сих пор	1	7
8	в применении к	1	6
9	том что такое	1	6
10	в то же	1	6
11	в этом случае	10	6
12	то же время	1	6
13	на этот вопрос	1	5
14	не что иное	2	5
15	что иное как	2	5
16	с другой стороны	5	5
17	т д но	4	5
18	во всяком случае	2	5
19	вопрос о том	2	5
20	по отношению к	7	4
21	с точки зрения	6	4
22	можно было бы	2	4
23	в данном случае	2	4
24	но все же	4	4
25	с одной стороны	2	4
26	в этом отношении	2	4
27	может быть названо	4	4
28	и тем не	2	3
29	той или иной	1	3
30	в чем же	1	3
31	в собственном смысле	3	3
32	можно сказать что	1	3
33	тех или иных	1	3
34	есть не что	1	3
35	в этих случаях	14	2
36	в свою очередь	1	2
37	т е не	1	2
38	т д а	2	2
39	мы уже знаем	1	2
40	этой точки зрения	1	2
41	до наших дней	2	2
42	что же касается	1	2
43	с этой точки	1	2
44	только в том	1	2
45	и что следовательно	1	2
46	и то же	1	2
47	как мы уже	1	2
48	состоит в том	3	2
49	т д в	2	2
50	т д все	1	2
51	в первом случае	3	2
52	это еще не	2	2
53	одно и то	1	2
54	могут быть названы	1	2
55	точно так же	2	2
56	в том или	1	2
57	подобно тому как	5	2
58	не могут быть	4	2
59	в связи с	9	2
60	здесь не место	1	2
61	уже не только	1	2
62	после того как	1	2
63	что несмотря на	1	2
64	а также и	5	2
65	может быть и	2	2
66	отличие от других	1	1
67	т е о	1	1
68	собственном смысле слова	3	1
69	т е которые	1	1
70	таким образом мы	7	1
71	с этим и	1	1
72	еще не значит	1	1
73	и могут быть	1	1
74	в точности соответствует	2	1
75	с этим в	1	1
76	на вопрос что	1	1
77	т д таким	1	1
78	из этих двух	1	1
79	также в том	1	1
80	бы сказать что	1	1
81	т е на	1	1
82	со стороны тех	1	1
83	т д такая	1	1
84	в подобных случаях	1	1
85	действительно представляют собой	1	1
86	на самом деле	4	1
87	здесь как и	1	1
88	наряду с этим	5	1
89	дело не в	2	1
90	было бы сказать	1	1
91	так что даже	1	1
92	т е все	1	1
93	то для того	1	1
94	а в другом	1	1
95	как один из	1	1
96	ответить на этот	1	1
97	так как эти	1	1
98	т д и	1	1
99	которые хотя и	2	1
100	не значит что	3	1
101	но если мы	1	1
102	в отдельных случаях	3	1
103	не свободен от	1	1
104	есть и другие	2	1
105	один из важнейших	1	1
106	говорить о том	2	1
107	связи с этим	5	1
108	этот вопрос мы	1	1
109	между тем изучение	1	1
110	более или менее	2	1
111	в качестве примера	1	1
112	здесь не может	1	1
113	между тем мы	1	1
114	и есть то	1	1
115	в таком случае	1	1
116	так как не	1	1
117	в одном случае	1	1
118	и как они	1	1
119	может быть определено	1	1
120	об этом сообщает	1	1
121	все же в	1	1
122	д но есть	1	1
123	т д можно	1	1
124	так как эта	1	1
125	совершенно ясно что	1	1
126	потому что в	1	1
127	не потому что	1	1
128	одна за другой	1	1
129	возникает вопрос что	1	1
130	он представляет собой	1	1
131	тем что она	1	1
132	в настоящее время	3	1
133	в обоих случаях	2	1
134	она имеет свои	1	1
135	т д словом	1	1
136	сомневаться в том	1	1
137	с теми или	1	1
138	кроме того они	1	1
139	но как мы	1	1
140	д таким образом	1	1
141	мы имеем в	2	1
142	но если бы	1	1
143	д все эти	1	1
144	а потому что	1	1
145	с самого начала	1	1
146	в интересах более	1	1
147	том что он	1	1
148	может быть названа	1	1
149	и об отношении	1	1
150	точки зрения совершенно	1	1
151	раньше чем продолжать	1	1
152	то ни было	2	1
153	становится все более	1	1
154	но в этом	1	1
155	приводят к тому	2	1
156	она может быть	1	1
157	вряд ли кто-нибудь	1	1
158	в точном смысле	1	1
159	к тому что	4	1
160	всегда связана с	1	1
161	в таких случаях	2	1
162	один из наиболее	1	1
163	и т д.?	2	1
164	бы то ни	3	1
165	между прочим и	1	1
166	не то что	1	1
167	из которых каждый	1	1
168	то что в	2	1
169	может быть применено	1	1
170	т д эти	1	1
171	смысле слова а	1	1
172	потому что они	1	1
