N	4gram	Voloshinov	Analitik
1	в то же время	1	14
2	состоит в том что	1	7
3	не что иное как	2	6
4	есть не что иное	2	5
5	и не может быть	1	4
6	с этой точки зрения	1	2
7	в полном соответствии с	2	2
8	в каждом отдельном случае	1	2
9	в тех случаях когда	1	2
10	нет и не может	1	2
11	один и тот же	1	2
12	то же время в	1	2
13	одно и то же	2	2
14	но в то же	1	2
15	само по себе а	1	1
16	до тех пор пока	3	1
17	по отношению к предмету	1	1
18	и есть не что	1	1
19	неизбежно включает в себя	1	1
20	в собственном смысле слова	1	1
21	во всей своей полноте	1	1
22	в течение всего своего	1	1
