N	2gram	Berdyaev_V	Poddanst
1	не только	2	17
2	и в	16	14
3	и не	20	12
4	в этом	4	10
5	в том	3	9
6	то же	1	9
7	но в	3	9
8	хотя бы	3	8
9	только в	2	7
10	в ней	4	6
11	быть может	1	6
12	но и	5	6
13	может быть	1	5
14	с другой	1	5
15	не в	3	5
16	в которых	1	5
17	что в	3	4
18	в котором	4	4
19	и если	1	4
20	и потому	7	4
21	на пути	1	4
22	а в	2	4
23	то что	9	4
24	как бы	5	4
25	в своем	1	4
26	том что	2	4
27	что мы	4	3
28	мы не	2	3
29	это не	2	3
30	для того	1	3
31	между тем	2	3
32	хотя и	5	3
33	с тем	2	3
34	потому что	4	3
35	прежде всего	2	3
36	вслед за	2	3
37	но не	2	3
38	могут быть	2	3
39	и т	2	3
40	с ними	1	3
41	в нем	4	3
42	тот же	3	3
43	во всех	3	2
44	является в	2	2
45	и это	2	2
46	и мы	3	2
47	если в	1	2
48	более чем	2	2
49	пути в	1	2
50	и вот	1	2
51	церкви и	1	2
52	теперь в	1	2
53	по сравнению	1	2
54	эта идея	1	2
55	на этих	2	2
56	в ее	1	2
57	и тем	1	2
58	того что	5	2
59	в его	4	2
60	а не	7	2
61	для нас	2	2
62	все это	5	2
63	в которую	1	2
64	говорить о	4	2
65	в тот	1	2
66	света в	1	2
67	русской революции	1	2
68	для них	2	2
69	может и	1	2
70	и есть	4	2
71	в русском	1	2
72	в виде	1	2
73	в них	3	2
74	только это	1	2
75	не было	3	2
76	к чему	3	2
77	и с	1	2
78	может ли	1	2
79	духа и	2	2
80	должно быть	3	2
81	в жизни	3	2
82	одна из	2	2
83	в мире	5	2
84	да и	2	2
85	но к	1	2
86	есть не	1	2
87	и пусть	1	2
88	не к	2	2
89	бы ни	1	2
90	мира с	1	2
91	что было	2	1
92	и мир	1	1
93	будет с	1	1
94	нет ничего	3	1
95	ли они	1	1
96	во всяком	2	1
97	могли бы	1	1
98	не есть	6	1
99	о личности	1	1
100	и теперь	2	1
101	и то	2	1
102	но как	1	1
103	бы и	3	1
104	мы видим	1	1
105	эта не	1	1
106	а с	2	1
107	что от	2	1
108	не хотим	1	1
109	с его	3	1
110	за то	3	1
111	что оно	1	1
112	привести не	1	1
113	вместе с	1	1
114	вечности и	2	1
115	и на	1	1
116	в самом	1	1
117	вопрос о	1	1
118	и очень	1	1
119	о духе	1	1
120	они не	1	1
121	является и	1	1
122	это в	1	1
123	и ныне	2	1
124	и который	1	1
125	что бога	2	1
126	она не	1	1
127	уже в	1	1
128	должна быть	3	1
129	человеческого бытия	1	1
130	ними как	1	1
131	есть прежде	1	1
132	и великого	1	1
133	первобытным и	1	1
134	того чтобы	2	1
135	живет в	1	1
136	только мы	1	1
137	и менее	1	1
138	этом мире	1	1
139	и всегда	1	1
140	что истина	2	1
141	и должна	1	1
142	что это	1	1
143	духа а	1	1
144	миру в	1	1
145	есть путь	1	1
146	не были	1	1
147	и уже	1	1
148	и осмыслить	1	1
149	и другие	1	1
150	оно ни	1	1
151	от этой	1	1
152	что уже	1	1
153	мы все	1	1
154	не с	2	1
155	пусть не	1	1
156	и что	3	1
157	с богом	4	1
158	и современная	1	1
159	что и	3	1
160	ценности и	2	1
161	в трех	1	1
162	мы хотим	4	1
163	другой стороны	1	1
164	в мир	1	1
165	над личностью	1	1
166	нет никакого	1	1
167	к жизни	1	1
168	весь мир	1	1
169	в этих	3	1
170	них и	1	1
171	что все	4	1
172	в истории	8	1
173	так же	1	1
174	как она	1	1
175	это имеет	1	1
176	над ним	1	1
177	их не	1	1
178	все же	1	1
179	христа и	1	1
180	времени с	1	1
181	всего что	1	1
182	в результате	1	1
183	в которой	1	1
184	и любви	2	1
185	идти в	1	1
186	в прошлом	2	1
187	в этой	1	1
188	к ним	1	1
189	духа в	1	1
190	на нее	1	1
191	известном смысле	1	1
192	ней и	1	1
193	эти силы	1	1
194	на себя	5	1
195	и неверием	1	1
196	что не	4	1
197	мы и	2	1
198	что есть	5	1
199	ведет к	1	1
200	государства и	2	1
201	и ошибки	1	1
202	о смысле	4	1
203	но верим	1	1
204	находится в	1	1
205	давно уже	2	1
206	к конечному	1	1
207	как и	4	1
208	с которым	1	1
209	мир от	2	1
210	того света	1	1
211	к миру	1	1
212	и именно	1	1
213	в одно	1	1
214	ибо к	1	1
215	и по	1	1
216	и я	4	1
217	были в	1	1
218	христианского мира	1	1
219	т д	2	1
220	что во	3	1
221	в существе	2	1
222	не будут	1	1
223	сравнению с	1	1
224	во христе	3	1
225	когда в	2	1
226	в себя	2	1
227	в известном	1	1
228	и чем	1	1
229	не просто	1	1
230	он был	1	1
231	всемирной истории	3	1
232	подхватят и	1	1
233	не имеет	3	1
234	есть и	1	1
235	в число	2	1
236	и ее	1	1
237	тем чтобы	1	1
238	есть знак	1	1
239	в бытии	1	1
240	злого начала	1	1
241	богом и	1	1
242	смысле на	1	1
243	бы это	1	1
244	и быть	1	1
245	никогда не	3	1
246	еще не	8	1
