N	4gram	Bakhtin_Pr	Istorich
1	в то время как	2	13
2	так же как и	3	9
3	совершенно так же как	2	8
4	но тем не менее	1	6
5	с этой точки зрения	1	6
6	с другой стороны и	1	5
7	как это происходит в	1	3
8	бы то ни было	2	3
9	с другой стороны эта	1	2
10	в том что он	4	2
11	уже с самого начала	1	2
12	но все же не	1	2
13	в данном случае в	1	2
14	в том отношении что	1	2
15	одной и той же	1	2
16	таким образом мы можем	1	2
17	все новые и новые	1	2
18	само по себе но	1	2
19	что в данном случае	1	2
20	дело в том что	1	2
21	и не может быть	1	2
22	в том числе и	1	2
23	мы не можем здесь	1	2
24	потому что у него	1	2
25	само по себе не	1	1
26	что они не могут	1	1
27	что мы видим и	1	1
28	не потому что он	1	1
29	во всяком случае не	1	1
30	с одним из них	1	1
31	что ни есть на	1	1
32	независимо от того кто	1	1
33	ничем не отличается от	1	1
34	заключается в том что	1	1
35	он почти никогда не	1	1
36	миру подобно тому как	1	1
37	на задний план перед	1	1
38	отношении друг к другу	1	1
39	тем не менее и	1	1
40	а может быть даже	2	1
41	что у меня есть	1	1
42	и каждый из них	1	1
43	один из них не	1	1
44	мы можем сказать что	2	1
45	с точки зрения нашего	5	1
46	как один из возможных	1	1
47	а в том что	1	1
48	говорит он что в	1	1
49	ни один из них	1	1
50	в зависимости от того	1	1
51	в том что на	1	1
52	но с другой стороны	2	1
53	в своей книге о	1	1
54	поэтому она и не	1	1
55	и в этом смысле	2	1
56	что у него нет	1	1
57	какой бы то ни	1	1
58	в частности и в	1	1
59	подобно тому как в	2	1
60	в то же время	10	1
61	что же это за	1	1
