N	2gram	Tiupa_Vved	Sotsiolo
1	истории литературы	1	10
2	все это	3	7
3	в том	21	5
4	в этом	27	5
5	не только	32	3
6	не в	12	3
7	и в	23	3
8	и только	2	3
9	в его	9	3
10	о литературе	1	3
11	для нас	4	3
12	что в	6	2
13	то что	9	2
14	таким образом	6	2
15	том что	16	2
16	или даже	2	2
17	дело не	2	2
18	как бы	8	2
19	в результате	5	2
20	было бы	4	2
21	как будто	6	2
22	очевидно что	2	2
23	в частности	19	2
24	и мы	1	2
25	по природе	2	2
26	но и	31	2
27	может быть	25	2
28	она может	2	2
29	и что	2	2
30	это и	1	2
31	им не	1	2
32	по отношению	11	2
33	в конце	3	2
34	отношению к	11	2
35	исторического развития	1	2
36	должна быть	3	2
37	далеко не	5	2
38	тем более	3	2
39	только в	9	2
40	к которому	2	2
41	то же	8	2
42	еще не	8	2
43	базируются на	1	1
44	как то	1	1
45	а в	15	1
46	что он	2	1
47	в конечном	2	1
48	столь же	3	1
49	литературы как	1	1
50	даже в	3	1
51	литература как	1	1
52	быть не	4	1
53	в целом	4	1
54	в силу	2	1
55	на этот	2	1
56	более не	2	1
57	все эти	1	1
58	не один	2	1
59	не было	5	1
60	представить себе	2	1
61	сказать и	1	1
62	а вот	1	1
63	связи с	2	1
64	словесного творчества	2	1
65	точке зрения	1	1
66	нет а	1	1
67	в своей	10	1
68	что без	1	1
69	во всяком	3	1
70	в мире	9	1
71	и потому	2	1
72	все же	10	1
73	что это	2	1
74	или не	3	1
75	еще и	2	1
76	от друга	2	1
77	по крайней	1	1
78	иначе и	1	1
79	с другой	10	1
80	мы понимаем	1	1
81	мы должны	1	1
82	и стало	3	1
83	единства и	1	1
84	с ним	3	1
85	к вопросам	1	1
86	противном случае	2	1
87	между тем	3	1
88	собой не	1	1
89	и более	5	1
90	но как	1	1
91	на шею	1	1
92	строгом значении	2	1
93	в этой	2	1
94	и его	9	1
95	опираясь на	1	1
96	ли не	2	1
97	именно такого	1	1
98	никак не	2	1
99	в данном	22	1
100	исторической поэтики	1	1
101	в области	5	1
102	и по	3	1
103	с помощью	1	1
104	же самое	2	1
105	этом не	2	1
106	один из	3	1
107	так и	14	1
108	в противном	2	1
109	в то	5	1
110	полагает что	1	1
111	вопрос автор	1	1
112	слова но	2	1
113	в котором	11	1
114	те же	2	1
115	между собой	2	1
116	произведение как	1	1
117	отнюдь не	14	1
118	и не	24	1
119	объекта и	1	1
120	но она	2	1
121	всяком случае	3	1
122	эти два	1	1
123	иначе говоря	8	1
124	благодаря тому	1	1
125	том как	4	1
126	настоящее время	1	1
127	по необходимости	1	1
128	и о	4	1
129	это вовсе	1	1
130	но не	9	1
131	может служить	4	1
132	они не	3	1
133	в те	1	1
134	в него	2	1
135	благодаря этому	1	1
136	этой области	1	1
137	для этого	2	1
138	прежде всего	11	1
139	тем что	2	1
140	что она	2	1
141	тем же	1	1
142	а.н веселовским	1	1
143	в строгом	2	1
144	и благодаря	1	1
145	искусство слова	1	1
146	друг от	2	1
147	в чем	2	1
148	на основании	1	1
149	что автор	1	1
150	а с	4	1
151	же не	1	1
152	но только	1	1
153	значении слова	1	1
154	в сущности	3	1
155	конечном счете	2	1
156	он говорит	1	1
157	его в	1	1
158	понимаем всю	1	1
159	не от	1	1
160	в наше	1	1
161	зависит от	3	1
162	крайней мере	1	1
163	стала для	1	1
164	тотчас же	1	1
165	в процессе	1	1
166	новое и	1	1
167	вовсе не	1	1
168	даже не	1	1
169	с одной	9	1
170	и наконец	2	1
171	о том	7	1
172	как науки	1	1
173	мы не	6	1
174	тому что	2	1
175	но именно	3	1
176	и затем	2	1
177	наше время	1	1
178	в этих	5	1
179	у него	8	1
180	по себе	2	1
181	как художественный	1	1
182	на первый	3	1
183	перед нами	13	1
184	бы он	1	1
185	и остаются	1	1
186	все то	1	1
187	хотя бы	2	1
188	же время	4	1
189	наконец в	1	1
190	что на	4	1
191	это не	7	1
192	одной стороны	9	1
193	в связи	1	1
194	бы в	4	1
195	стало быть	10	1
196	в виде	1	1
197	в настоящее	1	1
198	именно в	1	1
199	никогда не	6	1
200	голова его	1	1
201	и есть	2	1
202	не может	14	1
203	между ними	1	1
204	и как	2	1
205	принять его	1	1
206	что все	1	1
207	место в	2	1
208	как и	21	1
209	ничего не	3	1
210	в них	4	1
