N	4gram	Tiupa_Teor	Psycholo
1	заключается в том что	1	23
2	и в самом деле	2	19
3	с этой точки зрения	2	10
4	одно и то же	2	7
5	в том случае если	1	7
6	в том что она	1	7
7	так же точно и	1	7
8	в том что он	2	7
9	не что иное как	1	6
10	а с другой стороны	1	4
11	одним и тем же	1	4
12	в том что в	1	4
13	одного и того же	4	4
14	состоит в том что	5	4
15	точно так же как	1	4
16	никак не может быть	1	4
17	в то же время	8	3
18	том что он не	1	3
19	дело в том что	1	3
20	в том или ином	1	3
21	что в основе его	1	2
22	это имеет место в	1	2
23	в конечном счете к	1	2
24	с одной стороны и	1	2
25	есть в конечном счете	1	2
26	бы то ни было	2	2
27	приводит к тому что	2	2
28	в том и состоит	1	2
29	есть не что иное	1	2
30	той мере в какой	1	1
31	в той мере в	1	1
32	подход к изучению искусства	1	1
33	в коем случае не	2	1
34	брожу ли я вдоль	1	1
35	то же разница в	1	1
36	ни в коем случае	2	1
37	в связи с этим	1	1
38	я вдоль улиц шумных	1	1
39	находятся между собой в	1	1
40	более или менее определенным	1	1
41	может быть определена как	1	1
42	как бы вбирает в	1	1
43	в обычной речи и	1	1
44	в таком случае это	1	1
45	одного сознания к другому	1	1
46	ни к чему не	1	1
47	от одного сознания к	1	1
48	в том числе и	2	1
49	одном и том же	1	1
50	а между тем в	1	1
51	за минуту до этого	1	1
52	том и состоит чтобы	1	1
53	но в таком случае	1	1
54	понимается при этом как	1	1
55	как это имеет место	1	1
56	включает в себя и	1	1
57	по себе а в	1	1
58	какой бы то ни	1	1
59	ли я вдоль улиц	1	1
60	мы имеем дело с	1	1
61	искусства и в частности	1	1
62	бы вбирает в себя	1	1
