N	3gram	Losev_Dial	Istorich
1	и т д	28	142
2	в этих случаях	1	47
3	с другой стороны	7	46
4	до сих пор	4	30
5	с одной стороны	3	28
6	так же как	1	27
7	в том что	12	25
8	не может быть	4	24
9	вместе с тем	1	23
10	но все же	2	23
11	тем не менее	3	23
12	точно так же	3	22
13	о том что	6	22
14	не только в	2	19
15	в связи с	3	17
16	мы уже знаем	4	15
17	в данном случае	1	15
18	на то что	4	14
19	в то время	2	13
20	то время как	2	13
21	но и в	1	12
22	не что иное	4	11
23	во всех этих	1	11
24	т е в	3	11
25	что иное как	4	11
26	можно было бы	4	10
27	что и в	1	10
28	друг с другом	2	9
29	уже знаем что	2	9
30	но так как	1	9
31	как мы увидим	1	9
32	более или менее	5	9
33	же как и	1	9
34	и вместе с	1	9
35	надо сказать что	1	8
36	то же самое	3	8
37	таким образом и	1	8
38	и то что	1	8
39	мере того как	1	8
40	по мере того	1	8
41	подобно тому как	1	8
42	в зависимости от	2	8
43	дело не в	1	7
44	с этой стороны	2	7
45	во всяком случае	3	7
46	что он не	2	7
47	потому что он	5	7
48	если бы мы	1	7
49	в мифе о	1	7
50	на первый взгляд	2	7
51	сих пор мы	1	7
52	не в силу	1	6
53	к тому же	2	6
54	это значит что	16	6
55	но это не	2	6
56	т д все	2	6
57	так как он	2	6
58	все же не	1	6
59	т д или	1	6
60	т д но	2	6
61	это может быть	1	6
62	с самого начала	2	6
63	то что он	1	5
64	том что в	1	5
65	на задний план	1	5
66	для того чтобы	1	5
67	т д мы	1	5
68	так как это	2	5
69	в том чтобы	1	5
70	в нем и	2	5
71	что это за	3	5
72	т д и	3	5
73	есть не что	3	5
74	т д в	1	5
75	же можно сказать	2	5
76	на самом деле	3	5
77	это далеко не	1	4
78	перед нами как	1	4
79	так или иначе	3	4
80	но мы уже	2	4
81	то это значит	3	4
82	в чистом виде	1	4
83	и может быть	3	4
84	только то что	6	4
85	с точки зрения	18	4
86	мы должны считать	2	4
87	однако это не	1	4
88	это еще не	1	4
89	содержит в себе	5	4
90	вопрос о том	1	4
91	то что она	1	4
92	иметь в виду	4	4
93	по себе не	7	4
94	то же можно	1	4
95	это показывает что	1	4
96	и тем не	1	4
97	сами по себе	4	4
98	в это время	1	4
99	можно сказать что	6	4
