N	2gram	Medvedev_V	IolandNe
1	что в	11	2
2	самого себя	2	2
3	он не	2	2
4	должен быть	4	2
5	о достоевском	1	2
6	и не	20	2
7	в этом	29	2
8	говорить о	2	1
9	все эти	8	1
10	для того	3	1
11	а в	3	1
12	понятий и	1	1
13	утверждает что	3	1
14	это было	1	1
15	и та	1	1
16	пишет и	3	1
17	что для	4	1
18	для него	9	1
19	вплоть до	2	1
20	тех же	1	1
21	тем что	1	1
22	не случайно	1	1
23	только что	4	1
24	бы его	1	1
25	а если	1	1
26	не слишком	1	1
27	с а	2	1
28	нам в	1	1
29	художественного творчества	19	1
30	и др	10	1
31	жизни и	3	1
32	и идей	1	1
33	с другой	11	1
34	этого писателя	1	1
35	в целом	5	1
36	более чем	1	1
37	значительной мере	3	1
38	очевидно что	7	1
39	стороны он	1	1
40	другой стороны	8	1
41	произведения и	7	1
42	автор не	1	1
43	могло бы	2	1
44	и еще	1	1
45	что при	2	1
46	если бы	3	1
47	отношению к	7	1
48	бы все	1	1
49	следующим образом	4	1
50	в художественном	10	1
51	по существу	4	1
52	и сам	2	1
53	того что	3	1
54	них не	4	1
55	а с	1	1
56	только для	2	1
57	по поводу	4	1
58	так то	1	1
59	а также	1	1
60	так и	6	1
61	художественном творчестве	6	1
62	в основе	1	1
63	в значительной	3	1
64	о творчестве	2	1
65	без этого	1	1
66	а отсюда	1	1
67	того чтобы	3	1
68	и без	1	1
69	и творчества	1	1
70	а для	2	1
71	бы в	3	1
72	с жизнью	1	1
73	этим и	1	1
74	не дает	1	1
75	а по	1	1
76	и в	26	1
77	никогда не	5	1
78	все это	13	1
79	по отношению	7	1
80	и дети	1	1
81	как о	3	1
82	в них	5	1
