N	3gram	Trubetskoy	Istorich
1	до сих пор	5	30
2	в этом случае	3	29
3	так же как	1	27
4	в том что	7	25
5	не может быть	4	24
6	вместе с тем	3	23
7	но все же	1	23
8	тем не менее	1	23
9	точно так же	2	22
10	о том что	2	22
11	в связи с	1	17
12	мы уже знаем	1	15
13	в данном случае	3	15
14	по отношению к	1	14
15	на то что	4	14
16	всех этих случаях	1	11
17	во всех этих	1	11
18	можно было бы	3	10
19	друг с другом	14	9
20	уже знаем что	1	9
21	более или менее	4	9
22	и вместе с	2	9
23	то же самое	1	8
24	на этот вопрос	1	8
25	и то что	3	8
26	в большинстве случаев	2	7
27	смысле этого слова	1	7
28	во всяком случае	6	7
29	что он не	2	7
30	на первый взгляд	1	7
31	сих пор мы	1	7
32	и в других	1	6
33	к тому же	1	6
34	с самого начала	1	6
35	для того чтобы	6	5
36	должны были бы	1	5
37	так как это	1	5
38	в том чтобы	1	5
39	в том числе	1	5
40	в другом месте	1	5
41	на самом деле	6	5
42	но мы уже	1	4
43	во всем мире	1	4
44	только то что	1	4
45	с точки зрения	9	4
46	состоит в том	1	4
47	тем что он	1	4
48	вопрос о том	1	4
49	он не может	1	4
50	о том чтобы	2	4
51	между прочим и	1	4
52	это и есть	1	4
53	в этом направлении	2	3
54	и тем самым	2	3
55	к тому что	2	3
56	за то что	1	3
57	дело в том	1	3
58	но и для	1	3
59	в другом случае	2	3
60	что он на	1	3
61	но мы знаем	1	3
62	это завело бы	1	3
63	то ни было	1	3
64	бы то ни	4	3
65	так же и	1	3
66	в противоречие с	2	3
67	и не только	1	3
68	может быть назван	1	2
69	в самом деле	1	2
70	указывает на то	1	2
71	из всех этих	1	2
72	быть не может	1	2
73	друг от друга	2	2
74	она не может	2	2
75	этом случае совершенно	1	2
76	том числе и	1	2
77	именно так как	1	2
78	и таким образом	1	2
79	во многих случаях	1	2
80	а в том	1	2
81	то и другое	1	2
82	сама по себе	2	2
83	еще на одну	1	2
84	завело бы нас	1	2
85	мы должны себе	1	2
86	что не только	1	2
87	к тому чтобы	4	2
88	только в том	2	2
89	в этом и	1	2
90	и должно было	1	2
91	не просто в	1	2
92	знаем что это	1	2
93	связаны друг с	1	2
94	в своих целях	1	2
95	здесь же мы	1	2
96	совершенно очевидно что	1	2
97	бы привести к	1	2
98	между собой и	1	2
99	это конечно не	1	2
100	не только для	1	2
101	и прежде всего	1	2
102	в этой роли	1	2
103	и то и	1	2
104	а если не	1	2
105	и в том	2	2
106	и не может	3	2
107	нас слишком далеко	1	2
108	в свою очередь	1	2
109	и должно быть	1	2
110	в борьбе с	1	2
111	мы не знаем	1	2
112	совершенно таким же	2	2
113	бы нас слишком	1	2
114	так как оно	1	2
115	совершенно ясно что	1	2
116	должны себе представить	1	2
117	о том чем	1	2
118	со стороны их	1	2
119	тем что они	1	2
120	но для нас	1	2
121	и на нем	1	2
122	бы показать что	1	2
123	к себе и	1	2
124	и в индии	1	1
125	для борьбы с	1	1
126	в согласии с	1	1
127	в себе элементы	1	1
128	и в другом	2	1
129	конечно не может	1	1
130	мог бы привести	1	1
131	которых идет речь	1	1
132	не может но	1	1
133	таким же образом	2	1
134	естественно поэтому что	1	1
135	подлежит никакому сомнению	1	1
136	оградить себя от	1	1
137	сводится к тому	1	1
138	чтобы освободиться от	1	1
139	но при этом	1	1
140	друг друга в	1	1
141	только один из	1	1
142	в союзе с	1	1
143	речь идет о	1	1
144	и во всем	1	1
145	только в виде	1	1
146	не играет роли	1	1
147	бы таким образом	2	1
148	ни к какому	1	1
149	к вопросу о	3	1
150	на земле что	1	1
151	лишь тогда когда	1	1
152	мы подойдем к	1	1
153	ее отношения к	1	1
154	является не только	1	1
155	необходимо иметь в	1	1
156	в себе и	2	1
157	но дело совершенно	1	1
158	для нас важно	1	1
159	можно согласиться с	1	1
160	несмотря на то	1	1
161	тем более что	1	1
162	дело совершенно меняется	1	1
163	и в частности	1	1
164	связи с данным	1	1
165	могут быть различны	1	1
166	они сами себя	1	1
167	создателей и носителей	1	1
168	но не к	1	1
169	что оно есть	1	1
170	содержат в себе	1	1
171	и что в	1	1
172	только с этой	1	1
173	к которому принадлежит	1	1
174	совместно с другими	1	1
175	таким образом оказывается	1	1
176	на земном шаре	1	1
177	из которых каждый	2	1
178	прежде всего в	1	1
179	народов и в	1	1
180	том случае когда	1	1
181	положение по сравнению	1	1
182	и что его	1	1
183	что же это	1	1
184	не подлежит никакому	1	1
185	это значило бы	1	1
186	дело сводится к	1	1
187	до известной степени	1	1
188	только для того	1	1
189	к ним с	1	1
190	в китае и	1	1
191	что он имеет	1	1
192	что все это	1	1
193	слишком далеко и	1	1
194	и только но	1	1
195	в этом отношении	1	1
196	в том случае	4	1
197	речь шла об	1	1
198	на точку зрения	1	1
199	на свою родину	1	1
