N	2gram	Vinokur_Ku	Dialekti
1	не есть	4	181
2	т е	54	159
3	и не	23	120
4	и т	62	82
5	по себе	10	79
6	а не	17	78
7	и в	44	77
8	т д	21	75
9	точки зрения	25	72
10	может быть	25	71
11	не только	29	66
12	значит что	1	61
13	то что	14	59
14	и есть	3	55
15	это значит	1	54
16	ничего не	6	54
17	не может	13	53
18	и даже	5	47
19	с точки	16	46
20	что это	11	46
21	есть нечто	2	46
22	так как	16	46
23	потому что	40	45
24	не просто	7	44
25	как бы	11	43
26	и что	11	42
27	ни в	3	42
28	не имеет	6	41
29	вовсе не	18	41
30	в том	47	40
31	в этом	31	39
32	то же	12	39
33	что такое	8	39
34	что она	5	38
35	это есть	2	38
36	в себе	4	38
37	что он	7	37
38	том что	30	37
39	прежде всего	14	37
40	так что	5	36
41	это не	13	36
42	она есть	2	35
43	что в	25	34
44	в нем	7	34
45	и все	4	33
46	того что	11	33
47	но и	13	32
48	ясно что	7	31
49	все это	10	31
50	сказать что	5	30
51	отнюдь не	5	30
52	и как	3	30
53	было бы	28	29
54	так и	10	29
55	как и	3	28
56	никогда не	2	27
57	в виду	7	26
58	крайней мере	11	26
59	не в	18	26
60	по крайней	11	26
61	есть и	1	26
62	говорить о	5	25
63	учение о	4	25
64	и то	7	25
65	и пр	23	25
66	есть только	1	25
67	есть не	2	25
68	но это	4	24
69	если бы	21	24
70	таким образом	17	23
71	в то	4	23
72	это и	6	23
73	что оно	6	23
74	и вот	4	23
75	но что	3	22
76	я не	5	22
77	что не	10	21
78	в чем	2	21
79	должна быть	6	21
80	она не	1	21
81	и с	11	20
82	о том	10	20
83	что и	5	20
84	что все	6	20
85	в таком	3	20
86	только в	15	20
87	в каком	6	20
88	совершенно не	4	20
89	только тогда	4	20
90	уже не	13	20
91	как раз	10	20
92	и вообще	1	20
93	в самом	20	19
94	не менее	12	19
95	в своем	4	19
96	как же	1	19
97	и притом	1	19
98	и это	3	19
99	как это	6	19
100	тогда когда	7	19
101	что мы	6	19
102	и его	8	19
103	же время	4	18
104	хотя бы	19	18
105	не что	2	18
106	с другой	14	18
107	что иное	2	18
108	ни на	1	18
109	что же	11	18
110	жизни и	1	18
111	иное как	3	18
112	в особенности	6	17
113	можно сказать	6	17
114	в сущности	11	17
115	той или	1	17
116	должно быть	6	17
117	он есть	3	17
118	но если	2	17
119	кроме того	2	16
120	то это	3	16
121	одно и	1	16
122	к нему	1	16
123	только не	1	16
124	тем не	10	16
125	или не	1	16
126	сам по	1	16
127	само по	6	16
128	в своей	4	16
129	да и	5	16
130	нет ничего	1	16
131	конечно не	3	16
132	мы не	1	16
133	об этом	4	16
134	же и	4	15
135	только что	2	15
136	все же	17	15
137	так же	8	15
138	и мы	2	15
139	несмотря на	6	15
140	мы уже	1	15
141	но только	5	15
142	как таковой	2	15
143	не мешает	1	15
144	самом деле	17	15
145	хотя и	7	15
146	сознания и	1	15
147	в виде	1	15
148	также и	7	15
149	быть и	1	15
150	и о	3	15
151	на то	6	15
152	или нет	1	14
153	а именно	4	14
154	даже и	5	14
155	с ним	5	14
156	не было	6	14
157	д и	3	14
158	я уже	2	14
159	и потому	6	14
160	и только	2	14
161	же это	2	14
162	и к	1	13
163	говорит о	1	13
164	другой стороны	12	13
165	отличается от	2	13
166	что именно	2	13
167	не то	1	13
168	что они	5	13
169	и следовательно	2	13
170	в смысле	2	13
171	он не	4	13
172	в силу	16	13
173	но в	11	13
174	мы находим	2	13
175	в ней	6	13
176	субъекта и	1	13
177	вы не	1	13
178	собственно говоря	1	13
179	именно в	7	12
180	с этим	6	12
181	вопрос о	11	12
182	вещей и	1	12
183	но как	2	12
184	но тогда	1	12
185	но не	11	12
186	даже не	1	12
187	могут быть	5	12
188	иной раз	2	12
