N	2gram	Berdyaev_N	EvropaiE
1	и в	16	37
2	что в	9	21
3	не только	5	18
4	в то	2	16
5	хотя бы	2	15
6	и не	11	14
7	но и	3	14
8	в своем	1	14
9	но в	2	14
10	в этом	7	12
11	в том	8	11
12	россия в	1	11
13	в области	1	11
14	так и	2	10
15	в себе	2	9
16	прежде всего	4	9
17	только в	1	9
18	в смысле	2	9
19	все более	1	9
20	так же	2	9
21	не может	16	9
22	с одной	2	8
23	в ее	3	8
24	в своей	3	8
25	одной стороны	2	8
26	было бы	1	8
27	думать что	2	8
28	к тому	3	8
29	так как	1	7
30	а также	1	7
31	как и	7	7
32	по своему	4	7
33	с другой	3	7
34	в последние	1	6
35	и даже	2	6
36	и на	2	6
37	том что	2	6
38	во всех	3	6
39	может быть	7	6
40	того чтобы	2	6
41	для того	1	6
42	то что	4	6
43	в той	1	5
44	не в	6	5
45	в россии	3	5
46	но не	2	5
47	от этого	1	5
48	и потому	4	5
49	же как	2	5
50	но если	1	5
51	в самом	1	4
52	на путях	2	4
53	мы не	2	4
54	хозяйственной жизни	2	4
55	не на	1	4
56	сельского хозяйства	1	4
57	по себе	1	4
58	не имеет	4	4
59	в каком	1	4
60	культуры в	5	4
61	вопрос о	3	4
62	как это	2	4
63	россии в	1	4
64	к ней	1	4
65	в ней	5	4
66	сказать что	3	4
67	можно сказать	1	4
68	и к	5	3
69	и мы	4	3
70	из всех	1	3
71	последние годы	1	3
72	можно было	2	3
73	в будущем	2	3
74	на себя	1	3
75	тем что	1	3
76	вообще не	1	3
77	большинстве случаев	1	3
78	как в	3	3
79	жизни в	3	3
80	мира и	2	3
81	в известном	1	3
82	в них	4	3
83	во всяком	1	3
84	во все	1	3
85	ли это	2	3
86	в свою	1	3
87	связано с	1	3
88	потому что	4	3
89	моря и	1	3
90	россии и	1	3
91	не будет	7	3
92	и для	4	3
93	культур и	1	3
94	народов и	1	3
95	потребность в	1	3
96	заключает в	1	3
97	этом смысле	2	3
98	в прошлом	3	3
99	к ним	3	3
100	как на	1	3
101	с тем	3	3
102	известном смысле	1	3
103	и от	2	3
104	место в	2	3
105	о том	4	3
106	и только	1	3
107	всяком случае	1	3
108	того же	1	3
109	из них	1	3
110	никогда не	6	3
111	и во	1	2
112	и этот	1	2
113	по преимуществу	1	2
114	и сейчас	1	2
115	и того	1	2
116	должна быть	3	2
117	во власти	1	2
118	и имеет	1	2
119	в его	1	2
120	но также	1	2
121	мира но	1	2
122	это значит	1	2
123	хотя и	2	2
124	не уходит	1	2
125	с этим	2	2
126	мира то	1	2
127	и творчества	2	2
128	для них	1	2
129	с другими	1	2
130	другой стороны	2	2
131	в этих	1	2
132	не могут	1	2
133	в свои	2	2
134	и с	2	2
135	и все	4	2
136	и германии	1	2
137	вместе с	2	2
138	долгое время	1	2
139	нас к	1	2
140	как не	8	2
141	помнить что	2	2
142	есть в	2	2
143	не есть	3	2
144	в мире	3	2
145	в эту	1	2
146	в существе	1	2
147	к той	1	2
148	на них	1	2
149	все другие	1	2
150	духовной жизни	2	2
151	и более	1	2
152	в котором	1	2
