N	3gram	Tiupa_Teor	Myslijsy
1	в том что	10	47
2	по отношению к	10	26
3	не может быть	5	19
4	заключает в себе	1	19
5	тем не менее	3	18
6	по крайней мере	1	17
7	в свою очередь	3	14
8	а между тем	1	13
9	то же время	8	13
10	в то же	8	13
11	более или менее	6	12
12	с другой стороны	6	12
13	для того чтобы	5	11
14	а в том	1	11
15	подобно тому как	3	11
16	в то время	1	10
17	с одной стороны	3	10
18	в таком случае	2	9
19	одного и того	4	9
20	и того же	4	9
21	о том что	1	9
22	не могут быть	2	9
23	в этом случае	1	8
24	в этом смысле	3	7
25	и то же	2	7
26	не только не	2	7
27	сама по себе	2	7
28	с точки зрения	3	7
29	как и в	2	7
30	можно сказать что	3	7
31	не в состоянии	1	7
32	одно и то	2	7
33	может быть названо	2	7
34	и как бы	1	6
35	друг от друга	1	6
36	то же самое	1	6
37	и в слове	1	6
38	может быть назван	1	5
39	тем и другим	1	5
40	по себе а	1	5
41	в том случае	1	5
42	таким образом что	1	5
43	к тому что	2	5
44	в сравнении с	1	5
45	все то что	1	4
46	с этой точки	2	4
47	но на деле	1	4
48	в данном случае	5	4
49	но не в	1	4
50	в произведении искусства	1	4
51	в том и	1	4
52	и тем же	1	4
53	форма в которой	1	4
54	и в самом	2	4
55	в противном случае	2	4
56	субъекта и объекта	1	4
57	не что иное	1	4
58	одним и тем	1	4
59	дело в том	1	4
60	что иное как	1	4
61	объективности и субъективности	1	4
62	это было бы	1	4
63	точно так же	1	3
64	что он не	1	3
65	и в жизни	1	3
66	одной стороны и	1	3
67	в одном и	1	3
68	до известной степени	2	3
69	в большинстве случаев	1	3
70	бы ни был	1	3
71	то есть в	1	3
72	так или иначе	5	3
73	том что он	2	3
74	в первом случае	1	3
75	и том же	1	3
76	и тем самым	2	3
77	в связи с	3	3
78	бы то ни	2	3
79	одном и том	1	3
80	между тем в	1	3
81	заключается в том	1	3
82	со всех сторон	1	3
83	из того что	1	3
84	состоит не в	1	3
85	бы они ни	1	3
86	могли бы быть	1	3
87	на первый взгляд	1	3
88	этой точки зрения	2	3
89	тогда как в	2	3
90	место в системе	1	2
91	себе еще не	1	2
92	заключать в себе	1	2
93	вопрос что такое	1	2
94	к нему как	1	2
95	мы говорим о	1	2
96	в том в	1	2
97	в чем состоит	1	2
98	на нее как	1	2
99	при этом в	1	2
100	того что не	1	2
101	по себе еще	1	2
102	в его сознании	1	2
103	а тем более	1	2
104	не было и	1	2
105	и по отношению	1	2
106	а не с	1	2
107	состоит в том	6	2
108	только то что	1	2
109	то ни было	2	2
110	имея в виду	1	2
111	мы имеем дело	2	2
112	может и не	1	2
113	на вопрос что	1	2
114	в этих случаях	1	2
115	в себе никаких	1	2
116	и потому что	1	2
117	вбирает в себя	1	2
118	но дело в	1	2
119	в свое время	1	2
120	не только к	1	2
121	в себе самом	1	2
122	в таких случаях	1	2
123	и тем более	1	2
124	при этом не	1	2
125	друг другу и	1	2
126	то есть от	1	2
127	таким же образом	1	2
128	так же как	1	2
129	они ни были	1	2
130	том случае если	1	2
131	легко может быть	1	2
132	собственно говоря только	1	1
133	уст в уста	1	1
134	в самом деле	2	1
135	мере в какой	1	1
136	лично для себя	1	1
137	даже в том	1	1
138	между лицом и	1	1
139	а и е	1	1
140	в том чем	1	1
141	а а и	1	1
142	слова в слове	1	1
143	слова так и	1	1
144	в той мере	1	1
145	но одно из	1	1
146	значении то есть	1	1
147	на задний план	1	1
148	себя и что	1	1
149	единиц различного объема	1	1
150	себе отчет в	1	1
151	связи с чем	1	1
152	при этом что	2	1
153	он ни был	1	1
154	не была бы	1	1
155	скрывайся и таи	1	1
156	при этом отношение	1	1
157	не могли быть	1	1
158	она могла бы	1	1
159	внутреннее и внешнее	1	1
160	их отношении к	1	1
161	только о том	1	1
162	в том числе	3	1
163	но в таком	1	1
164	нами не как	1	1
165	не об отсутствии	1	1
166	как более или	1	1
167	на вопрос о	1	1
168	не совпадает с	1	1
169	упустить из виду	1	1
170	собственно говоря и	1	1
171	художественное произведение и	1	1
172	по поводу этой	1	1
173	о а и	1	1
174	в более или	1	1
175	внутренней и внешней	2	1
176	том и состоит	1	1
177	смысле можно говорить	1	1
178	в его сознание	1	1
179	иметь в виду	1	1
180	и состоит чтобы	1	1
181	том числе и	2	1
182	соединению с другими	1	1
183	в отличие от	7	1
184	можно говорить о	1	1
185	той мере в	1	1
186	к тому же	1	1
187	не только на	1	1
188	и свою собственную	1	1
189	есть не что	1	1
190	также что в	1	1
191	имеет место в	1	1
192	всей духовной жизни	1	1
193	том что она	1	1
194	при этом как	1	1
195	все же оно	1	1
196	каждая из этих	1	1
197	что даже в	1	1
198	к вопросу о	1	1
199	и не дает	1	1
200	в одном случае	1	1
201	таким образом и	1	1
202	личные местоимения не	1	1
203	все без исключения	1	1
204	к субъекту и	1	1
205	со своей стороны	1	1
206	и в этой	1	1
207	при всей своей	1	1
208	в художественном произведении	1	1
209	значении этого слова	3	1
210	с тем же	1	1
211	развития но и	1	1
212	несмотря на свою	1	1
213	и др в	1	1
214	и для него	1	1
215	что входит в	1	1
216	еще не есть	1	1
217	ни прибавить ни	1	1
218	заключающее в себе	1	1
219	как в поэзии	1	1
220	это было возможно	1	1
221	в душе хотя	1	1
222	в каком мы	1	1
223	в каждом человеке	1	1
224	отчет в том	1	1
225	в их отношении	1	1
226	то есть как	1	1
227	во всех подобных	2	1
228	как один из	1	1
229	именно потому что	1	1
230	на свое место	1	1
231	в настоящее время	1	1
232	здесь мы имеем	1	1
233	при этом и	1	1
234	для меня в	1	1
235	быть устранены из	1	1
236	сознания а в	1	1
237	отношению к нему	1	1
238	имеем дело не	1	1
239	входит в его	1	1
240	могли быть устранены	1	1
241	прибавить ни убавить	1	1
242	всех подобных случаях	2	1
243	и здесь мы	1	1
244	языка не может	1	1
245	на второй план	1	1
246	но в действительности	1	1
247	речь идет о	1	1
248	есть высшая форма	1	1
249	в душе в	1	1
250	не менее не	1	1
251	имеет в своем	2	1
252	не в одном	1	1
253	тому что его	1	1
254	но только не	1	1
255	то же художественное	1	1
256	и не могло	2	1
257	молчи скрывайся и	1	1
258	случае мы имеем	1	1
259	не принадлежат к	1	1
260	искусства может быть	1	1
261	я никогда не	1	1
262	отвечая на вопрос	1	1
263	из уст в	1	1
264	то что они	2	1
265	точки зрения и	1	1
266	дело не в	1	1
267	отношения к миру	1	1
268	в виду что	1	1
269	следует иметь в	1	1
270	в истории литературы	1	1
271	имеем дело с	1	1
272	потому что из	1	1
273	в себе никакого	1	1
274	еще и потому	1	1
275	что несмотря на	1	1
276	в наших примерах	1	1
277	может быть и	2	1
