N	3gram	Berdyaev_V	VLabPisa
1	и т д	2	16
2	с другой стороны	1	8
3	в том что	2	5
4	хотя бы и	1	5
5	вместе с тем	1	4
6	не могут быть	1	4
7	к тому что	3	4
8	бы и не	2	3
9	по крайней мере	1	2
10	в конце концов	1	2
11	и никогда не	1	2
12	после того как	1	2
13	все это мы	1	1
14	мы видим что	1	1
15	его хотя бы	1	1
16	но и в	2	1
17	по сравнению с	1	1
18	это одна из	1	1
19	а между тем	2	1
20	и есть то	1	1
21	не было еще	2	1
22	другой стороны в	1	1
23	все это имеет	1	1
24	в этом нет	1	1
25	и вместе с	1	1
26	что не могут	1	1
27	есть то что	1	1
28	в существе своем	2	1
29	но все же	1	1
30	в искусстве но	1	1
