N	4gram	Voloshinov	EvropaiE
1	в то же время	7	14
2	с одной стороны и	1	6
3	с этой точки зрения	1	5
4	бы то ни было	11	4
5	так же как и	2	3
6	в их отношении к	1	3
7	в той или иной	3	3
8	но в то же	6	2
9	каких бы то ни	3	2
10	и та и другая	1	1
11	этот вопрос мы должны	1	1
12	дело в том что	1	1
13	в том числе и	3	1
14	и с точки зрения	1	1
15	той или иной степени	2	1
16	одна и та же	1	1
17	одну и ту же	1	1
18	в большей или меньшей	1	1
19	как бы ни была	1	1
20	и прежде всего в	1	1
21	в этом отношении в	1	1
22	во всех этих случаях	1	1
23	может быть сведена к	1	1
24	в связи с этим	3	1
25	и до настоящего времени	3	1
26	несмотря на то что	1	1
27	в ту или иную	1	1
28	мы можем сказать что	1	1
29	не говоря уже о	1	1
30	одного и того же	9	1
31	один и тот же	3	1
32	на этот вопрос мы	2	1
33	на то или иное	1	1
34	ту или иную эпоху	1	1
35	к тому или иному	1	1
