N	2gram	Tiupa_Narr	Tvorches
1	и в	19	56
2	как бы	4	41
3	в его	9	37
4	в то	3	30
5	то же	4	25
6	в году	1	24
7	не только	32	24
8	же время	4	24
9	но в	6	24
10	как и	7	23
11	то есть	19	23
12	и не	20	23
13	а в	11	23
14	и его	5	23
15	в этом	17	22
16	что в	3	21
17	в том	18	21
18	он не	3	19
19	том что	14	19
20	может быть	25	19
21	потому что	1	19
22	у него	4	18
23	то что	11	18
24	таким образом	1	17
25	и на	3	17
26	что он	6	17
27	при этом	9	16
28	но и	23	16
29	никогда не	3	16
30	как в	7	16
31	прежде всего	4	16
32	не может	10	16
33	и с	4	15
34	в мире	9	15
35	но это	1	15
36	в этой	5	15
37	с его	6	15
38	и даже	3	14
39	это не	2	14
40	там же	1	13
41	о том	6	13
42	времени в	2	13
43	а не	12	13
44	в котором	1	12
45	тем самым	6	12
46	в целом	1	12
47	все же	7	11
48	отнюдь не	5	11
49	для него	2	11
50	в самом	1	10
51	он сам	2	10
52	в русской	1	10
53	не в	14	10
54	в конце	1	10
55	только в	4	10
56	когда он	3	10
57	уже в	3	10
58	так и	9	10
59	но не	6	10
60	как будто	3	10
61	наряду с	2	9
62	и от	1	9
63	один из	3	9
64	жизни в	3	9
65	в свою	3	9
66	человека в	2	9
67	в нем	4	9
68	даже в	2	8
69	именно в	6	8
70	в соответствии	1	8
71	не менее	3	8
72	так же	2	8
73	хотя и	3	8
74	одним из	2	8
75	тогда как	12	8
76	соответствии с	1	8
77	одной из	4	8
78	еще не	7	8
79	в себе	8	8
80	в их	1	8
81	на его	1	8
82	об этом	1	8
83	вовсе не	1	8
84	по сути	2	8
85	русской литературе	1	7
86	и сам	1	7
87	например в	2	7
88	уже не	5	7
89	за собой	4	7
90	он видит	1	7
91	и он	3	7
92	в чем	1	7
93	в рассказе	4	7
94	не случайно	2	7
95	своего рода	12	7
96	достоевского и	1	7
97	самом деле	2	7
98	сути дела	2	7
99	во сне	1	7
100	читателя в	2	7
101	в принципе	4	6
102	не столько	4	6
103	и как	5	6
104	конечном счете	2	6
105	хотя бы	4	6
106	одна из	3	6
107	его в	2	6
108	в конечном	3	6
109	в терминах	1	6
110	и ее	2	6
111	героя в	8	6
112	с ним	1	6
113	если бы	1	6
114	и все	2	6
115	приводит к	2	6
116	в книге	1	6
117	все эти	2	6
118	место в	1	6
119	более не	2	5
120	мысли и	1	5
121	быть может	2	5
122	в них	1	5
123	что этот	1	5
124	с другой	8	5
125	приходит к	2	5
126	по отношению	7	5
127	отметить что	1	5
128	как правило	4	5
129	в своем	2	5
130	во всей	2	5
131	все время	1	5
132	из них	3	5
133	что они	3	5
134	что у	2	5
135	на него	3	5
136	в ее	3	5
137	что и	1	5
138	не было	2	5
139	что не	4	5
140	в таком	2	5
141	и у	1	5
142	а с	3	5
143	героя и	4	5
144	что это	3	5
145	если не	4	5
146	между тем	3	5
147	дело не	1	5
148	не так	1	5
149	та же	2	5
150	в россии	1	5
151	это все	2	5
152	начиная с	1	5
153	том же	1	5
154	тот же	1	5
155	ничего не	2	5
156	мы не	1	5
157	в литературе	2	5
158	как у	1	5
159	бы не	2	5
160	и по	1	5
161	отношению к	6	5
162	с этой	1	4
163	в финале	1	4
164	говорит о	2	4
165	на земле	1	4
166	тем что	3	4
167	наш взгляд	1	4
168	роль в	2	4
169	для автора	2	4
170	восходит к	3	4
171	представляет собой	13	4
172	говорить о	2	4
173	и когда	2	4
174	что все	1	4
175	точки зрения	10	4
176	крайней мере	1	4
177	к нему	5	4
178	и потому	2	4
179	с точки	2	4
180	и через	1	4
181	стремится к	1	4
182	не знает	1	4
183	легенда о	1	4
184	который в	2	4
185	же как	3	4
186	так сказать	1	4
187	сих пор	1	4
188	не мог	4	4
189	как это	6	4
190	главного героя	2	4
191	как известно	2	4
192	но без	2	4
193	себя в	5	4
194	однако в	2	4
195	могут быть	3	4
196	о его	1	4
197	и есть	2	4
198	до сих	1	4
199	в область	2	4
200	с ними	1	4
201	и одновременно	2	4
202	на наш	1	4
203	у читателя	1	4
204	в которых	1	4
205	по крайней	1	4
206	перед нами	4	4
207	нет ничего	1	4
208	это и	3	4
209	его и	1	4
210	в основе	5	4
211	и более	1	4
212	времени и	7	4
213	между людьми	1	4
214	в отличие	5	4
215	и будущего	1	4
216	того что	2	4
217	зависит от	2	4
218	же не	4	4
219	дело в	1	4
220	было в	2	4
221	о жизни	1	4
222	к жизни	1	4
223	особенно в	3	4
224	личности в	2	4
225	он ни	1	4
226	отличие от	5	4
227	но он	1	4
228	в частности	14	4
229	далеко не	5	4
230	у нее	2	4
231	х годов	1	4
232	из жизни	1	4
233	в плане	1	4
234	и наконец	1	4
235	что на	2	4
236	и к	1	3
237	от него	1	3
238	в настоящем	1	3
239	в комнату	1	3
240	в виду	1	3
241	другой стороны	4	3
242	по себе	5	3
243	это определение	1	3
244	связь с	1	3
245	в первом	3	3
246	мысль о	1	3
247	в мир	1	3
248	к самому	2	3
249	отличается от	4	3
250	к тому	7	3
251	можно сказать	5	3
252	особое место	1	3
253	может служить	1	3
254	точно так	2	3
255	перед ним	1	3
256	сказать что	4	3
257	человеческих отношений	1	3
258	едва ли	1	3
259	не то	2	3
260	то в	6	3
261	на протяжении	6	3
262	к себе	5	3
263	время в	2	3
264	несмотря на	2	3
265	то у	1	3
266	к которому	2	3
267	боль в	1	3
268	тому же	5	3
269	на себя	3	3
270	и внутреннего	1	3
271	не есть	3	3
272	герой в	1	3
273	в себя	6	3
274	действительности и	1	3
275	со всеми	1	3
276	опираясь на	1	3
277	на этом	1	3
278	совсем не	1	3
279	прошлого и	2	3
280	и тем	4	3
281	но зато	1	3
282	как уже	1	3
283	даже не	3	3
