N	3gram	Tiupa_Narr	UchenyiS
1	в конечном счете	4	4
2	не может быть	6	4
3	то ни было	1	3
4	с другой стороны	1	3
5	бы то ни	1	3
6	в то же	7	3
7	то же время	7	3
8	и то что	1	2
9	в том что	11	2
10	в противном случае	1	2
11	в самом деле	3	2
12	до сих пор	3	2
13	то же самое	3	2
14	в этом отношении	5	2
15	по крайней мере	1	2
16	в этом смысле	1	2
17	в не меньшей	1	1
18	друг с другом	1	1
19	не может обойтись	1	1
20	что для него	1	1
21	сам по себе	1	1
22	так или иначе	1	1
23	на первый взгляд	1	1
24	не входит в	1	1
25	роль не только	1	1
26	это не вполне	1	1
27	не только к	1	1
28	большей или меньшей	1	1
29	показательна в этом	1	1
30	смысле можно сказать	2	1
31	с одной стороны	5	1
32	в ней не	1	1
33	можно сказать что	5	1
34	достоевского и толстого	1	1
35	на роль не	1	1
36	не впадая в	1	1
37	в той же	1	1
38	не в том	1	1
39	и не только	1	1
40	на то что	2	1
41	по его собственному	1	1
42	не только в	12	1
43	более или менее	2	1
44	и в то	2	1
45	не меньшей степени	1	1
46	в данном случае	12	1
47	само по себе	1	1
48	у него уже	1	1
49	в большей или	1	1
