N	4gram	Propp_Isto	Vladivir
1	в то же время	1	9
2	в то время как	3	5
3	не что иное как	1	4
4	и вместе с тем	1	4
5	как мы видели выше	1	3
6	ничего не говорит о	1	2
7	совершенно так же как	3	2
8	это мы увидим ниже	1	2
9	как мы увидим ниже	3	2
10	с одной стороны и	1	2
11	одно и то же	2	2
12	свидетельствует о том что	1	2
13	но вместе с тем	4	2
14	и тем не менее	2	2
15	до сих пор не	1	2
16	есть не что иное	1	2
17	не может быть речи	2	1
18	и потому что он	1	1
19	с этой точки зрения	2	1
20	состоит в том что	1	1
21	в том что она	1	1
22	но тем не менее	1	1
23	точно так же в	1	1
24	здесь не может быть	1	1
25	указывает на то что	1	1
26	наряду с этим в	1	1
27	иметь в виду что	1	1
28	может быть речи о	1	1
29	мы уже знаем что	1	1
30	при помощи которых можно	1	1
31	ни у одного из	1	1
32	не в том чтобы	1	1
33	и т д в	1	1
34	что у него есть	1	1
35	так же как и	4	1
36	мы не будем здесь	2	1
37	мы видели и в	1	1
