N	2gram	Bakhtin_Pr	EvropaiC
1	таким образом	10	34
2	в том	8	31
3	и в	38	24
4	том что	3	20
5	все эти	5	19
6	то что	8	18
7	не может	27	18
8	может быть	26	17
9	до сих	1	15
10	все же	6	15
11	сих пор	1	15
12	точки зрения	8	14
13	к культуре	1	14
14	в этом	15	13
15	все это	3	13
16	самом деле	6	12
17	между тем	7	12
18	в своем	5	12
19	по отношению	21	11
20	но и	9	11
21	культуры и	3	11
22	отношению к	19	11
23	все что	3	10
24	не только	9	10
25	так и	5	10
26	как и	7	10
27	во всех	11	10
28	как бы	22	10
29	что в	7	9
30	при этом	5	9
31	в результате	1	9
32	не в	7	9
33	и все	3	9
34	и не	42	9
35	и что	2	9
36	на то	2	9
37	в самом	7	8
38	с точки	6	8
39	ясно что	3	8
40	к тому	1	8
41	для того	2	8
42	если бы	3	8
43	того чтобы	2	8
44	а между	1	8
45	так же	1	8
46	идет речь	1	8
47	того что	2	7
48	что и	2	7
49	на самом	4	7
50	что он	2	7
51	в психике	6	7
52	не менее	4	7
53	о которых	2	7
54	о котором	2	7
55	из этого	1	7
56	о том	4	7
57	вместе с	1	7
58	в этой	1	7
59	в сознании	1	7
60	по существу	2	7
61	мы можем	6	6
62	и на	3	6
63	несмотря на	3	6
64	с ним	5	6
65	что с	1	6
66	только в	13	6
67	в мире	3	6
68	отличается от	2	6
69	еще не	7	6
70	все они	5	6
71	и если	1	6
72	должна быть	4	6
73	и при	2	6
74	в общем	1	6
75	начало и	3	6
76	с другой	7	6
77	в то	4	6
78	и для	11	6
79	и к	3	5
80	как к	2	5
81	должно быть	5	5
82	в его	43	5
83	из всех	1	5
84	что это	2	5
85	другой стороны	4	5
86	его в	9	5
87	в которой	1	5
88	и с	17	5
89	или иначе	1	5
90	именно в	1	5
91	и без	1	5
92	по своему	1	5
93	по сравнению	1	5
94	сравнению с	1	5
95	быть и	1	5
96	далеко не	5	5
97	лишь в	2	5
98	так называемого	1	5
99	в себе	4	5
100	и от	3	5
101	что все	2	5
102	столь же	2	5
103	к этому	2	5
104	в целом	3	5
105	из них	1	5
106	но в	4	5
107	ее и	1	4
108	этой области	2	4
109	которых мы	4	4
