N	3gram	Losev_Prob	Tragedij
1	униженных и оскорбленных	1	16
2	униженные и оскорбленные	1	9
3	то же время	1	5
4	в то же	2	5
5	так и в	1	3
6	в том что	13	2
7	и как бы	2	2
8	и в частности	4	2
9	но в то	2	2
10	в году в	1	2
11	бросается в глаза	2	2
12	точно так же	4	2
13	преступлении и наказании	1	2
14	в данном случае	5	2
15	и в дальнейшем	1	2
16	о том что	14	2
17	но все же	2	2
18	не в силах	3	2
19	в преступлении и	1	2
20	который в своей	3	1
21	сам по себе	3	1
22	и он сам	1	1
23	но в конце	1	1
24	не только по	1	1
25	и оскорбленных и	1	1
26	на всю ее	1	1
27	у него есть	1	1
28	том что он	3	1
29	не только о	1	1
30	в одном из	1	1
31	это тот самый	1	1
32	все эти образы	1	1
33	за то что	2	1
34	в конце концов	7	1
35	сам о себе	1	1
36	за что не	1	1
37	как и его	2	1
38	и вместе с	3	1
39	что в ней	1	1
40	не может быть	2	1
41	еще в году	1	1
42	и т п	1	1
43	я не хочу	1	1
44	искусством для искусства	2	1
45	во всем его	1	1
46	с самого начала	3	1
47	на ту сторону	1	1
48	и то что	3	1
49	как и все	1	1
50	не только не	1	1
51	романа униженные и	1	1
52	своей и чужой	1	1
53	у него нет	1	1
54	у достоевского не	1	1
55	уже в году	1	1
56	об этом свидетельствует	1	1
57	в таком виде	1	1
58	в виду не	1	1
59	в связи с	11	1
60	и все же	1	1
61	в самом деле	1	1
62	приходит в голову	1	1
63	во всяком случае	6	1
64	это не просто	1	1
65	и знает что	2	1
66	к тому что	1	1
67	тем не менее	8	1
68	в братьях карамазовых	1	1
69	несмотря на все	1	1
70	несмотря на всю	1	1
71	в своей книге	1	1
72	во французской литературе	1	1
73	он сам о	1	1
74	это и есть	2	1
75	после того как	3	1
76	все же не	3	1
77	и в этом	1	1
78	ни за что	1	1
