N	3gram	Medvedev_V	Sovremen
1	в каждом отдельном	2	5
2	в зависимости от	5	4
3	не может быть	8	4
4	мы видели что	3	3
5	не может не	2	3
6	в свою очередь	1	2
7	то же самое	1	2
8	во всяком случае	2	2
9	не подлежит сомнению	1	2
10	может быть и	1	2
11	в науке и	1	1
12	не было бы	4	1
13	мы знаем что	2	1
14	в том что	5	1
15	не могут быть	4	1
16	до сих пор	2	1
17	одной стороны и	2	1
18	мы говорим о	1	1
19	в которой он	1	1
20	сами по себе	1	1
21	в новое время	1	1
22	которая не может	2	1
23	в связи с	4	1
24	хотим сказать что	1	1
25	разобраться в этой	1	1
26	может быть в	1	1
27	в самом деле	1	1
28	и благодаря этому	1	1
29	в том случае	1	1
30	той или иной	1	1
31	и во всех	1	1
32	в данном случае	1	1
33	что все они	1	1
34	нет единства в	1	1
35	но все же	1	1
36	равно как и	4	1
37	одна из них	1	1
38	в конечном счете	5	1
39	с одной стороны	2	1
40	в этой области	3	1
41	так же как	1	1
42	по аналогии с	1	1
43	то же время	5	1
44	не в том	2	1
45	прежде всего необходимо	1	1
46	а не только	1	1
47	быть и речи	1	1
48	по отношению к	7	1
49	и может быть	1	1
50	в то же	5	1
51	но ведь это	1	1
52	оно может быть	1	1
53	говорить только о	1	1
54	заключает в себе	1	1
55	на этот вопрос	1	1
56	по крайней мере	2	1
57	те или иные	1	1
58	в этом случае	1	1
59	тот или иной	1	1
60	и есть то	1	1
61	можно было бы	2	1
62	именно в том	1	1
63	в этом смысле	1	1
64	его таким образом	1	1
65	и в то	3	1
66	и не может	2	1
67	по его мнению	1	1
68	зависимости от различных	1	1
69	мы видим что	1	1
