N	3gram	Losev_Dial	Problema
1	тем не менее	3	56
2	о том что	6	39
3	в том что	12	37
4	и т д	28	33
5	то же самое	3	30
6	вовсе не есть	3	30
7	в связи с	3	29
8	в данном случае	1	28
9	той или иной	4	26
10	по крайней мере	11	26
11	во всяком случае	3	25
12	с другой стороны	7	25
13	с точки зрения	18	25
14	в таком случае	2	23
15	содержит в себе	5	23
16	в конце концов	4	23
17	сам по себе	8	21
18	сама по себе	12	21
19	и то что	1	20
20	на то что	4	19
21	в этом смысле	4	19
22	ни в каком	9	18
23	как раз и	1	18
24	для того чтобы	1	17
25	в то же	7	17
26	точно так же	3	16
27	и тем не	1	15
28	то что мы	1	15
29	как будто бы	3	14
30	до сих пор	4	14
31	не что иное	4	14
32	что иное как	4	14
33	ничего общего с	3	13
34	это значит что	16	13
35	сами по себе	4	13
36	и вовсе не	1	13
37	на самом деле	3	13
38	можно было бы	4	13
39	не есть ни	7	13
40	не может быть	4	12
41	но даже и	1	12
42	так или иначе	3	12
43	в каком случае	5	12
44	и в частности	4	12
45	той или другой	7	12
46	и в этом	4	12
47	можно сказать что	6	12
48	в то время	2	12
49	то время как	2	12
50	дело в том	1	11
51	тех или иных	1	11
52	есть не что	3	11
53	мы должны сказать	1	11
54	или по крайней	2	11
55	с одной стороны	3	11
56	в той или	3	10
57	вместе с тем	1	10
58	более или менее	5	10
59	только то что	6	10
60	а не просто	1	10
61	не только в	2	10
62	каком случае не	3	9
63	должны сказать что	1	9
64	т д и	3	9
65	и ни в	2	9
66	так как иначе	1	9
67	взятые сами по	1	9
68	имеет ничего общего	3	9
69	не имеет ничего	3	9
70	еще не есть	1	9
71	не есть только	4	9
72	что же касается	1	9
73	то и другое	3	9
74	не говоря уже	1	9
75	в сравнении с	1	9
76	может быть и	6	9
77	д и т	3	8
78	самом же деле	2	8
79	на самом же	2	8
80	только в том	1	8
81	может быть только	2	8
82	потому что он	5	8
83	это вовсе не	2	8
84	только тогда когда	4	8
85	говоря уже о	1	7
86	когда мы говорим	2	7
87	к тому же	2	7
88	те или иные	1	7
89	в чистом виде	1	7
90	но и в	1	7
91	имеется в виду	3	7
92	то или иное	4	7
93	с самого начала	2	7
94	иметь в виду	4	7
95	мы находим в	2	7
96	так же и	1	7
97	но никак не	1	7
98	хотя и не	1	7
99	это и есть	3	7
100	только потому что	4	7
101	и как бы	1	6
102	по себе но	2	6
103	в самом деле	3	6
104	и то же	8	6
105	то это значит	3	6
106	это то что	1	6
107	не имеет никакого	3	6
108	ни в какой	3	6
109	нет никакой возможности	1	6
110	крайней мере в	3	6
111	не есть просто	2	6
112	хотя бы даже	1	6
113	тех или других	4	6
114	в том смысле	4	6
115	есть прежде всего	1	6
116	на первый взгляд	2	6
117	в этом отношении	2	6
118	само по себе	7	6
119	по себе а	2	5
120	ни в каких	1	5
121	в чем не	1	5
122	все это есть	1	5
123	в первую очередь	1	5
124	и о том	1	5
125	может быть очень	1	5
126	это и не	2	5
127	так же как	1	5
128	та или иная	4	5
129	том смысле что	3	5
130	с первого взгляда	2	5
131	того или другого	1	5
132	сказать и о	1	5
133	есть нечто более	1	5
134	уже по одному	1	5
135	в зависимости от	2	5
136	с той или	2	5
137	сих пор мы	1	5
138	и что такое	1	5
139	тем или другим	2	5
140	по себе и	3	5
141	не просто как	2	5
142	в какой мере	1	5
143	том или ином	1	5
144	общего и единичного	1	5
145	не был бы	1	5
