N	2gram	Potebnia_M	Analitik
1	не только	32	71
2	тогда как	10	67
3	и в	58	66
4	но и	26	57
5	в том	38	52
6	может быть	47	52
7	в этом	18	51
8	как и	16	50
9	и не	34	48
10	а не	38	42
11	при этом	17	40
12	том что	21	40
13	то есть	69	35
14	так и	17	35
15	в мире	3	31
16	состоит в	1	30
17	как бы	12	29
18	не может	30	29
19	а в	11	28
20	в его	7	27
21	и его	7	27
22	не в	23	26
23	но не	19	26
24	в себе	22	24
25	что в	34	22
26	и даже	4	22
27	к тому	5	22
28	в этой	3	22
29	лишь в	2	21
30	о том	6	20
31	в самом	5	19
32	то же	13	19
33	в своей	3	19
34	по отношению	15	19
35	с его	3	19
36	но в	12	19
37	в данном	1	18
38	в то	6	18
39	отношению к	13	18
40	тем самым	6	17
41	с другой	13	17
42	только в	36	17
43	со стороны	11	17
44	такого рода	1	17
45	в целом	3	17
46	что и	16	16
47	могут быть	17	16
48	то что	24	16
49	и на	8	15
50	не есть	13	15
51	между тем	7	15
52	уже не	4	15
53	прежде всего	8	15
54	в сущности	2	15
55	в их	3	15
56	не менее	10	14
57	того же	13	14
58	себя в	1	14
59	я и	1	14
60	в себя	2	14
61	мы имеем	1	14
62	же время	4	14
63	в отличие	1	14
64	столь же	6	14
65	отличие от	1	14
66	далеко не	4	14
67	по себе	24	13
68	точки зрения	8	13
69	тому же	1	13
70	он не	4	13
71	этого слова	5	13
72	ничего не	2	13
73	для него	13	13
74	в начале	2	13
75	и сам	1	12
76	никогда не	7	12
77	как это	1	12
78	в первой	1	12
79	как в	18	12
80	еще не	9	12
81	есть не	7	12
82	в той	1	11
83	даже в	1	11
84	по своей	2	11
85	в свою	8	11
86	той же	3	11
87	это не	10	11
88	можно сказать	1	11
89	и как	11	11
90	во второй	1	11
91	не с	2	11
92	не следует	6	11
93	нуждается в	2	11
94	именно в	2	10
95	все же	11	10
96	едва ли	1	10
97	с одной	7	10
98	в произведении	1	10
99	было бы	21	10
100	однако в	4	10
101	подобно тому	7	10
102	отношения к	2	10
103	совпадает с	1	10
104	здесь не	2	10
105	того или	1	10
106	и самого	2	10
107	один из	2	10
108	на себя	1	10
109	не столько	3	9
110	в результате	1	9
111	другой стороны	7	9
112	и того	6	9
113	одной стороны	6	9
114	свою очередь	8	9
115	в своем	3	9
116	по поводу	7	9
117	крайней мере	6	9
118	таким образом	21	9
119	во всех	12	9
120	за пределы	4	9
121	только не	2	9
122	имеет место	4	9
123	значении этого	1	9
124	вместе с	12	9
125	по крайней	6	9
126	тому как	8	9
