N	2gram	Losev_Dial	Vvedenie
1	и т	41	45
2	т е	72	40
3	т д	38	39
4	в том	17	38
5	в этом	14	35
6	и в	34	35
7	может быть	30	30
8	том что	18	30
9	не только	35	26
10	для того	4	23
11	того чтобы	1	22
12	таким образом	14	21
13	также и	6	20
14	не может	29	19
15	то что	25	19
16	потому что	21	18
17	но также	1	16
18	только в	10	16
19	со стороны	5	16
20	о том	11	16
21	так как	12	15
22	в общем	1	14
23	что в	12	13
24	в самом	9	13
25	и именно	1	13
26	и не	50	13
27	в нем	7	13
28	в его	6	12
29	того что	22	12
30	в их	2	12
31	точки зрения	43	12
32	что такое	25	12
33	как на	6	12
34	то же	9	11
35	в ее	5	11
36	по себе	31	11
37	в данном	6	11
38	этом смысле	1	11
39	ясно что	16	11
40	как мы	4	11
41	прежде всего	20	10
42	не в	11	10
43	вопрос о	9	10
44	уже и	3	10
45	но в	3	10
46	как об	1	9
47	тем не	10	9
48	все же	4	9
49	из этих	5	9
50	но не	3	9
51	и как	13	9
52	не менее	11	9
53	в истории	7	9
54	это не	13	8
55	в качестве	1	8
56	как нечто	2	8
57	именно в	5	8
58	о котором	4	8
59	а только	2	8
60	с другой	5	8
61	представить себе	1	7
62	и то	7	7
63	до сих	1	7
64	смысле слова	1	7
65	в применении	1	7
66	как и	14	7
67	самом деле	7	7
68	но и	14	7
69	сих пор	1	7
70	в разных	2	7
71	было бы	13	7
72	о природе	1	7
73	только как	7	7
74	этот вопрос	1	7
75	как бы	19	7
76	на вопрос	1	6
77	об этом	8	6
78	к истории	2	6
79	все это	13	6
80	не могут	6	6
81	его в	2	6
82	на этот	1	6
83	тем что	5	6
84	с тем	4	6
85	а именно	7	6
86	вместе с	3	6
87	науки в	1	6
88	в которых	1	6
89	и историей	1	6
90	же время	5	6
91	и это	12	6
92	вовсе не	18	6
93	уже не	9	6
94	мере в	3	6
95	применении к	1	6
96	и даже	21	6
97	хотя бы	9	6
98	и что	21	6
99	как он	4	6
100	как например	2	6
101	сказать что	7	6
102	что история	2	6
103	могут быть	5	6
104	но если	11	6
105	и его	8	6
106	в то	9	6
107	а в	3	6
108	иное как	6	6
109	на почве	1	5
110	а потому	1	5
111	этого понятия	1	5
112	внимание на	1	5
113	с этой	7	5
114	хотя и	9	5
115	науки и	2	5
116	что и	8	5
117	в виду	12	5
118	другой стороны	4	5
119	с их	4	5
120	в них	6	5
121	но с	1	5
122	в первом	2	5
123	что не	8	5
124	не есть	95	5
125	что он	18	5
126	приходим к	1	5
127	что иное	6	5
128	одно из	8	5
129	от этого	5	5
130	по своему	2	5
131	данном случае	3	5
132	во всяком	5	5
133	в течение	4	5
134	так что	11	5
135	и тем	3	5
136	а не	39	5
137	говорить о	13	5
138	есть и	14	5
139	дело не	2	5
140	на основании	3	5
141	не что	6	5
142	или вообще	3	5
143	т п	1	5
144	быть в	4	5
145	а как	2	5
146	независимо от	3	5
147	она есть	17	5
148	не просто	20	5
149	как это	8	5
150	есть не	11	5
151	всяком случае	3	5
152	в особенности	9	4
153	только что	7	4
154	с одной	4	4
155	тогда когда	9	4
156	с точки	25	4
157	этом отношении	2	4
158	о чем	2	4
159	как раз	11	4
160	в результате	7	4
161	в виде	11	4
162	в себе	8	4
163	видит в	1	4
164	так или	2	4
165	особого рода	3	4
166	шла речь	1	4
167	но все	1	4
168	из двух	4	4
169	или иначе	2	4
170	в одном	3	4
171	в котором	2	4
172	заключается в	3	4
173	и ее	8	4
174	но ведь	2	4
175	в своей	4	4
176	речь в	1	4
177	да и	4	4
178	сравнению с	1	4
179	в чем	11	4
180	должен быть	1	4
181	к тому	4	4
182	по крайней	10	4
183	еще не	7	4
184	однако не	2	4
185	не имеет	18	4
186	еще и	2	4
187	как о	6	4
188	от характера	1	4
189	даже и	9	4
190	науки а	1	4
191	одной стороны	3	4
192	по сравнению	1	4
193	это только	1	4
194	не признать	1	4
195	е в	4	4
196	связана с	1	4
197	в чисто	2	4
198	мы имеем	3	4
199	не вполне	2	4
200	отличие от	2	4
201	истории и	6	4
202	в отличие	1	4
203	крайней мере	10	4
204	можно сказать	5	4
205	той же	6	4
206	одной из	3	4
207	и для	5	4
208	и обратно	1	4
209	само по	8	4
210	из них	4	4
211	этого термина	1	3
212	и к	5	3
213	и этого	2	3
214	в свое	1	3
215	с этим	4	3
216	собственном смысле	1	3
217	что с	2	3
218	можно говорить	2	3
219	и здесь	3	3
220	и на	6	3
221	как такового	1	3
222	того как	2	3
223	зависит от	4	3
224	и вот	13	3
225	на том	1	3
226	обе эти	1	3
227	именно как	3	3
228	при этом	7	3
229	что это	20	3
230	в сущности	10	3
231	говорит о	5	3
232	из которых	4	3
233	не как	1	3
234	но что	11	3
235	в отношении	1	3
236	в этих	3	3
237	знания и	2	3
238	чем в	2	3
239	связи с	3	3
240	если бы	10	3
241	себе что	2	3
242	и сам	1	3
243	том отношении	1	3
244	в силу	5	3
245	мы говорим	4	3
246	во внимание	5	3
247	науку и	1	3
248	история и	6	3
249	в конце	2	3
250	вообще не	3	3
251	сама по	11	3
252	находит себе	1	3
253	в собственном	3	3
254	одновременно и	1	3
255	как в	2	3
256	нисколько не	4	3
257	между ними	1	3
258	зависимости от	4	3
259	в известном	1	3
260	в каком	9	3
261	есть еще	4	3
262	понимать в	1	3
263	с понятием	1	3
264	той или	3	3
265	свое время	1	3
266	в конечном	1	3
267	чем же	3	3
268	бы и	2	3
269	от себя	5	3
270	все эти	4	3
271	то это	9	3
272	как целое	3	3
273	и есть	24	3
274	что даже	2	3
275	на этом	3	3
276	стороны и	1	3
277	своей природе	1	3
278	что же	12	3
279	же как	4	3
280	так чтобы	4	3
281	совсем не	1	3
282	в ней	4	3
283	вот почему	3	3
284	или же	3	3
285	и тогда	6	3
286	и уже	5	3
287	в слове	3	3
288	в частности	3	3
289	об отношении	1	3
290	со всей	1	3
291	только на	8	3
292	или иных	2	3
293	не с	1	3
294	в этой	3	3
295	же самое	1	3
296	но дело	1	3
297	как оно	1	3
298	от того	9	3
299	так же	7	3
300	при помощи	6	3
301	или как	3	3
302	идет речь	4	3
303	и той	4	3
304	отношение к	1	3
305	вообще и	1	3
306	однако в	1	3
307	наряду с	1	3
308	в своем	7	3
309	в зависимости	3	3
310	или иной	4	3
311	и вообще	7	3
312	что она	13	3
313	отношении что	1	3
314	одна из	4	3
315	как будто	3	3
316	здесь не	2	3
317	он сам	1	3
318	к этому	3	3
319	тех или	6	3
320	для этого	3	3
321	что уже	3	3
322	понять что	1	3
323	гораздо более	1	3
324	к нему	4	3
325	никогда не	9	3
326	или иным	1	2
327	наукой и	1	2
328	ближе к	1	2
329	во всем	5	2
330	так и	11	2
331	д все	1	2
332	что они	2	2
333	философии и	1	2
334	находятся в	1	2
335	во втором	1	2
336	что оно	9	2
337	нами не	1	2
338	в научной	1	2
339	говоря уже	6	2
340	научного анализа	1	2
341	ни с	4	2
342	что остается	2	2
343	познания и	2	2
344	должна быть	11	2
345	мы не	11	2
346	с полной	3	2
347	нам не	1	2
348	и должно	1	2
349	не нужно	2	2
350	момента в	1	2
351	и далее	1	2
352	несмотря на	2	2
353	из того	2	2
354	ни к	3	2
355	учение о	11	2
356	о них	1	2
357	в соответствующих	1	2
358	это уже	2	2
359	он и	3	2
360	природе и	1	2
361	или нет	8	2
362	и из	2	2
363	сам по	6	2
364	после этого	2	2
365	истории в	1	2
366	и сама	6	2
367	время не	1	2
368	понятия в	1	2
369	себя в	3	2
370	когда говорил	1	2
371	у нас	7	2
372	самое что	1	2
373	них и	1	2
374	все равно	5	2
375	в своих	3	2
376	не было	6	2
377	что нет	5	2
378	истории не	2	2
379	этой точки	4	2
380	этого не	2	2
381	ее от	2	2
382	ни одна	1	2
383	что к	1	2
384	именно оно	2	2
385	и с	10	2
386	никакого различия	1	2
387	то о	2	2
388	каким образом	1	2
389	будто бы	1	2
390	это есть	19	2
391	по существу	2	2
392	и всего	1	2
393	жизни и	8	2
394	и требует	1	2
395	например в	3	2
396	тому что	5	2
397	случае не	4	2
398	в наиболее	1	2
399	и без	4	2
400	в связи	3	2
401	целое и	2	2
402	подобно тому	5	2
403	самой идеи	1	2
404	е не	4	2
405	и так	2	2
406	и вопрос	1	2
407	оказалось что	2	2
408	есть только	13	2
409	том смысле	1	2
410	следовательно и	2	2
411	к своему	1	2
412	и при	4	2
413	тем или	3	2
414	по его	2	2
415	о которых	1	2
416	древней греции	1	2
417	и истории	4	2
418	себе и	1	2
419	те кто	1	2
420	возникает вопрос	1	2
421	в каждой	1	2
422	как только	5	2
423	искусство и	1	2
424	вопрос что	1	2
425	казалось бы	1	2
426	что обе	1	2
427	что время	2	2
428	во всех	2	2
429	этих двух	1	2
430	и чем	1	2
431	сам же	1	2
432	которая как	1	2
433	не говоря	6	2
434	при всей	1	2
435	и потому	6	2
436	но как	3	2
437	которая существует	1	2
438	нужно знать	1	2
439	мы можем	3	2
