N	4gram	Bakhtin_Fr	Marksizm
1	в то же время	14	15
2	одного и того же	1	9
3	но в то же	6	9
4	на самом же деле	4	5
5	и не может быть	1	5
6	не может быть и	1	4
7	может быть и речи	1	4
8	с одной стороны и	1	3
9	быть и речи о	1	3
10	одной и той же	1	3
11	в связи с этим	3	3
12	один и тот же	1	3
13	в том числе и	3	3
14	одно и то же	1	3
15	в той или иной	1	3
16	ни в коем случае	1	2
17	и то же слово	1	2
18	одна и та же	1	2
19	нет и не может	1	2
20	так же как и	2	2
21	то что не имеет	1	1
22	и в соответствии с	1	1
23	не что иное как	1	1
24	имеют ничего общего с	1	1
25	с точки зрения этого	1	1
26	в коем случае нельзя	1	1
27	как мы уже сказали	3	1
28	той или иной форме	1	1
29	мы можем сказать что	1	1
30	жизни в ее целом	1	1
31	то же самое что	1	1
32	мы видим таким образом	1	1
33	вместе с тем и	1	1
34	дело в том что	4	1
35	для того чтобы не	1	1
36	в большей или меньшей	1	1
37	а в связи с	1	1
38	мы уже говорили что	1	1
39	нами в предыдущей главе	1	1
40	можно прямо сказать что	1	1
41	как бы он ни	1	1
42	все то что не	1	1
43	в самом деле в	1	1
44	в соответствии с этим	1	1
45	очень тесно связана с	1	1
46	и с точки зрения	2	1
47	то же время он	1	1
48	как раз того что	1	1
49	в том что это	1	1
50	в лучшем случае объяснить	1	1
51	до сих пор не	1	1
52	не имеют ничего общего	1	1
