N	4gram	Losev_Prob	Narrotol
1	дело в том что	3	3
2	здесь мы имеем дело	1	2
3	с той или иной	1	2
4	и в то же	2	2
5	одного и того же	1	2
6	в войне и мире	1	2
7	одно и то же	3	2
8	в той или иной	7	2
9	еще и потому что	1	2
10	с этой точки зрения	1	1
11	то что не имеет	1	1
12	в том смысле что	4	1
13	может быть не только	1	1
14	не что иное как	6	1
15	на самом деле и	1	1
16	в связи с этой	2	1
17	может быть и не	1	1
18	с одной стороны и	1	1
19	уж во всяком случае	4	1
20	а в то же	1	1
21	который в данном случае	1	1
22	сами по себе но	1	1
23	в том что и	1	1
24	дело здесь не в	2	1
25	но на этот раз	1	1
26	бы то ни было	4	1
27	ни в чем не	2	1
28	в то время как	6	1
29	той или иной области	1	1
30	дело здесь не только	1	1
31	один и тот же	1	1
32	к тому или иному	1	1
33	в том числе и	1	1
34	в том что он	1	1
35	не сами по себе	1	1
36	но в зависимости от	1	1
37	в связи с этим	1	1
38	свидетельствует о том что	1	1
39	и с точки зрения	2	1
40	и тем не менее	6	1
41	здесь не только в	1	1
42	и не может существовать	1	1
43	одним и тем же	1	1
44	никак не может быть	1	1
45	какой бы то ни	1	1
46	ответ на этот вопрос	1	1
47	в том или ином	2	1
48	есть не что иное	6	1
