N	2gram	Losev_Dial	EvropaiE
1	и в	35	37
2	в отношении	5	32
3	точки зрения	25	23
4	что в	19	21
5	не только	26	18
6	с точки	18	17
7	в то	10	16
8	то же	21	15
9	хотя бы	6	15
10	отношении к	3	15
11	в качестве	2	14
12	и не	51	14
13	но и	17	14
14	же время	9	14
15	в своем	7	14
16	но в	8	14
17	в этом	18	12
18	в том	20	11
19	в их	5	11
20	в области	2	11
21	так и	18	10
22	в себе	23	9
23	т е	49	9
24	прежде всего	14	9
25	только в	7	9
26	в смысле	5	9
27	все более	1	9
28	так же	6	9
29	не может	16	9
30	отнюдь не	13	9
31	с одной	4	8
32	в ее	3	8
33	в своей	9	8
34	одной стороны	3	8
35	между тем	3	8
36	было бы	14	8
37	думать что	3	8
38	к тому	6	8
39	так как	24	7
40	того что	6	7
41	а также	1	7
42	как и	10	7
43	между прочим	1	7
44	по своему	4	7
45	также и	7	7
46	с другой	10	7
47	то есть	1	6
48	с этой	3	6
49	и даже	23	6
50	вслед за	2	6
51	том что	18	6
52	вовсе не	19	6
53	во всех	3	6
54	может быть	30	6
55	того чтобы	1	6
56	для того	2	6
57	стороны и	4	6
58	то что	25	6
59	как бы	19	6
60	на то	5	6
61	в той	4	5
62	этих областей	1	5
63	тем самым	1	5
64	в виде	2	5
65	этой точки	2	5
66	не в	12	5
67	но не	9	5
68	от этого	5	5
69	со стороны	2	5
70	и потому	6	5
71	которую мы	1	5
72	же как	3	5
73	в частности	4	5
74	как мы	5	5
75	столь же	1	5
76	но если	6	5
77	и по	5	5
78	в самом	6	4
79	то в	8	4
80	мы не	1	4
81	в предыдущем	1	4
82	даже в	6	4
83	ни было	2	4
84	того или	1	4
85	для нас	1	4
86	не на	1	4
87	и притом	7	4
88	само по	7	4
89	в некотором	1	4
90	именно в	4	4
91	по себе	39	4
92	не имеет	15	4
93	в каком	10	4
94	тем более	2	4
95	той или	11	4
96	в полной	2	4
97	вопрос о	3	4
98	но даже	1	4
99	как это	8	4
100	несмотря на	12	4
101	к ней	4	4
102	в ней	4	4
103	сказать что	19	4
104	можно сказать	10	4
105	во многих	1	4
106	или иной	4	4
107	независимо от	2	4
108	и к	8	3
109	говорит о	6	3
110	но на	1	3
111	и мы	8	3
112	приближается к	1	3
113	можно ли	3	3
114	в определенном	2	3
115	этом отношении	2	3
116	ее в	2	3
117	что и	7	3
118	в результате	2	3
119	или иную	1	3
120	мы можем	5	3
121	не является	3	3
122	себе не	7	3
123	нельзя ли	2	3
124	можно было	5	3
125	в будущем	1	3
126	на себя	1	3
127	не более	1	3
128	дело в	1	3
129	тем что	2	3
130	очевидно что	1	3
131	в таком	4	3
132	вообще не	2	3
133	в стороне	1	3
134	высшее и	1	3
135	как в	3	3
136	жизни в	1	3
137	мира и	2	3
138	в которых	2	3
139	с другом	2	3
140	на своем	1	3
141	бы ни	3	3
142	в них	4	3
143	во всяком	5	3
144	тем в	1	3
145	ни на	8	3
146	бы и	4	3
147	во все	1	3
148	в данном	5	3
149	некотором смысле	1	3
150	ли это	4	3
151	идет о	1	3
152	не дает	1	3
153	ту или	1	3
154	связано с	2	3
155	потому что	23	3
156	время в	1	3
157	и тем	2	3
158	когда он	2	3
159	не будет	2	3
160	и для	2	3
161	этом смысле	4	3
162	уже и	5	3
163	себе в	1	3
164	в прошлом	1	3
165	известной степени	1	3
166	к ним	3	3
167	как на	1	3
168	с тем	2	3
169	в сфере	2	3
170	и от	5	3
171	место в	1	3
172	о том	8	3
173	в общем	2	3
174	там где	1	3
175	и только	5	3
176	друг с	2	3
177	является ли	1	3
178	всяком случае	3	3
179	того же	1	3
180	из них	5	3
181	никогда не	18	3
182	всего в	1	2
183	таким образом	5	2
184	утверждать что	3	2
185	и всецело	1	2
186	и то	15	2
187	и во	1	2
188	мы видим	6	2
189	и этот	1	2
190	по преимуществу	1	2
191	говоря уже	1	2
192	их из	1	2
193	видим как	1	2
194	данном случае	1	2
195	если в	5	2
196	на язык	1	2
197	и сейчас	3	2
198	должна быть	5	2
199	во власти	1	2
200	тогда когда	6	2
201	в его	4	2
202	или по	2	2
203	одна и	5	2
204	еще более	3	2
205	но также	1	2
206	что это	21	2
207	это значит	18	2
208	хотя и	4	2
209	с этим	5	2
210	будет ли	2	2
211	его на	1	2
212	и тут	6	2
213	и если	5	2
