N	4gram	Voloshinov	EvropaiE
1	в то же время	6	14
2	и в то же	1	8
3	бы то ни было	2	4
4	заключается в том что	2	2
5	но в то же	3	2
6	каких бы то ни	1	2
7	чтобы ответить на этот	1	1
8	и связанное с ним	1	1
9	того что мы знаем	1	1
10	дело в том что	1	1
11	прежде всего отметить что	1	1
12	ответить на этот вопрос	1	1
13	от того в какой	1	1
14	так же как не	1	1
15	в гораздо большей степени	1	1
16	на всем своем протяжении	2	1
17	так и со стороны	1	1
18	мы можем сказать что	5	1
19	в переводе на язык	1	1
20	один и тот же	3	1
21	на основании того что	1	1
