N	3gram	Vygotskiy_	Tragedij
1	в том что	20	2
2	и как бы	2	2
3	и в частности	1	2
4	бросается в глаза	2	2
5	это очень важно	1	2
6	между этими двумя	1	2
7	точно так же	3	2
8	в данном случае	5	2
9	о том что	8	2
10	и в самом	15	2
11	но все же	1	2
12	в отличие от	1	2
13	сам по себе	2	1
14	мы узнаем в	1	1
15	жизнь и в	1	1
16	в этом романе	1	1
17	том что он	3	1
18	все это мы	1	1
19	в разговоре с	1	1
20	имеет в виду	1	1
21	что он не	4	1
22	не может жить	1	1
23	а между тем	1	1
24	за то что	1	1
25	может быть не	2	1
26	и при этом	1	1
27	он считает что	1	1
28	смысле этого слова	5	1
29	мы понимаем что	1	1
30	с тем и	1	1
31	объясняется тем что	1	1
32	вместо того чтобы	3	1
33	в применении к	1	1
34	мы отнюдь не	1	1
35	всяких прикрас и	1	1
36	в той же	2	1
37	и вместе с	3	1
38	что в ней	3	1
39	то что он	3	1
40	не только нет	1	1
41	не может быть	3	1
42	и т п	7	1
43	что в таком	2	1
44	но при этом	1	1
45	в этом случае	1	1
46	по сравнению с	1	1
47	но гораздо больше	1	1
48	с самого начала	10	1
49	и то что	3	1
50	как и все	1	1
51	не только не	3	1
52	как бы нарочно	1	1
53	в высшей степени	1	1
54	в таком виде	2	1
55	в виду не	1	1
56	согласиться с его	1	1
57	как и в	1	1
58	и все же	1	1
59	в самом деле	29	1
60	возьмем ли мы	1	1
61	во всяком случае	6	1
62	это не просто	3	1
63	к тому что	5	1
64	несмотря на все	1	1
65	он сказал что	1	1
66	в стихах и	1	1
67	в третий раз	1	1
68	или как говорит	1	1
69	это и есть	2	1
70	что именно на	1	1
71	и не может	1	1
72	и в этом	6	1
