N	2gram	Savitsky_P	Otkroven
1	и в	14	19
2	и не	12	13
3	но и	6	13
4	в этом	10	12
5	а не	2	11
6	не только	17	11
7	не в	5	11
8	может быть	5	11
9	вопрос о	1	10
10	в нем	3	10
11	потому что	3	9
12	прежде всего	3	9
13	не было	2	9
14	никогда не	1	9
15	он был	1	8
16	нет ничего	1	7
17	в его	2	7
18	все это	2	6
19	как и	1	6
20	в самом	1	5
21	в творчестве	1	5
22	в том	9	5
23	в этой	1	5
24	раскрывается в	1	5
25	а в	4	5
26	в россии	3	5
27	то что	4	5
28	что в	4	4
29	того чтобы	1	4
30	т е	3	4
31	не может	4	4
32	что не	1	4
33	с его	1	4
34	в русской	4	3
35	и вот	2	3
36	хотя бы	8	3
37	это не	3	3
38	для того	3	3
39	мысли и	1	3
40	быть может	6	3
41	в этих	1	3
42	как бы	4	3
43	было бы	6	3
44	могут быть	3	3
45	в себе	3	3
46	и есть	2	3
47	и ее	1	3
48	того что	2	3
49	еще не	1	3
50	и к	4	2
51	как к	1	2
52	и потому	4	2
53	и то	1	2
54	в душе	1	2
55	все же	1	2
56	и очень	1	2
57	должно быть	2	2
58	к этой	1	2
59	уже в	1	2
60	этом мире	1	2
61	в своем	4	2
62	с тем	3	2
63	с которой	1	2
64	в которой	1	2
65	не все	1	2
66	и этим	1	2
67	одно из	1	2
68	что и	1	2
69	с богом	1	2
70	россии в	5	2
71	в истории	1	2
72	его в	1	2
73	их не	1	2
74	мысль о	2	2
75	не очень	1	2
76	и с	2	2
77	и о	5	2
78	что есть	1	2
79	и на	1	2
80	в других	1	2
81	что все	1	2
82	хотя и	3	2
83	не есть	1	2
84	все еще	1	2
85	по себе	4	2
86	не имеет	1	2
87	том что	4	2
88	в ее	2	2
89	но в	9	2
90	с разных	1	2
91	вопросом о	1	2
92	что было	1	1
93	и мир	1	1
94	это от	1	1
95	в каждом	1	1
96	во всяком	1	1
97	ни к	1	1
98	бытия как	1	1
99	к победе	1	1
100	а с	1	1
101	и других	2	1
102	стремиться к	1	1
103	в котором	4	1
104	и здесь	1	1
105	по природе	1	1
106	мир в	1	1
107	ней не	2	1
108	она должна	1	1
109	достижений и	1	1
110	но о	2	1
111	эта не	1	1
112	и пр	5	1
113	и везде	1	1
114	она не	1	1
115	должна быть	1	1
116	мы не	3	1
117	есть у	1	1
118	связана с	1	1
119	здесь нужно	2	1
120	еще более	2	1
121	также и	1	1
122	но не	3	1
123	по сравнению	2	1
124	и менее	1	1
125	вопросу о	1	1
126	представляет собой	1	1
127	уверенность что	1	1
128	в ней	6	1
129	из всех	1	1
130	что это	1	1
131	в отношениях	1	1
132	для тех	2	1
133	есть путь	1	1
134	всяком случае	1	1
135	на этих	2	1
136	с трудом	1	1
137	все основные	1	1
138	откровения и	1	1
139	в частности	2	1
140	только один	1	1
141	можно наметить	1	1
142	идти в	1	1
143	распадается на	1	1
144	со стороны	2	1
145	и через	1	1
146	в которую	2	1
147	не с	1	1
148	и достоевский	1	1
149	отношении к	5	1
150	и что	1	1
151	в отношении	10	1
152	не исчезнет	1	1
153	бы и	1	1
154	заключает в	2	1
155	и это	2	1
156	нет никакого	1	1
157	духовную жизнь	2	1
158	в явлении	1	1
159	не вполне	1	1
160	в русском	2	1
161	человека с	1	1
162	думать что	2	1
163	в них	2	1
164	вопрос об	1	1
165	было и	1	1
166	и государстве	1	1
167	в иных	1	1
168	христа и	1	1
169	есть для	1	1
170	в борьбе	1	1
171	всего что	1	1
172	подошел к	2	1
173	если бы	4	1
174	и путь	1	1
175	ii в	2	1
176	и более	1	1
177	с ними	3	1
178	к чему	2	1
179	и осмыслить	1	1
180	может ли	2	1
181	в силу	2	1
182	любовь и	1	1
183	в мир	1	1
184	в эпоху	1	1
185	отношения к	2	1
186	тем же	1	1
187	такое ощущение	1	1
188	но есть	1	1
189	духа и	2	1
190	заключается в	3	1
191	ведет к	1	1
192	например в	2	1
193	в жизни	2	1
194	но к	2	1
195	находится в	1	1
196	в сферу	1	1
197	и без	3	1
198	и как	3	1
199	которой человечество	1	1
200	есть не	2	1
201	духа в	1	1
202	есть та	1	1
203	и недостаточно	1	1
204	одна из	2	1
205	русской литературы	1	1
206	в мире	2	1
207	в одно	1	1
208	на то	1	1
209	и я	1	1
210	что во	1	1
211	да и	2	1
212	друг с	1	1
213	соотношений и	1	1
214	православия и	2	1
215	нисколько не	1	1
216	и русского	2	1
217	сравнению с	1	1
218	в эти	1	1
219	в движении	1	1
220	в это	1	1
221	противоречии с	1	1
222	с другом	1	1
223	которой в	1	1
224	и чем	1	1
225	ума с	1	1
226	само по	1	1
227	из них	2	1
228	которая ни	1	1
229	свои собственные	1	1
230	в противоречии	1	1
231	с того	1	1
232	особенно в	1	1
233	бы ни	2	1
