N	4gram	Vygotskiy_	Komedia
1	в то же время	1	16
2	в то время как	4	9
3	бы то ни было	1	7
4	и в самом деле	2	7
5	в том что он	2	4
6	ни в чем не	1	3
7	один и тот же	1	3
8	за то что он	2	3
9	сомневаться в том что	1	3
10	до сих пор не	1	3
11	состоит в том что	2	2
12	едва ли не самым	1	2
13	с этой точки зрения	3	2
14	с одной стороны и	1	2
15	в том что в	2	2
16	до сих пор в	1	2
17	только для того чтобы	1	2
18	и в свою очередь	1	2
19	и в том что	1	1
20	с такой силой как	2	1
21	друг с другом и	1	1
22	не что иное как	2	1
23	вперед по сравнению с	1	1
24	в этой же сцене	1	1
25	но вместе с тем	1	1
26	шаг вперед по сравнению	1	1
27	о том что на	1	1
28	до тех пор пока	2	1
29	на том месте где	1	1
30	малейшего сомнения в том	1	1
31	в одной из этих	1	1
32	в зависимости от того	3	1
33	до сих пор на	3	1
34	не заботится о том	1	1
35	является едва ли не	1	1
36	вместе с тем мы	1	1
37	о том что он	2	1
38	с одной стороны мы	1	1
39	в конце концов к	1	1
40	в собственном смысле слова	2	1
41	в том что именно	1	1
42	для того чтобы показать	1	1
43	сомнения в том что	1	1
44	столь же ясно что	1	1
45	о том что она	1	1
46	от начала до конца	1	1
47	несмотря на то что	1	1
48	одного и того же	2	1
49	мы можем представить себе	1	1
50	сводится к тому что	3	1
51	ни малейшего сомнения в	1	1
52	с одной стороны он	2	1
53	и во всех других	1	1
54	во всех трех главах	1	1
55	есть все основания полагать	1	1
56	с точки зрения того	1	1
57	с другой стороны он	2	1
58	но столь же ясно	1	1
59	так же как и	1	1
60	одна и та же	2	1
61	мы имеем дело с	1	1
62	в том виде как	1	1
