N	3gram	Tiupa_Disk	Literetu
1	в том что	18	21
2	в то же	7	21
3	то же время	9	21
4	по отношению к	13	12
5	в е годы	2	12
6	с одной стороны	12	12
7	в хх веке	1	12
8	не может быть	5	11
9	в данном случае	6	11
10	в отличие от	12	11
11	состоит в том	3	11
12	в конечном счете	2	10
13	о том что	8	10
14	в этом отношении	4	10
15	присутствия в мире	1	8
16	с точки зрения	3	8
17	не говоря уже	2	8
18	с другой стороны	4	7
19	говоря уже о	2	6
20	в том числе	3	6
21	к тому же	4	6
22	между я и	1	6
23	из того что	1	6
24	подобно тому как	4	6
25	не только в	2	6
26	едва ли не	2	6
27	тем не менее	1	5
28	я и ты	1	5
29	в соответствии с	4	5
30	при этом как	1	5
31	в том чтобы	2	5
32	в русской литературе	2	5
33	в связи с	1	5
34	прежде всего в	2	5
35	в силу своей	2	4
36	при этом в	2	4
37	но при этом	3	4
38	по аналогии с	2	4
39	и прежде всего	2	4
40	я в мире	1	4
41	начале х годов	1	4
42	тогда как в	5	4
43	в начале х	2	4
44	и то что	2	4
45	объекта и адресата	2	3
46	одной стороны и	3	3
47	в самом деле	1	3
48	х годов в	1	3
49	речь идет о	2	3
50	не сводится к	4	3
51	то же самое	2	3
52	той или иной	6	3
53	только в том	2	3
54	другого в себе	1	3
55	в равной степени	2	3
56	по этой причине	2	3
57	в свою очередь	3	3
58	по сути своей	2	3
59	в своего рода	1	3
60	на то что	1	3
61	не столько в	1	3
62	а не как	2	3
63	на самом деле	1	3
64	себя в другом	1	3
65	по крайней мере	3	3
66	по большей части	1	3
67	ту или иную	1	3
68	в целом ряде	1	3
69	во всяком случае	2	3
70	том числе и	3	3
71	в сочетании с	1	2
72	сознания в формах	1	2
73	в себя и	1	2
74	субъекта объекта и	2	2
75	в xix веке	1	2
76	как и всякое	2	2
77	сказать и о	2	2
78	и то же	2	2
79	между тем как	1	2
80	тех или иных	1	2
81	на мой взгляд	3	2
82	для своего времени	1	2
83	же самое можно	1	2
84	а с другой	4	2
85	не могло быть	1	2
86	может быть названа	1	2
87	можно сказать и	1	2
88	а со стороны	1	2
89	в целом и	1	2
90	самое можно сказать	1	2
