N	4gram	Propp_Morf	Dialekti
1	не что иное как	2	18
2	в то же время	1	14
3	и т д и	1	14
4	одно и то же	1	12
5	есть не что иное	1	11
6	в то время как	3	8
7	в коем случае не	1	6
8	ни в коем случае	1	6
9	то это значит что	1	5
10	не имеет ничего общего	1	5
11	и тем не менее	2	5
12	с этой точки зрения	1	4
13	это не значит что	2	4
14	в связи с этим	4	4
15	и т д все	1	4
16	и т д но	4	4
17	и т д в	2	3
18	во что бы то	1	2
19	что бы то ни	1	2
20	ни к чему не	2	2
21	бы то ни стало	1	2
22	то же время и	1	2
23	и т д как	4	1
24	уже не может быть	1	1
25	и т д он	2	1
26	на его составные части	1	1
27	вопрос о том как	1	1
28	т д таким образом	1	1
29	что там где есть	1	1
30	все более и более	1	1
31	сомневаться в том что	1	1
32	т д с другой	1	1
33	животных и т д	1	1
34	это дает нам возможность	1	1
35	и не стремится к	1	1
36	бы то ни было	2	1
37	как же может быть	1	1
38	д с другой стороны	1	1
39	можно сомневаться в том	1	1
40	в том что все	1	1
41	же можно сказать о	1	1
42	до сих пор не	1	1
43	и т д с	1	1
44	то же можно сказать	1	1
45	если это так то	1	1
46	в том случае если	2	1
47	хотя бы только один	1	1
48	и т д они	2	1
49	сюда же относятся такие	1	1
50	и т д таким	1	1
51	а на самом деле	1	1
52	можно было бы показать	1	1
53	с тех пор как	1	1
54	в том что он	1	1
55	и т д словом	1	1
56	ничего не говорится и	1	1
57	и независимо от того	1	1
58	которые не могут быть	1	1
59	и т д это	1	1
60	приводит к тому что	1	1
61	говорить о том что	2	1
