N	2gram	Vinokur_St	UchenyiS
1	и в	61	14
2	не только	36	10
3	а не	19	10
4	и не	23	8
5	прежде всего	11	8
6	то что	27	7
7	вот почему	1	7
8	в этом	37	7
9	не может	10	7
10	может быть	16	6
11	хотя бы	8	5
12	то же	7	5
13	и только	3	5
14	все это	13	5
15	с другой	11	4
16	в этой	13	4
17	в россии	7	4
18	конечно не	2	4
19	что такое	2	4
20	но и	28	4
21	в их	3	4
22	к сожалению	4	3
23	бы то	2	3
24	было бы	21	3
25	не о	2	3
26	и то	6	3
27	только к	2	3
28	истории литературы	2	3
29	этой области	5	3
30	для этого	2	3
31	очевидно что	1	3
32	это не	8	3
33	как и	11	3
34	то ни	2	3
35	вряд ли	8	3
36	для него	10	3
37	в своей	12	3
38	все же	12	3
39	ни было	1	3
40	в области	16	3
41	в частности	6	3
42	в то	10	3
43	не как	2	3
44	у нас	12	3
45	пришлось бы	1	3
46	другой стороны	9	3
47	не следует	1	3
48	но в	16	3
49	же время	5	3
50	литературы и	3	2
51	таким образом	16	2
52	в самом	14	2
53	если не	4	2
54	не приходится	5	2
55	материал для	6	2
56	должна была	6	2
57	его и	1	2
58	если бы	11	2
59	самом деле	14	2
60	могут быть	5	2
61	является в	1	2
62	не в	15	2
63	это было	2	2
64	бы и	4	2
65	и с	6	2
66	до сих	13	2
67	их и	2	2
68	одним из	2	2
69	крайней мере	2	2
70	но не	5	2
71	по существу	3	2
72	форму и	1	2
73	тем что	6	2
74	более чем	3	2
75	в себе	3	2
76	в его	19	2
77	в конце	5	2
78	даже и	2	2
79	должна быть	3	2
80	мы не	3	2
81	именно как	1	2
82	ничего не	6	2
83	всех этих	2	2
84	материала и	2	2
85	между тем	7	2
86	что она	5	2
87	художественного произведения	1	2
88	что он	23	2
89	конце концов	2	2
90	на эту	5	2
91	при таком	2	2
92	этом отношении	13	2
93	о чем	4	2
94	фактов и	1	2
95	как раз	10	2
96	в некоторых	3	2
97	пишет он	2	2
98	не могут	2	2
99	а как	5	2
100	что мы	5	2
101	в том	56	2
102	том что	49	2
103	неудивительно что	2	2
104	художественных произведений	1	2
105	но это	9	2
106	этом смысле	2	2
107	но даже	1	2
108	и для	4	2
109	и является	1	2
110	что и	8	2
111	в сторону	2	2
112	не столько	6	2
113	не случайно	1	2
114	как метод	1	2
115	а между	2	2
116	смысле этого	2	2
117	с его	3	2
118	и у	2	2
119	превращается в	2	2
120	сих пор	12	2
121	по крайней	2	2
122	только в	11	2
123	по себе	3	2
124	что все	3	2
125	не все	3	2
126	очевидно не	2	2
127	вопроса о	3	2
128	без труда	1	1
129	в той	9	1
130	литературы в	1	1
131	в г	10	1
132	так то	1	1
133	что было	3	1
134	все в	2	1
135	что в	41	1
136	ли пушкин	1	1
137	научной обработке	2	1
138	кругу и	1	1
139	с которыми	3	1
140	иначе говоря	1	1
141	подлинно научной	1	1
142	не было	7	1
143	так или	3	1
144	бы только	2	1
145	под понятие	1	1
146	было сделать	1	1
147	и даже	8	1
148	наукой она	1	1
149	связанных с	1	1
150	слова правда	1	1
