N	2gram	Losev_Prob	Stilisti
1	и в	64	42
2	как бы	18	30
3	не только	37	28
4	прежде всего	17	22
5	хотя бы	15	18
6	то же	10	16
7	но и	23	16
8	и не	63	14
9	может быть	29	13
10	не может	18	13
11	как и	7	12
12	что мы	23	11
13	мы уже	8	11
14	точки зрения	5	11
15	в этом	30	10
16	в себе	16	10
17	и как	10	10
18	мы должны	5	10
19	как мы	10	10
20	отнюдь не	15	10
21	мы не	6	9
22	при этом	8	9
23	все же	7	9
24	язык и	2	9
25	то что	72	9
26	для того	10	9
27	в то	7	9
28	таким образом	9	8
29	так как	16	8
30	с тем	6	8
31	и это	13	8
32	слово как	1	8
33	в ней	1	8
34	тем самым	11	8
35	что же	18	8
36	с его	3	8
37	ничего не	20	8
38	и на	11	7
39	так и	17	7
40	слов и	1	7
41	мы можем	8	7
42	только в	19	7
43	в которой	2	7
44	зависимости от	2	7
45	и его	3	7
46	потому что	24	7
47	того чтобы	10	7
48	другими словами	8	7
49	и тем	16	7
50	было бы	16	7
51	и той	4	7
52	той же	2	7
53	и от	3	7
54	в зависимости	2	7
55	а не	21	7
56	никогда не	8	7
57	во всех	9	6
58	в его	12	6
59	не в	6	6
60	в нем	14	6
61	в конце	13	6
62	в процессе	1	6
63	но ведь	6	6
64	и так	2	6
65	на его	2	6
66	бы в	3	6
67	одно и	1	6
68	или как	4	6
69	когда мы	10	6
70	в этой	14	6
71	слова в	1	6
72	мы будем	3	6
73	или иной	8	6
74	язык в	1	6
75	в области	8	6
76	в той	2	5
77	в самом	10	5
78	что язык	1	5
79	связанных с	1	5
80	то есть	61	5
81	уже в	6	5
82	и их	4	5
83	с точки	3	5
84	не является	12	5
85	все время	3	5
86	самом деле	10	5
87	но все	5	5
88	и с	12	5
89	но в	19	5
90	тому что	6	5
91	мы никогда	3	5
92	вместе с	4	5
93	того или	8	5
94	а с	1	5
95	мы увидим	3	5
96	и следовательно	6	5
97	слова и	5	5
98	как это	7	5
99	и является	9	5
100	а в	7	5
101	же самое	9	5
102	в нашем	3	5
103	в сознании	5	5
104	и то	15	5
105	же мы	4	5
106	или иного	6	5
107	независимо от	2	5
108	и наконец	3	5
109	мы видели	1	5
110	одной и	1	4
111	были бы	2	4
112	и к	2	4
113	мы видим	2	4
114	один из	7	4
115	общения в	1	4
116	слов в	1	4
117	что это	4	4
118	что такое	23	4
119	все это	11	4
120	в качестве	3	4
121	его в	9	4
122	слова как	2	4
123	если бы	8	4
124	и все	9	4
125	с самого	3	4
126	в слове	1	4
127	так сказать	1	4
128	к своему	2	4
129	у нас	31	4
130	да и	11	4
131	как только	3	4
132	уже не	9	4
133	к тому	5	4
134	о том	25	4
135	и без	6	4
136	вопроса о	3	4
137	той или	10	4
138	самого начала	2	4
139	к данной	1	4
140	в каждом	1	4
141	можно сказать	9	4
142	если мы	16	4
143	и пр	4	4
144	языка и	5	4
145	не существует	12	4
146	ту или	1	4
147	о своей	1	4
148	его внутренней	1	4
149	не что	5	4
150	можно было	8	4
151	или иное	2	4
152	на это	1	4
153	так же	12	4
154	лишь в	4	4
155	в целом	1	4
156	себя в	1	4
157	в данной	2	4
158	мы называем	2	4
159	тем же	2	4
160	речь и	1	4
161	слово не	1	4
162	не знаем	3	4
163	что именно	1	4
164	тех или	5	4
165	само собой	3	4
166	не просто	30	4
167	то или	3	4
168	которой мы	1	4
169	того что	18	4
170	не к	1	4
171	что было	2	3
172	построения и	1	3
173	представить себе	1	3
174	является наиболее	1	3
175	не так	1	3
176	этом случае	6	3
177	видели что	1	3
178	что оно	4	3
179	и здесь	8	3
180	что у	1	3
181	что эти	2	3
182	как таковой	4	3
183	совершенно не	7	3
184	если он	1	3
185	для нас	11	3
186	которое может	1	3
187	в том	19	3
188	или иных	2	3
189	отношения к	2	3
190	несмотря на	6	3
191	для него	2	3
192	хотя и	8	3
193	ни на	5	3
194	внутренней и	1	3
195	в ее	3	3
196	и внешней	1	3
197	из которых	2	3
198	мы в	4	3
199	то мы	2	3
200	на самом	9	3
201	и уже	4	3
202	что и	2	3
203	в виду	10	3
204	и само	3	3
205	но что	3	3
206	связи с	8	3
207	и даже	19	3
208	нам в	3	3
209	здесь мы	1	3
210	в основе	4	3
211	содержание и	1	3
212	но вот	2	3
213	допустим что	2	3
214	но для	3	3
215	чрезвычайно важно	1	3
216	и тому	1	3
217	словом и	1	3
218	может стать	1	3
219	все эти	15	3
220	как в	5	3
221	по своему	14	3
222	человеческой речи	3	3
223	том что	26	3
224	бы мы	5	3
225	роль в	2	3
226	об этом	10	3
227	конце концов	11	3
228	перед нами	7	3
229	еще не	18	3
230	но при	2	3
231	его и	1	3
232	то он	3	3
233	выражение в	1	3
234	в котором	5	3
235	ведь в	1	3
236	в какой-нибудь	1	3
