N	2gram	Medvedev_V	OGranits
1	и в	2	13
2	и его	1	12
3	и не	1	8
4	только в	1	6
5	хотя бы	1	5
6	и т.д	1	5
7	то же	1	4
8	все это	1	4
9	и то	1	3
10	одно и	1	3
11	в их	1	3
12	самом деле	1	3
13	так как	1	3
14	да и	1	3
15	в самом	1	2
16	в шкловского	5	2
17	в этом	1	2
18	в другом	1	2
19	в том	2	2
20	в книге	3	2
21	том что	2	2
22	что язык	1	1
23	как же	1	1
24	другое дело	1	1
25	теории литературы	1	1
26	потому что	1	1
27	в значительной	1	1
28	все то	1	1
29	без знания	1	1
30	речи и	1	1
31	время в	1	1
32	стр и	1	1
33	для них	1	1
34	сводится к	1	1
35	но это	1	1
36	что слово	1	1
37	стилистики в	1	1
38	в конце	2	1
39	о теории	1	1
40	к этому	1	1
41	все время	1	1
42	столь же	1	1
43	и сводится	1	1
44	далеко не	1	1
45	другом месте	1	1
46	в которых	1	1
47	так в	1	1
48	на одном	1	1
49	по поводу	1	1
50	тем более	1	1
