N	4gram	Losev_Dial	DiskursI
1	в то же время	3	8
2	с одной стороны и	1	5
3	в том что в	1	3
4	не говоря уже о	6	3
5	одно и то же	2	3
6	одной и той же	4	2
7	и в то же	2	2
8	одних и тех же	2	2
9	потому что в них	1	2
10	с той или иной	1	2
11	бы то ни было	1	2
12	не что иное как	6	1
13	и именно в этом	1	1
14	ни одна из этих	1	1
15	как и все прочие	1	1
16	потому что каждый из	1	1
17	иметь в виду что	1	1
18	говорить не только о	1	1
19	ни в чем не	1	1
20	внимание на то что	1	1
21	не может быть ни	1	1
22	в том что они	1	1
23	ни к чему не	1	1
24	тем не менее в	1	1
25	в такой же мере	1	1
26	по крайней мере в	3	1
27	или по крайней мере	4	1
28	заключается в том что	1	1
29	что каждый из них	1	1
30	не в том что	4	1
31	есть не что иное	3	1
