N	4gram	Propp_Isto	FransuaR
1	в то же время	1	55
2	в том числе и	2	17
3	с одной стороны и	1	5
4	между жизнью и смертью	1	5
5	переходят друг в друга	1	4
6	не что иное как	1	3
7	есть не что иное	1	3
8	таким образом и здесь	1	2
9	мы уже знаем что	1	2
10	с другой стороны в	1	2
11	и целый ряд других	2	2
12	совершенно так же как	3	2
13	на этот вопрос мы	1	2
14	дело вовсе не в	1	2
15	до сих пор не	1	2
16	и связанные с ними	1	2
17	только для того чтобы	1	2
18	так же как и	4	2
19	не только то что	1	1
20	но все же она	1	1
21	примеров можно привести множество	1	1
22	убежден в том что	1	1
23	не дает нам никакого	1	1
24	в тех случаях когда	1	1
25	в то время как	3	1
26	что для того чтобы	1	1
27	на первый план выдвигается	1	1
28	свидетельствует о том что	1	1
29	народов в том числе	1	1
30	одно и то же	2	1
31	и вместе с тем	1	1
32	связано с представлением о	1	1
33	же как и в	1	1
34	же как мы знаем	1	1
35	а также и с	1	1
36	состоит в том что	1	1
37	не только для того	1	1
38	в том что она	1	1
39	только после того как	1	1
40	в тот момент когда	1	1
41	в данном случае они	1	1
42	в особенности в связи	1	1
43	особенности в связи с	1	1
44	с другой стороны эта	1	1
45	а в связи с	1	1
46	следующим образом прежде всего	1	1
47	и с другой стороны	1	1
48	как и все подобные	1	1
49	но вместе с тем	4	1
50	с другой стороны с	1	1
51	теснейшим образом связан с	1	1
52	поскольку это позволяют нам	1	1
53	здесь как и в	2	1
54	могут быть определены как	1	1
