N	4gram	Losev_Dial	Analitik
1	в то же время	3	14
2	не что иное как	6	6
3	есть не что иное	3	5
4	с той или иной	1	4
5	по крайней мере в	3	3
6	одной и той же	4	3
7	бы то ни было	1	3
8	с этой точки зрения	4	2
9	ни в коем случае	4	2
10	но о том что	1	2
11	не о том что	1	2
12	не говоря уже о	6	2
13	одних и тех же	2	2
14	в такой же мере	1	2
15	заключается в том что	1	2
16	в коем случае не	4	2
17	одно и то же	2	2
18	но в то же	1	2
19	одна и та же	3	1
20	и в том что	1	1
21	мы имеем в виду	1	1
22	есть нечто остающееся совершенно	1	1
23	по крайней мере не	1	1
24	в таком случае он	1	1
25	который не может быть	1	1
26	она есть нечто остающееся	1	1
27	до тех пор пока	1	1
28	в том смысле что	1	1
29	и сам по себе	1	1
30	не должно быть ни	1	1
31	совершенно неизменным в течение	1	1
32	неизменным в течение всего	1	1
33	на самом же деле	1	1
34	внимание на то что	1	1
35	не может быть ни	1	1
36	течение всего своего изменения	1	1
37	ни к чему не	1	1
38	тот или иной модус	1	1
39	личности а не ее	1	1
40	тем не менее в	1	1
41	можно сказать что в	1	1
42	субъекта и объекта и	1	1
43	коем случае не есть	3	1
44	с тех пор как	1	1
45	ничего не говорит о	2	1
46	ни на что не	1	1
47	по себе ничего не	1	1
48	исходит из того что	1	1
49	и в этом смысле	1	1
50	не в том что	4	1
51	в течение всего своего	1	1
52	нечто остающееся совершенно неизменным	1	1
53	и не в том	1	1
54	остающееся совершенно неизменным в	1	1
