N	3gram	Savitsky_P	Problema
1	в том что	4	37
2	и т д	1	33
3	в настоящее время	1	30
4	во всяком случае	1	25
5	с другой стороны	1	25
6	с точки зрения	3	25
7	и то что	1	20
8	в этом смысле	1	19
9	для того чтобы	1	17
10	в то же	7	17
11	сами по себе	3	13
12	не может быть	1	12
13	и в частности	1	12
14	и в этом	1	12
15	с одной стороны	3	11
16	и тем самым	1	10
17	вместе с тем	1	10
18	более или менее	1	10
19	не только в	4	10
20	в сравнении с	3	9
21	заключается в том	2	8
22	мы не будем	1	8
23	но и в	2	7
24	в значительной мере	2	7
25	тот или иной	1	7
26	и тем более	1	6
27	есть прежде всего	1	6
28	само по себе	1	6
29	в собственном смысле	1	5
30	хотя бы и	1	5
31	так же как	1	5
32	та или иная	1	5
33	в том виде	1	5
34	в том числе	2	5
35	только в виде	1	5
36	том числе и	1	4
37	до тех пор	1	4
38	не было бы	1	4
39	именно потому что	1	4
40	мы все же	1	4
41	сливаются в одно	1	4
42	одной стороны и	2	3
43	в отличие от	1	3
44	в отдельности и	1	3
45	за то что	1	3
46	по сравнению с	1	3
47	если бы мы	1	3
48	и в то	2	3
49	том что в	1	3
50	в известном смысле	1	3
51	в каком смысле	1	3
52	этой последней в	1	3
53	далеко не все	1	3
54	но в то	1	3
55	ни на какие	1	3
56	в частности в	1	2
57	совершенно ясно что	1	2
58	как бы она	1	2
59	но также и	1	2
60	можно говорить о	1	2
61	что в этом	1	2
62	мы не только	1	2
63	тем и другим	1	2
64	бы она ни	1	2
65	можно судить по	1	2
66	насколько можно судить	1	2
67	или хотя бы	1	2
68	и не может	1	2
69	и потому в	2	2
70	в настоящую минуту	1	2
71	и не только	2	2
72	в ней только	1	1
73	в большинстве случаев	1	1
74	к предмету в	1	1
75	из тех кто	1	1
76	начала и конца	1	1
77	в определенный момент	1	1
78	идет речь но	1	1
79	прежде чем говорить	1	1
80	в ней не	2	1
81	история и жизнь	1	1
82	нужно помнить что	2	1
83	что то же	1	1
84	бы оно ни	1	1
85	науки и техники	1	1
86	что уже в	1	1
87	с тем же	1	1
88	чуть ли не	1	1
89	вопросу о соотношении	1	1
90	в xix в	1	1
91	она не только	1	1
92	не только это	2	1
93	есть та или	1	1
94	но возможно также	1	1
95	в самом точном	1	1
96	или что то	1	1
97	да и не	1	1
98	если мы не	1	1
99	к науке и	1	1
100	с тем чтобы	1	1
101	все это в	1	1
102	не только как	1	1
103	чем говорить о	1	1
104	в этих двух	1	1
105	только в условиях	1	1
106	в борьбе с	1	1
107	в настоящий момент	3	1
108	и м а	1	1
109	связана с другой	1	1
110	не в том	1	1
111	да и само	1	1
112	только в ее	1	1
113	прежде всего мы	1	1
114	очень и очень	1	1
115	то же время	7	1
116	еще более резкую	1	1
117	то что его	1	1
118	именно на этой	1	1
119	в душе своей	1	1
120	в отрыве от	1	1
121	мы отнюдь не	1	1
122	только в ней	1	1
123	никак не о	1	1
124	и вслед за	1	1
