N	2gram	Voloshinov	Psycholo
1	и в	3	190
2	может быть	1	107
3	не только	1	75
4	и не	1	73
5	точки зрения	1	69
6	не может	4	68
7	если бы	1	55
8	то же	1	54
9	а не	1	50
10	к тому	1	45
11	и все	1	42
12	но и	1	40
13	мы видим	1	37
14	тому что	1	33
15	художественного произведения	1	32
16	в его	1	31
17	в ней	1	31
18	с точки	1	29
19	и на	1	27
20	искусство как	1	26
21	один из	2	23
22	в то	1	20
23	несмотря на	1	20
24	из этих	1	17
25	на примере	1	15
26	для него	1	15
27	бы в	1	14
28	не менее	1	12
29	исходя из	1	11
30	смысл и	1	10
31	с теми	1	10
32	при анализе	1	8
33	он в	1	8
34	связи с	1	7
35	в каждом	1	7
36	в особенности	1	7
37	и заставляет	1	7
38	на нее	1	6
39	событий и	1	6
40	если в	2	5
41	и больше	1	5
42	нет и	1	5
43	его от	1	4
44	можно назвать	1	4
45	его основе	1	4
46	может не	1	4
47	может и	1	4
48	в языке	1	4
49	же время	1	4
50	нуждаются в	1	4
51	бы на	1	4
52	в центре	2	3
53	по своим	1	3
54	с другими	1	3
55	лучше всего	1	3
56	вещей и	1	3
57	не из	1	3
58	ни один	1	3
59	впадает в	1	3
60	и можно	1	3
61	в школе	1	3
62	этой проблемы	1	3
63	и должно	1	3
64	и форму	1	3
65	произведения но	1	2
66	именно с	1	2
67	литературного произведения	1	2
68	и событий	1	2
69	ничего кроме	1	2
70	тех же	1	2
71	как искусство	1	2
72	речь и	1	2
73	зрения их	1	1
74	формальных приемов	1	1
75	становится особенно	1	1
76	и методологически	1	1
77	или иными	1	1
78	бы чисто	1	1
79	художественного и	1	1
80	эта вторая	1	1
81	в анализе	1	1
82	второй части	1	1
83	конечно и	1	1
84	на месте	1	1
85	в противоположную	1	1
86	позицию занимает	1	1
87	и тому	1	1
88	формулу искусство	1	1
89	почти с	1	1
90	ничего для	1	1
91	с самых	1	1
92	можно и	1	1
93	бессилия и	1	1
94	этих методов	1	1
95	методы и	1	1
96	системы исследования	1	1
97	о художественной	1	1
98	невольно рождается	1	1
99	в выводах	1	1
100	в системе	1	1
101	своих теоретических	1	1
102	деятельности в	1	1
103	теми или	1	1
104	выводы на	1	1
105	из крупнейших	1	1
106	лежащие в	1	1
107	от связи	1	1
108	эту издавна	1	1
109	категорий и	1	1
110	и социальной	1	1
111	во второй	1	1
112	вторая половина	1	1
113	превращается у	1	1
114	анализа и	1	1
115	персонажей и	1	1
