N	3gram	Tiupa_Narr	VLabPisa
1	в этом отношении	3	14
2	не может быть	5	8
3	с другой стороны	4	8
4	по отношению к	6	7
5	более или менее	2	6
6	в том что	8	5
7	в конечном счете	2	5
8	в то же	3	5
9	то же время	3	5
10	можно сказать что	4	4
11	в связи с	2	4
12	и др в	1	3
13	о том что	6	3
14	подобно тому как	2	3
15	и в то	1	3
16	следует понимать как	1	2
17	в том чтобы	1	2
18	по крайней мере	1	2
19	во всех его	1	2
20	этой точки зрения	2	2
21	следует иметь в	1	2
22	так и от	1	2
23	в том числе	6	2
24	до сих пор	1	2
25	иметь в виду	1	2
26	том числе и	4	2
27	не только в	2	2
28	не может не	2	2
29	только то что	1	2
30	с одной стороны	7	2
31	можно было бы	2	2
32	между ними не	1	1
33	так же как	2	1
34	это то что	1	1
35	и не быть	1	1
36	в той или	2	1
37	в этой системе	1	1
38	в свою очередь	3	1
39	качестве одной из	1	1
40	некоторые из них	1	1
41	в том же	1	1
42	того или иного	2	1
43	все то что	1	1
44	но по существу	1	1
45	той или иной	4	1
46	которые будто бы	1	1
47	при всем своем	1	1
48	в качестве одной	1	1
49	одной из этих	1	1
50	в этом смысле	1	1
51	как это было	1	1
52	один из них	1	1
53	не приводят к	1	1
54	том или ином	2	1
55	ту или иную	2	1
56	с этой точки	1	1
57	в самом деле	1	1
58	быть сведена к	1	1
59	и тем более	1	1
60	не отличается от	2	1
61	быть определена как	1	1
62	далеко не всегда	1	1
63	тех или иных	1	1
64	из которых он	1	1
65	в таком случае	2	1
66	все же не	4	1
67	так или иначе	2	1
68	что один из	1	1
69	сами по себе	2	1
70	то или иное	2	1
71	оснований видеть в	1	1
72	по аналогии с	1	1
73	не подлежит сомнению	1	1
74	может быть определена	1	1
75	в соответствии с	1	1
76	в данном случае	4	1
77	в том или	2	1
78	именно в том	2	1
79	на этом этапе	1	1
80	к тому же	4	1
81	в ней не	1	1
82	на одном полюсе	1	1
83	же как и	1	1
84	об этом свидетельствует	1	1
85	очевидно что в	1	1
86	то же самое	1	1
87	следует отметить что	1	1
88	может быть сведена	1	1
89	том что оно	1	1
90	но все же	4	1
91	совершенно очевидно что	1	1
92	а не только	1	1
93	хотя оно и	1	1
94	или ином отношении	1	1
95	тот или иной	1	1
96	имеем дело с	1	1
97	мы имеем дело	2	1
98	может быть и	1	1
