N	3gram	Vygotskiy_	Sotsiolo
1	по отношению к	2	2
2	в том что	30	2
3	и заключается что	2	2
4	в конце концов	6	2
5	не в том	1	2
6	истории литературы и	1	1
7	это и есть	1	1
8	и в то	1	1
9	в то же	1	1
10	по существу дела	1	1
11	друг от друга	2	1
12	том именно и	1	1
13	как бы он	1	1
14	а между тем	1	1
15	что в них	1	1
16	в конечном счете	2	1
17	с одной стороны	15	1
18	их друг от	1	1
19	то же самое	8	1
20	том и заключается	3	1
21	на первый план	2	1
22	чуть ли не	1	1
23	в частности так	1	1
24	то что в	4	1
25	главным образом в	1	1
26	когда мы переходим	1	1
27	по крайней мере	1	1
28	о том как	1	1
29	в этой области	1	1
30	то же время	1	1
31	только то что	1	1
32	в том именно	1	1
33	сама по себе	3	1
34	благодаря тому что	1	1
35	а с другой	5	1
36	заключается что в	1	1
37	во всяком случае	1	1
38	а в том	1	1
39	должно было бы	2	1
40	и в этом	2	1
41	и никак не	2	1
42	в том и	3	1
43	но стоит только	1	1
44	дело конечно не	1	1
45	именно в том	3	1
46	именно и заключается	1	1
47	в лучшем случае	3	1
48	что все это	1	1
49	по самому существу	1	1
