N	4gram	Trubetskoy	Marksizm
1	в то же время	2	15
2	бы то ни было	3	12
3	одного и того же	3	9
4	и не может быть	1	5
5	каких бы то ни	1	4
6	в том что он	1	4
7	в самом деле ведь	1	3
8	одной и той же	1	3
9	в том числе и	1	3
10	одно и то же	1	3
11	именно в том что	1	2
12	в том или ином	1	2
13	нет и не может	1	2
14	несмотря на то что	2	2
15	только по отношению к	1	2
16	в самом деле если	1	2
17	с этой точки зрения	1	1
18	но для того чтобы	1	1
19	что же касается до	2	1
20	не только по отношению	1	1
21	в широком смысле слова	1	1
22	ее до сих пор	1	1
23	то же самое что	1	1
24	вместе с тем и	1	1
25	говоря уже о том	1	1
26	дело в том что	1	1
27	и без того уже	2	1
28	в тех случаях когда	1	1
29	мы уже говорили что	1	1
30	уже о том что	1	1
31	к тем же выводам	1	1
32	не говоря уже о	1	1
33	тем не менее в	1	1
34	а может быть и	1	1
35	только с точки зрения	1	1
36	во всяком случае за	1	1
37	и более или менее	1	1
38	вступить в противоречие с	1	1
39	из поколения в поколение	1	1
40	общи у него с	1	1
41	и с точки зрения	1	1
42	в этом последнем случае	1	1
43	приводит к тому что	1	1
44	в том что все	1	1
45	до сих пор не	5	1
