N	4gram	Bakhtin_Pr	Hudozhes
1	в то же время	13	7
2	мы имеем в виду	1	3
3	в том числе и	1	2
4	в том что он	4	2
5	бы то ни было	2	2
6	в той или иной	1	2
7	и в то же	2	2
8	только то что может	1	1
9	иметь в виду что	1	1
10	заключается в том что	1	1
11	как более или менее	1	1
12	собственного сознания а в	1	1
13	и по отношению к	1	1
14	но в таком случае	1	1
15	с одной стороны и	1	1
16	по отношению к нему	2	1
17	в таком случае это	1	1
18	а в то же	2	1
19	по себе еще не	4	1
20	из уст в уста	1	1
21	по отношению к автору	1	1
22	но в отличие от	1	1
23	то же время оно	2	1
24	но в то же	7	1
25	какой бы то ни	1	1
26	искусства и в частности	1	1
27	сама по себе еще	1	1
